Date,Open,High,Low,Close,Volume
2015-03-27,122.11,123.36,118.23,119.14,32031342
2015-04-03,119.72,120.77,117.75,119.52,27164654
2015-04-10,119.33,137.45,118.8,136.63,102243944
2015-04-17,134.48,135.1,129.01,130.59,86874333
2015-04-24,130.93,131.5,127.24,128.44,52477514
2015-05-01,129.2,131.07,127.67,130.88,38203233
2015-05-08,131.12,132.32,127.53,131.12,31835512
2015-05-15,130.59,131.5,128.2,130.69,33836310
2015-05-22,130.4,133.18,130.35,132.65,32429072
2015-05-29,131.89,132.42,130.69,130.69,29394500
2015-06-05,130.64,132.37,129.73,130.79,31291427
2015-06-12,130.93,132.65,130.21,131.26,30811336
2015-06-19,131.26,131.36,129.4,130.55,39763649
2015-06-26,130.83,132.27,128.96,129.83,29544840
2015-07-03,128.92,129.25,126.86,128.34,26157838
2015-07-10,127.14,127.67,124.03,125.9,30946069
2015-07-17,126.95,130.98,125.75,130.55,30542017
2015-07-24,129.97,130.4,123.02,123.41,27632642
2015-07-31,122.4,125.99,122.3,125.08,27822920
2015-08-07,125.18,126.18,122.69,123.6,25717874
2015-08-14,124.12,126.04,121.49,124.99,25121727
2015-08-21,124.36,125.75,117.7,117.85,35153323
2015-08-28,109.46,120.63,92.83,120.58,68611664
2015-09-04,119.72,119.72,113.48,115.02,46328158
2015-09-11,117.46,120.87,116.31,119.57,30834017
2015-09-18,119.67,124.75,117.89,118.85,54424456
2015-09-25,119.28,121.97,117.89,119.43,43235515
2015-10-02,118.33,122.16,116.26,122.06,43899832
2015-10-09,126.38,135.15,125.66,134.52,71246836
2015-10-16,134.09,139.89,131.7,138.88,68138710
2015-10-23,138.02,142.96,137.54,141.42,89711991
2015-10-30,141.47,142.14,138.55,138.6,62773153
2015-11-06,138.69,143.53,138.41,143.39,106244851
2015-11-13,142.62,148.09,140.8,145.12,234217208
2015-11-20,143.2,148.52,142.67,146.94,251145650
2015-11-27,146.6,147.94,144.68,145.5,76906961
2015-12-04,145.35,146.27,143.15,146.12,62443841
2015-12-11,145.79,148.23,143.34,145.02,58529174
2015-12-18,145.02,149.67,142.67,145.12,70821020
2015-12-25,145.79,148.57,144.49,147.75,27599714
2016-01-01,147.32,150.91,146.7,149.28,29503463
