Date,Open,High,Low,Close,Volume
2020-03-06,17.5,17.95,16.23,17.01,35643200
2020-03-13,15.87,17.25,15.47,16.7,11788400
2020-03-20,16.4,16.4,14.14,15.69,8138500
2020-03-27,15.56,15.93,13.8,14.96,5334400
2020-04-03,14.96,15.25,11.92,12.65,6022900
2020-04-10,12.77,15.71,11.94,15.37,3890700
2020-04-17,15.19,15.99,14.31,15.08,2904400
2020-04-24,15.03,15.87,14.78,15.18,3048200
2020-05-01,15.4,18.22,14.95,17.54,4557700
2020-05-08,17.38,17.75,16.88,17.21,2370500
2020-05-15,17.24,19.0,17.02,17.65,2912100
2020-05-22,17.96,18.28,17.03,17.69,1112300
2020-05-29,17.99,19.35,17.62,19.17,2899300
2020-06-05,19.0,20.97,18.67,19.25,2731900
2020-06-12,19.95,20.49,17.8,18.1,2562100
2020-06-19,17.94,19.03,17.43,18.38,3824600
2020-06-26,18.17,19.64,17.78,18.53,5175100
2020-07-03,18.17,19.14,18.17,18.85,3034900
2020-07-10,19.17,19.45,18.57,18.8,3009400
2020-07-17,18.91,20.45,18.69,20.02,3442100
2020-07-24,19.99,20.86,19.45,20.54,3095800
2020-07-31,21.07,21.89,20.55,21.6,4413500
2020-08-07,21.58,23.27,20.27,21.56,4354200
2020-08-14,21.58,22.11,19.94,21.38,8230700
2020-08-21,21.17,21.65,17.57,19.32,27029800
2020-08-28,19.3,19.43,17.19,18.67,8292100
2020-09-04,18.81,19.53,17.47,19.1,9745600
2020-09-11,19.0,22.17,18.67,20.53,5524900
2020-09-18,20.66,22.61,20.42,22.43,8569400
2020-09-25,22.21,22.24,19.61,20.51,5364400
2020-10-02,20.79,22.49,20.63,22.46,5594700
2020-10-09,22.46,23.09,21.87,22.2,5749600
2020-10-16,22.35,22.94,21.9,22.22,2612700
2020-10-23,22.29,22.75,21.39,22.4,2892500
2020-10-30,22.26,22.49,19.04,19.14,3234400
2020-11-06,19.21,22.16,19.21,21.75,6190600
2020-11-13,22.2,23.45,21.4,22.85,6564100
2020-11-20,22.84,26.0,22.84,26.0,7112500
2020-11-27,26.39,27.86,25.65,27.13,6172000
2020-12-04,28.31,28.9,26.33,28.35,12146800
2020-12-11,28.24,28.87,27.6,27.86,4319500
2020-12-18,28.13,28.27,26.76,27.42,6626900
2020-12-25,27.0,28.52,26.5,28.2,1902300
2021-01-01,28.21,29.24,28.1,29.18,1408100
2021-01-08,29.13,30.0,27.77,29.89,3358200
2021-01-15,29.84,30.22,28.6,30.0,3111900
2021-01-22,30.28,32.25,30.0,31.22,3005000
2021-01-29,31.72,32.1,28.04,28.29,4605500
2021-02-05,28.27,31.13,26.79,31.01,3566700
2021-02-12,31.1,31.8,28.43,28.81,2531100
2021-02-19,28.94,30.04,27.89,29.96,2668800
2021-02-26,29.96,31.88,28.1,31.02,5825000
2021-03-05,31.37,33.69,30.04,31.56,4928500
2021-03-12,31.61,34.47,31.45,33.22,4284000
2021-03-19,33.33,34.19,31.52,33.11,4601000
2021-03-26,33.35,34.73,32.56,34.7,4325800
2021-04-02,34.7,35.53,33.13,35.42,2977100
2021-04-09,35.7,36.7,34.52,36.35,2543000
2021-04-16,36.41,36.41,32.59,32.89,8744000
2021-04-23,32.64,33.77,31.96,32.92,4774600
2021-04-30,32.84,33.66,32.72,32.93,4452300
2021-05-07,33.0,33.55,31.95,32.69,6266700
2021-05-14,32.79,33.01,29.94,31.81,4692100
2021-05-21,31.56,32.64,31.44,32.44,3944600
2021-05-28,32.76,33.13,31.95,32.54,3692100
2021-06-04,33.21,33.79,31.69,31.75,3163300
2021-06-11,31.86,33.33,31.66,33.01,3854500
2021-06-18,33.05,33.48,30.56,30.9,3759700
2021-06-25,30.93,32.18,30.75,32.0,6761500
2021-07-02,31.83,32.41,31.05,32.27,3483200
2021-07-09,32.3,33.01,31.47,31.7,3162500
2021-07-16,31.53,32.65,30.96,31.72,7017400
2021-07-23,31.11,32.69,30.38,32.68,4968300
2021-07-30,32.68,34.94,32.25,34.87,5755500
2021-08-06,35.0,35.46,34.04,35.02,5032600
2021-08-13,35.02,36.0,34.58,35.59,3174500
2021-08-20,35.3,35.49,32.58,33.78,6121900
2021-08-27,33.94,35.13,33.89,34.91,2346700
2021-09-03,34.92,36.25,34.52,36.17,3710500
