Date,Open,High,Low,Close,Volume
2015-03-27,24.04,24.22,23.42,23.71,3827700
2015-04-03,23.85,24.3,23.59,24.12,3592200
2015-04-10,24.08,24.48,23.58,23.67,3002700
2015-04-17,23.64,24.28,23.51,23.78,4585500
2015-04-24,23.96,24.2,23.26,23.7,6848700
2015-05-01,23.74,24.3,23.67,24.19,4992000
2015-05-08,24.19,24.47,23.93,24.18,2889600
2015-05-15,24.15,24.83,23.96,24.66,2523300
2015-05-22,24.62,24.83,24.43,24.52,2637900
2015-05-29,24.46,24.59,24.1,24.2,1934700
2015-06-05,24.3,24.55,24.02,24.14,2625000
2015-06-12,24.12,24.5,24.03,24.2,2739000
2015-06-19,24.01,24.19,23.74,23.95,3209700
2015-06-26,24.17,24.2,23.71,24.14,3883500
2015-07-03,23.97,24.06,23.49,23.71,3354000
2015-07-10,23.54,23.74,22.84,22.96,4082100
2015-07-17,23.09,23.3,21.86,21.9,5441400
2015-07-24,21.83,24.5,21.83,23.14,8541600
2015-07-31,23.01,24.09,22.99,23.83,5653500
2015-08-07,23.79,24.24,23.51,23.8,3941100
2015-08-14,24.0,24.25,23.6,24.01,2675100
2015-08-21,23.9,24.25,22.46,22.48,3879000
2015-08-28,21.39,22.85,21.15,22.79,6759300
2015-09-04,22.68,23.02,21.96,22.58,6136800
2015-09-11,22.95,23.42,22.79,23.15,3279600
2015-09-18,23.13,23.85,22.71,22.94,5532000
2015-09-25,23.09,23.4,21.57,22.15,5330100
2015-10-02,21.98,22.62,21.79,22.62,5772900
2015-10-09,22.76,24.97,22.73,24.49,4852800
2015-10-16,24.52,24.52,22.56,22.81,4626300
2015-10-23,22.7,24.38,22.27,24.23,10328100
2015-10-30,24.28,24.78,23.68,24.47,4194600
2015-11-06,24.61,25.69,24.41,25.33,5240700
2015-11-13,25.25,25.33,23.82,23.89,4199400
2015-11-20,23.81,25.02,23.77,24.83,4757100
2015-11-27,24.9,25.34,24.7,25.13,1701000
2015-12-04,25.29,25.85,24.32,24.58,3588300
2015-12-11,24.5,24.5,22.92,23.22,3143700
2015-12-18,23.24,23.4,22.65,23.23,7510800
2015-12-25,23.34,24.56,23.28,24.42,3094200
2016-01-01,24.33,24.79,24.02,24.02,2473200
2016-01-08,23.58,23.95,22.01,22.03,4075800
2016-01-15,22.16,22.55,21.15,21.74,4683600
2016-01-22,22.4,22.62,21.02,21.62,6014700
2016-01-29,21.57,24.26,21.08,24.23,11487000
2016-02-05,23.92,24.5,22.7,24.27,6966300
2016-02-12,23.92,24.44,23.19,24.26,5667000
2016-02-19,24.41,25.74,24.21,25.35,5073900
2016-02-26,25.69,26.27,24.72,25.65,5464800
2016-03-04,26.0,27.42,25.81,27.23,6770400
2016-03-11,27.16,27.59,26.55,27.13,5729400
2016-03-18,26.99,28.33,26.52,28.12,5904300
2016-03-25,28.1,28.13,26.69,27.44,5803800
2016-04-01,27.43,28.81,27.06,28.67,5635200
2016-04-08,28.02,28.17,27.19,27.63,4374900
2016-04-15,27.84,28.62,27.55,28.25,4173600
2016-04-22,28.13,28.87,26.22,26.85,11084400
2016-04-29,26.67,27.02,26.01,26.13,4032600
2016-05-06,26.19,26.47,25.65,26.42,5028300
2016-05-13,26.3,27.17,26.13,26.68,5668800
2016-05-20,26.85,27.13,25.82,26.32,4458600
2016-05-27,26.28,27.0,26.22,26.86,3713700
2016-06-03,26.9,27.39,26.12,27.02,3465000
2016-06-10,27.11,27.44,26.5,26.68,5454300
2016-06-17,26.54,26.76,25.92,26.48,2958600
2016-06-24,26.88,27.51,25.71,25.83,3363300
2016-07-01,25.56,26.51,24.88,26.14,6371100
2016-07-08,25.97,26.57,25.31,26.51,5502300
2016-07-15,26.67,27.13,26.67,26.78,4405800
2016-07-22,26.74,26.83,23.89,24.59,11539500
2016-07-29,24.56,25.19,24.25,24.67,5517300
2016-08-05,24.73,24.73,24.29,24.64,3914100
2016-08-12,24.68,24.82,24.39,24.56,4682400
2016-08-19,24.65,24.92,24.32,24.89,3150900
2016-08-26,24.78,25.34,24.76,25.09,2498700
2016-09-02,25.08,25.33,24.19,25.02,2832600
2016-09-09,25.11,25.16,23.8,23.91,4063200
2016-09-16,23.72,24.82,23.49,24.47,4011900
2016-09-23,24.67,25.29,24.3,24.51,3010800
2016-09-30,24.47,24.78,24.03,24.67,3319800
2016-10-07,24.57,25.17,23.94,24.04,4747800
2016-10-14,24.21,24.33,23.11,23.81,3935100
2016-10-21,23.77,26.32,23.71,25.49,7965600
2016-10-28,25.83,25.91,24.29,24.87,4426200
2016-11-04,24.96,25.27,24.47,25.04,4314000
2016-11-11,25.44,26.55,25.21,26.53,3587100
2016-11-18,26.63,27.43,26.61,26.95,3768600
2016-11-25,27.1,27.66,26.73,27.65,1981200
2016-12-02,27.66,27.67,26.92,27.23,4632000
2016-12-09,27.26,28.25,27.26,28.21,3036600
2016-12-16,28.25,28.31,27.46,27.68,4952100
2016-12-23,27.73,28.33,27.66,28.0,2644500
2016-12-30,28.0,28.26,27.51,27.7,1570500
2017-01-06,27.92,28.4,27.47,28.11,3586200
2017-01-13,27.94,28.82,27.79,28.8,4519200
2017-01-20,28.69,29.01,28.39,28.73,3330900
