Date,Open,High,Low,Close,Volume
2015-03-27,27.94,28.65,27.33,27.34,196989353
2015-04-03,27.51,27.66,26.62,26.7,131100951
2015-04-10,26.54,27.12,26.41,26.93,135462895
2015-04-17,26.85,27.13,25.98,26.13,200400693
2015-04-24,26.21,28.48,26.15,28.18,284699502
2015-05-01,28.17,28.3,26.6,26.9,188764000
2015-05-08,26.93,27.2,26.05,26.91,146640000
2015-05-15,26.92,27.1,26.26,26.69,143340000
2015-05-22,26.6,27.21,26.44,27.01,160800000
2015-05-29,26.91,27.03,26.49,26.61,151174000
2015-06-05,26.84,27.17,26.49,26.67,165936000
2015-06-12,26.67,26.95,26.15,26.62,139284000
2015-06-19,26.4,26.91,26.2,26.83,154506000
2015-06-26,26.98,27.19,26.57,26.58,143584000
2015-07-03,26.25,26.43,25.91,26.17,147038000
2015-07-10,25.98,26.63,25.76,26.51,159468000
2015-07-17,26.64,33.72,26.62,33.65,463368000
2015-07-24,32.96,33.93,31.13,31.18,396444000
2015-07-31,31.05,31.76,31.02,31.28,183162000
2015-08-07,31.27,32.39,31.27,31.76,162124000
2015-08-14,31.97,33.74,31.56,32.86,253158000
2015-08-21,32.84,33.35,30.62,30.62,235248000
2015-08-28,28.65,32.18,28.25,31.52,380284000
2015-09-04,31.38,31.79,29.7,30.03,246060000
2015-09-11,30.62,31.33,30.21,31.29,145208000
2015-09-18,31.28,32.54,30.97,31.46,249626000
2015-09-25,31.72,31.82,30.55,30.6,204728000
2015-10-02,30.52,31.37,29.47,31.35,248060000
2015-10-09,31.6,32.53,31.28,32.18,197868000
2015-10-16,32.1,33.25,31.95,33.11,159904000
2015-10-23,33.06,36.5,32.09,35.1,329830000
2015-10-30,35.08,35.96,35.06,35.54,210122000
2015-11-06,35.55,36.97,35.29,36.69,170632000
2015-11-13,36.51,37.05,35.84,35.85,179138000
2015-11-20,35.78,37.9,35.57,37.83,172810000
2015-11-27,37.87,38.14,36.88,37.51,114164000
2015-12-04,37.44,38.8,37.06,38.34,236210000
2015-12-11,38.39,38.44,36.84,36.94,211092000
2015-12-18,37.09,38.13,36.21,36.97,235482000
2015-12-25,37.31,37.74,37.0,37.42,99684000
2016-01-01,37.65,39.0,37.48,37.94,121490000
2016-01-08,37.15,37.6,35.65,35.72,251702000
2016-01-15,35.83,36.74,34.27,34.72,249014000
2016-01-22,35.17,36.41,33.66,36.26,202742000
2016-01-29,36.18,37.25,34.72,37.15,227766000
2016-02-05,37.52,39.49,34.01,34.18,558654000
2016-02-12,33.39,35.07,33.15,34.12,313194000
2016-02-19,34.65,35.62,34.25,35.05,169702000
2016-02-26,35.37,35.67,34.04,35.25,196168000
2016-03-04,35.02,36.0,34.88,35.54,203832000
2016-03-11,35.35,36.35,34.27,36.34,225744000
2016-03-18,36.34,37.15,36.23,36.88,198104000
2016-03-25,36.83,37.29,36.55,36.76,122664000
2016-04-01,36.84,37.89,36.44,37.5,165660000
2016-04-08,37.5,37.64,36.77,36.96,121284000
2016-04-15,37.15,38.05,36.55,37.95,144496000
2016-04-22,38.02,38.49,35.68,35.94,282618000
2016-04-29,35.81,36.29,34.45,34.65,263148000
2016-05-06,34.88,35.59,34.45,35.56,167908000
2016-05-13,35.6,36.22,35.45,35.54,148944000
2016-05-20,35.46,36.08,34.84,35.49,171674000
2016-05-27,35.33,36.7,35.21,36.63,168814000
2016-06-03,36.59,36.99,36.03,36.12,119024000
2016-06-10,36.25,36.48,35.73,35.97,133810000
2016-06-17,35.83,36.27,34.42,34.59,183288000
2016-06-24,34.94,35.14,33.67,33.76,227056000
2016-07-01,33.55,35.03,33.16,34.96,193556000
2016-07-08,34.8,35.29,34.41,35.28,115078000
2016-07-15,35.4,36.29,35.36,35.99,112282000
2016-07-22,36.14,37.16,36.06,37.14,121976000
2016-07-29,37.03,38.93,36.71,38.44,222066000
2016-08-05,38.05,39.15,38.05,39.11,174278000
2016-08-12,39.1,39.49,38.9,39.16,98576000
2016-08-19,39.19,39.37,38.66,38.77,89426000
2016-08-26,38.66,38.82,38.16,38.48,100904000
2016-09-02,38.44,38.75,38.22,38.57,104480000
2016-09-09,38.67,39.14,37.98,37.98,109846000
2016-09-16,37.76,38.69,37.7,38.44,142956000
2016-09-23,38.62,39.49,38.22,39.35,124346000
2016-09-30,39.14,39.3,38.65,38.86,133924000
2016-10-07,38.71,39.1,38.47,38.75,118906000
2016-10-14,38.89,39.61,38.65,38.93,114052000
2016-10-21,38.99,40.23,38.88,39.97,158808000
2016-10-28,40.24,40.83,39.58,39.77,238814000
2016-11-04,39.77,39.84,37.53,38.1,215682000
2016-11-11,38.72,39.78,37.52,37.7,254722000
2016-11-18,37.78,38.75,36.38,38.03,207242000
2016-11-25,38.13,38.85,37.76,38.08,99790000
2016-12-02,38.0,38.98,36.85,37.53,213362000
2016-12-09,37.89,39.47,37.65,39.46,163118000
2016-12-16,39.25,40.22,39.22,39.54,200476000
2016-12-23,39.51,39.93,39.31,39.5,99800000
2016-12-30,39.53,39.89,38.52,38.59,89144000
2017-01-06,38.94,40.4,38.79,40.31,114114000
2017-01-13,40.32,40.56,39.96,40.39,119392000
2017-01-20,40.35,40.47,40.02,40.25,104916000
2017-01-27,40.36,42.1,40.19,41.17,217436000
2017-02-03,40.73,40.79,39.53,40.07,208648000
2017-02-10,39.99,40.76,39.76,40.68,114114000
2017-02-17,40.8,41.4,40.77,41.4,129604000
2017-02-24,41.43,41.67,41.14,41.43,102204000
2017-03-03,41.23,41.81,41.01,41.45,133954000
2017-03-10,41.35,42.25,41.12,42.16,122038000
2017-03-17,42.2,42.67,42.04,42.61,121498000
2017-03-24,42.5,42.67,40.44,40.72,211292000
2017-03-31,40.35,41.68,40.17,41.48,155166000
2017-04-07,41.46,42.12,41.03,41.23,131678000
2017-04-14,41.27,41.47,40.85,41.18,81630000
2017-04-21,41.25,42.26,41.22,42.16,99370000
2017-04-28,42.56,45.84,42.49,45.3,191696000
2017-05-05,45.1,46.8,45.07,46.36,170722000
2017-05-12,46.31,46.88,46.15,46.61,119422000
2017-05-19,46.65,47.16,45.91,46.7,148592000
2017-05-26,46.75,48.75,46.75,48.57,126570000
2017-06-02,48.52,48.96,48.0,48.78,141526000
2017-06-09,48.83,49.41,46.78,47.49,186238000
2017-06-16,46.98,48.06,45.76,46.99,249886000
2017-06-23,47.5,48.3,47.45,48.28,126616000
2017-06-30,48.49,48.67,45.42,45.44,245782000
2017-07-07,45.61,46.08,44.74,45.93,131720000
2017-07-14,46.09,47.85,45.98,47.8,123732000
2017-07-21,47.85,48.79,47.46,48.65,137590000
2017-07-28,48.61,49.31,46.0,47.08,301140000
2017-08-04,47.09,47.18,45.83,46.4,147140000
2017-08-11,46.45,46.79,45.28,45.72,126334000
2017-08-18,46.13,46.63,45.36,45.53,111490000
2017-08-25,45.5,46.54,45.17,45.79,110480000
2017-09-01,45.8,47.12,45.25,46.87,122066000
2017-09-08,46.65,46.85,45.96,46.33,101566000
2017-09-15,46.71,46.92,45.82,46.01,148140000
2017-09-22,46.0,46.83,45.53,46.43,125134000
2017-09-29,46.27,47.99,45.49,47.96,167288000
2017-10-06,48.0,48.97,47.39,48.94,110236000
2017-10-13,49.0,49.86,48.3,49.48,119706000
2017-10-20,49.6,49.84,48.92,49.41,115102000
2017-10-27,49.48,52.42,48.03,50.96,222234000
2017-11-03,50.7,51.63,50.38,51.62,138292000
2017-11-10,51.45,52.18,50.98,51.4,105828000
2017-11-17,51.17,51.8,50.71,50.95,104516000
2017-11-24,51.01,52.16,50.88,52.03,66676000
2017-12-01,52.0,53.12,50.1,50.51,176506000
2017-12-08,50.63,52.1,49.41,51.85,159894000
2017-12-15,51.78,53.38,51.6,53.21,171792000
2017-12-22,53.3,53.92,52.97,53.01,118254000
2017-12-29,52.9,53.01,52.24,52.32,75142000
2018-01-05,52.42,55.21,52.26,55.11,99030000
2018-01-12,55.11,56.21,54.81,56.11,113834000
2018-01-19,56.63,57.0,55.85,56.88,115086000
2018-01-26,56.87,58.99,56.76,58.79,157340000
2018-02-02,58.82,59.34,55.36,55.6,234878000
2018-02-09,54.53,55.5,49.63,51.89,319610000
2018-02-16,52.4,55.23,52.05,54.74,168030000
2018-02-23,54.53,56.7,54.43,56.34,110284000
