Date,Open,High,Low,Close,Volume
2015-04-03,28.01,28.12,27.02,27.07,146382000
2015-04-10,26.94,27.58,26.78,27.43,147892000
2015-04-17,27.35,27.66,26.45,26.64,204450000
2015-04-24,26.69,29.24,26.67,28.68,269794000
2015-05-01,28.64,28.78,27.19,27.56,202674000
2015-05-08,27.55,27.83,26.61,27.45,162892000
2015-05-15,27.42,27.67,26.75,27.32,146554000
2015-05-22,27.19,27.91,27.11,27.73,163108000
2015-05-29,27.63,27.79,27.15,27.27,139308000
2015-06-05,27.44,27.94,27.18,27.48,143024000
2015-06-12,27.48,27.74,26.94,27.37,139008000
2015-06-19,27.14,27.9,26.96,27.88,184598000
2015-06-26,27.97,28.28,27.59,27.65,165432000
2015-07-03,27.34,27.55,26.98,27.37,131150000
2015-07-10,27.11,27.96,26.99,27.81,160056000
2015-07-17,27.98,35.15,27.93,34.98,527894000
2015-07-24,34.45,35.67,32.66,32.74,419994000
2015-07-31,32.58,33.4,32.58,32.88,204030000
2015-08-07,32.88,34.0,32.88,33.22,162188000
2015-08-14,33.35,35.2,33.01,34.47,266788000
2015-08-21,34.4,35.01,32.15,32.2,252262000
2015-08-28,30.03,33.7,29.65,32.98,386768000
2015-09-04,32.72,33.22,31.25,31.45,203074000
2015-09-11,32.05,32.87,31.65,32.76,142812000
2015-09-18,32.78,34.1,32.47,33.05,212036000
2015-09-25,33.28,33.45,31.98,32.01,209788000
2015-10-02,31.95,32.85,30.89,32.85,234024000
2015-10-09,33.08,33.94,32.72,33.56,196520000
2015-10-16,33.46,34.81,33.36,34.77,183894000
2015-10-23,34.7,37.62,33.53,35.97,329916000
2015-10-30,36.0,37.34,36.0,36.87,203662000
2015-11-06,36.73,38.32,36.57,38.08,197090000
2015-11-13,37.93,38.45,36.97,37.0,190842000
2015-11-20,37.01,38.97,36.72,38.85,209390000
2015-11-27,38.87,39.15,37.91,38.6,120574000
2015-12-04,38.59,39.65,38.06,38.96,212610000
2015-12-11,39.0,39.05,37.43,37.52,189900000
2015-12-18,37.56,39.08,36.81,37.84,260674000
2015-12-25,38.15,38.6,37.71,38.29,112192000
2016-01-01,38.5,39.93,38.39,38.9,130904000
2016-01-08,38.11,38.46,36.45,36.55,271442000
2016-01-15,36.6,37.65,35.08,35.52,281674000
2016-01-22,36.01,37.43,34.39,37.27,230248000
2016-01-29,37.19,38.26,35.67,38.07,256620000
2016-02-05,38.56,40.52,35.01,35.19,592960000
2016-02-12,34.38,36.16,34.1,35.34,345566000
2016-02-19,35.93,36.8,35.51,36.11,174792000
2016-02-26,36.48,36.81,35.1,36.24,194560000
2016-03-04,36.05,37.16,35.84,36.51,230522000
2016-03-11,36.26,37.24,35.2,37.24,233760000
2016-03-18,37.25,38.27,37.14,37.77,192748000
2016-03-25,37.7,38.27,37.53,37.74,106664000
2016-04-01,37.81,38.87,37.41,38.48,166362000
2016-04-08,38.48,38.62,37.78,37.97,125646000
2016-04-15,38.27,39.05,37.58,39.0,153292000
2016-04-22,39.01,39.55,36.52,36.89,330180000
2016-04-29,36.77,37.28,35.16,35.39,292436000
2016-05-06,35.6,36.3,35.2,36.26,175888000
2016-05-13,36.33,37.04,36.17,36.24,152880000
2016-05-20,36.22,36.79,35.52,36.09,153874000
2016-05-27,36.0,37.4,35.85,37.38,156920000
2016-06-03,37.44,37.67,36.7,36.79,121796000
2016-06-10,36.92,37.2,36.41,36.66,134850000
2016-06-17,36.49,36.95,35.06,35.21,200436000
2016-06-24,35.52,35.79,34.25,34.26,242966000
2016-07-01,34.12,35.63,33.63,35.51,212750000
2016-07-08,35.25,35.9,34.95,35.89,108462000
2016-07-15,35.97,37.05,35.94,36.78,129476000
2016-07-22,36.9,38.03,36.83,37.96,131618000
2016-07-29,37.88,40.2,37.64,39.57,252704000
2016-08-05,39.33,40.37,39.25,40.35,187394000
2016-08-12,40.3,40.69,40.08,40.35,118542000
2016-08-19,40.36,40.57,39.81,39.98,100784000
2016-08-26,39.93,40.05,39.36,39.66,110110000
2016-09-02,39.65,39.93,39.32,39.84,113318000
2016-09-09,39.92,40.54,39.4,39.42,124002000
2016-09-16,39.23,40.18,39.17,39.9,173052000
2016-09-23,40.06,40.95,39.68,40.75,134364000
2016-09-30,40.49,40.7,40.02,40.2,146410000
2016-10-07,40.13,40.42,39.81,40.04,124494000
2016-10-14,40.2,40.99,39.93,40.23,132130000
2016-10-21,40.3,41.49,40.19,41.2,157110000
2016-10-28,41.5,41.95,40.73,40.98,249232000
2016-11-04,41.12,41.13,38.55,39.06,221902000
2016-11-11,39.75,40.8,38.28,38.59,327248000
2016-11-18,38.59,39.56,37.18,38.8,235412000
2016-11-25,38.9,39.69,38.63,39.01,99030000
2016-12-02,38.92,39.99,37.67,38.22,220048000
2016-12-09,38.5,40.5,38.35,40.47,179380000
2016-12-16,40.24,41.22,40.23,40.49,198502000
2016-12-23,40.46,40.82,40.22,40.39,117844000
2016-12-30,40.43,40.8,39.48,39.62,99682000
2017-01-06,40.03,41.45,39.84,41.26,136638000
2017-01-13,41.32,41.73,41.05,41.55,131428000
2017-01-20,41.5,41.65,41.16,41.41,96906000
2017-01-27,41.58,43.35,41.44,42.25,260940000
2017-02-03,41.85,41.86,40.6,41.01,220108000
2017-02-10,41.05,41.86,40.71,41.74,138580000
