Date,Open,High,Low,Close,Volume
2015-03-27,46.03,46.26,44.12,44.99,6600600
2015-04-03,45.06,46.31,44.94,45.96,3814800
2015-04-10,45.62,49.97,45.48,49.84,12551200
2015-04-17,49.88,50.43,48.83,49.88,7762600
2015-04-24,50.15,51.22,49.97,50.9,5150600
2015-05-01,50.92,51.15,49.99,50.53,4515000
2015-05-08,50.55,51.28,50.12,50.94,5160600
2015-05-15,51.01,52.74,50.42,52.1,5327600
2015-05-22,51.97,53.03,51.78,52.55,6287000
2015-05-29,52.36,52.51,51.78,52.19,4276000
2015-06-05,52.35,53.53,51.85,52.83,5242000
2015-06-12,52.88,53.4,51.9,52.56,3996400
2015-06-19,52.08,53.83,51.63,53.1,4724400
2015-06-26,53.48,53.9,52.6,52.66,3425000
2015-07-03,52.06,52.92,51.38,52.28,4471000
2015-07-10,51.87,53.12,51.54,52.97,4358600
2015-07-17,53.3,54.1,52.62,53.29,3129000
2015-07-24,53.38,54.54,51.95,52.23,4791400
2015-07-31,51.83,57.16,51.06,56.04,12349000
2015-08-07,56.05,57.28,55.75,56.37,4811000
2015-08-14,56.76,58.64,55.99,58.47,4386600
2015-08-21,58.16,59.29,55.96,55.97,5431600
2015-08-28,53.15,56.72,50.69,56.24,6397000
2015-09-04,56.01,56.25,54.03,55.15,3568200
2015-09-11,56.25,57.41,55.54,57.04,3140400
2015-09-18,57.03,57.92,56.14,56.87,5138000
2015-09-25,57.4,59.01,57.25,57.87,4726800
2015-10-02,57.67,59.22,55.75,59.22,6510000
2015-10-09,60.0,66.58,57.26,66.51,14283800
2015-10-16,66.46,67.68,62.96,65.43,11924200
2015-10-23,65.22,67.49,64.81,66.97,10553000
2015-10-30,67.08,69.69,64.67,68.21,9483200
2015-11-06,68.12,69.94,66.87,69.94,4992500
2015-11-13,69.3,70.0,68.07,69.03,6571300
2015-11-20,68.75,71.93,68.18,71.26,5591900
2015-11-27,71.38,72.91,71.36,72.29,4159100
2015-12-04,72.55,72.89,68.98,70.39,11786200
2015-12-11,70.45,74.64,69.01,69.69,9294500
2015-12-18,69.82,71.86,63.0,63.8,25876300
2015-12-25,64.0,65.79,62.71,65.5,5427100
2016-01-01,65.31,66.7,64.33,64.51,4484300
2016-01-08,63.51,64.08,60.02,60.18,12207200
2016-01-15,60.27,60.98,55.57,57.1,15179500
2016-01-22,57.65,59.04,54.79,58.86,10437500
2016-01-29,58.79,59.18,55.54,58.95,11923200
2016-02-05,58.48,60.03,55.58,55.76,8154500
2016-02-12,54.81,56.86,51.29,56.8,10842400
2016-02-19,57.29,59.59,56.64,59.16,6185900
2016-02-26,59.64,62.99,59.64,61.6,5816800
2016-03-04,61.38,63.48,60.72,63.26,5665300
2016-03-11,62.94,63.0,58.57,60.16,8552400
2016-03-18,59.9,60.22,58.11,59.35,8195200
2016-03-25,59.38,60.45,58.54,60.17,5955600
2016-04-01,60.19,65.55,59.55,65.15,9416400
2016-04-08,65.34,72.93,64.21,72.2,12962800
2016-04-15,72.92,76.19,71.27,75.69,11934300
2016-04-22,75.81,77.53,72.93,73.29,47866800
2016-04-29,74.01,75.95,71.67,72.18,11411100
2016-05-06,72.76,73.4,71.72,72.86,7528900
2016-05-13,72.56,75.12,72.03,74.24,6869700
2016-05-20,74.09,75.62,72.88,74.95,5631400
2016-05-27,74.92,77.35,74.26,77.11,5465900
2016-06-03,77.37,78.92,75.61,76.06,7335600
2016-06-10,76.46,77.45,74.55,74.74,6080000
2016-06-17,74.0,74.65,72.95,73.99,6379700
2016-06-24,75.02,75.95,70.2,70.27,7147600
2016-07-01,69.39,72.24,67.04,71.74,8815400
2016-07-08,71.3,73.64,70.74,73.54,4737100
2016-07-15,73.81,77.3,73.81,76.72,5295500
2016-07-22,76.55,78.16,76.2,77.81,3278100
2016-07-29,77.66,79.93,74.4,74.66,9850600
2016-08-05,74.68,75.12,70.78,74.54,9310400
2016-08-12,74.6,75.95,73.74,74.69,5518900
2016-08-19,74.68,75.02,73.49,74.75,4864400
2016-08-26,74.69,77.36,74.45,76.14,4988400
2016-09-02,76.11,77.93,75.19,76.32,6034900
2016-09-09,76.3,76.87,73.62,73.62,6384000
2016-09-16,72.94,76.38,72.47,74.3,8302900
2016-09-23,75.0,76.9,74.09,75.42,4198800
2016-09-30,74.93,77.14,74.7,76.76,4299800
2016-10-07,76.4,79.24,75.18,76.01,9361400
2016-10-14,76.16,77.08,72.14,73.04,5770000
2016-10-21,72.84,74.69,72.53,72.88,3924900
2016-10-28,73.45,74.76,72.37,72.59,4039600
2016-11-04,72.9,73.18,70.2,70.81,4780400
2016-11-11,72.09,73.58,69.41,69.49,6513000
2016-11-18,69.74,70.84,64.63,70.71,10554700
2016-11-25,70.94,72.24,70.76,72.09,3096600
2016-12-02,72.14,72.34,65.91,68.13,7795400
2016-12-09,68.53,72.24,68.53,72.19,6303200
2016-12-16,71.71,72.62,69.97,70.29,6071000
2016-12-23,70.47,71.71,69.77,70.3,4292700
2016-12-30,70.49,70.85,68.98,69.41,3354500
2017-01-06,69.98,74.61,69.04,74.45,6733000
2017-01-13,78.4,80.88,76.72,77.74,10151900
2017-01-20,77.35,79.84,77.18,79.08,6419300
2017-01-27,78.87,79.54,76.71,77.44,5922400
2017-02-03,77.1,79.29,75.88,78.6,6352800
2017-02-10,78.05,79.78,77.62,78.47,5361200
