Date,Open,High,Low,Close,Volume
2015-03-27,49.53,49.82,46.78,47.66,5852500
2015-04-03,47.79,48.31,45.92,46.49,5324300
2015-04-10,44.65,46.88,44.57,46.66,7424300
2015-04-17,46.54,47.87,46.41,46.67,5750200
2015-04-24,46.94,47.97,46.08,46.19,5661700
2015-05-01,46.34,47.7,44.81,45.86,11284900
2015-05-08,45.79,46.11,44.96,45.94,5187900
2015-05-15,45.89,46.76,45.75,46.2,5758500
2015-05-22,46.08,46.46,45.69,45.95,4116300
2015-05-29,45.89,46.42,45.04,45.48,4961900
2015-06-05,45.59,46.38,44.84,45.62,5224700
2015-06-12,45.57,46.81,44.72,44.79,5969300
2015-06-19,44.5,47.17,44.03,46.85,8317700
2015-06-26,47.02,47.27,45.48,45.57,5279500
2015-07-03,44.39,45.27,43.58,44.09,4571600
2015-07-10,43.55,44.24,42.7,44.17,6451100
2015-07-17,45.29,46.72,41.2,42.89,18573100
2015-07-24,42.88,43.1,42.28,42.48,5320400
2015-07-31,42.39,43.89,41.86,41.91,8803100
2015-08-07,41.98,42.72,40.34,40.62,8040100
2015-08-14,40.9,41.13,39.47,39.9,5233300
2015-08-21,39.87,40.8,38.24,38.26,5699600
2015-08-28,36.26,38.42,35.35,37.99,11406700
2015-09-04,37.84,37.99,36.46,36.5,6273500
2015-09-11,37.14,37.95,35.55,35.89,5803300
2015-09-18,35.7,37.16,35.65,36.23,5857700
2015-09-25,36.42,36.89,35.01,35.45,5036500
2015-10-02,35.19,35.97,34.9,35.85,5255500
2015-10-09,35.95,37.28,35.9,37.07,4627500
2015-10-16,37.11,37.33,31.32,34.09,15157100
2015-10-23,34.34,35.5,33.61,35.4,6826300
2015-10-30,35.44,35.79,33.9,35.47,5497700
2015-11-06,35.52,37.51,35.37,37.44,6585500
2015-11-13,37.38,38.48,35.28,35.39,7148200
2015-11-20,35.31,37.67,35.3,37.41,5554100
2015-11-27,37.26,38.31,37.03,37.48,3787800
2015-12-04,37.87,38.21,36.78,37.64,7591600
2015-12-11,37.73,38.09,35.22,35.45,6166100
2015-12-18,35.43,36.51,34.3,35.26,16798100
2015-12-25,35.34,37.09,35.13,36.98,5728000
2016-01-01,36.88,37.48,36.66,37.17,3160700
2016-01-08,36.6,37.34,33.48,33.55,9995300
2016-01-15,33.89,33.98,32.02,32.52,9840800
2016-01-22,32.97,34.2,30.93,33.84,5889500
2016-01-29,33.75,35.23,33.15,35.18,6492700
2016-02-05,34.97,35.35,33.58,34.69,6291700
2016-02-12,34.45,35.14,32.83,34.36,7254900
2016-02-19,34.92,41.97,34.49,39.97,16592400
2016-02-26,40.5,41.18,39.41,40.4,6693200
2016-03-04,40.39,42.26,40.17,40.74,7528400
2016-03-11,40.67,40.83,39.14,39.72,6881800
2016-03-18,39.27,39.88,38.61,39.63,7583500
2016-03-25,39.6,40.08,38.4,38.97,3318100
2016-04-01,39.04,40.29,38.58,39.69,4164700
2016-04-08,39.79,40.33,39.32,39.63,4949100
2016-04-15,39.75,42.42,39.6,42.23,6228600
2016-04-22,42.0,43.17,41.79,42.71,4788800
2016-04-29,42.55,44.42,41.67,42.63,7544600
2016-05-06,42.88,43.02,40.34,40.84,4573100
2016-05-13,41.03,41.33,39.88,40.01,4355800
