Date,Open,High,Low,Close,Volume
2015-03-27,193.27,194.25,185.02,188.06,9848400
2015-04-03,189.24,192.73,186.96,191.55,10878100
2015-04-10,190.18,195.86,188.95,195.64,9523600
2015-04-17,195.32,202.87,194.77,197.35,21084900
2015-04-24,199.07,200.49,196.57,197.99,9922100
2015-05-01,198.76,199.75,194.4,197.53,10919400
2015-05-08,198.26,201.34,194.01,200.5,11290600
2015-05-15,200.29,202.97,198.07,202.97,10057400
2015-05-22,202.65,208.26,202.64,207.8,11631300
2015-05-29,207.52,209.68,205.0,206.19,11688200
2015-06-05,207.32,211.94,205.65,210.45,13423500
2015-06-12,211.15,214.61,207.62,213.06,11167100
2015-06-19,210.89,215.01,210.38,213.19,11967000
2015-06-26,215.06,218.77,212.49,213.17,13884200
2015-07-03,210.14,212.49,207.65,209.2,12097000
2015-07-10,206.71,208.97,203.2,207.19,12402900
2015-07-17,209.44,214.14,208.65,212.46,13923300
2015-07-24,212.68,214.61,206.9,207.35,11108600
2015-07-31,205.45,208.13,203.5,205.07,9902800
2015-08-07,205.75,207.78,202.32,203.44,8239400
2015-08-14,204.59,206.57,196.58,202.02,13886900
2015-08-21,201.01,203.1,187.58,187.74,14533700
2015-08-28,178.46,189.86,172.1,187.75,26161800
2015-09-04,187.69,190.25,179.13,180.38,18594100
2015-09-11,183.91,191.75,183.32,185.27,13396300
2015-09-18,185.6,190.57,180.55,180.94,18799100
2015-09-25,183.3,184.41,174.82,179.83,16783200
2015-10-02,178.46,178.46,167.49,177.01,19332000
2015-10-09,178.23,183.79,177.83,179.19,14431500
2015-10-16,180.8,186.65,175.76,185.18,17928200
2015-10-23,183.48,186.5,179.55,185.5,14561000
2015-10-30,187.1,191.96,184.5,187.5,13597600
2015-11-06,188.32,199.47,187.68,199.17,13606100
2015-11-13,199.04,199.9,190.06,190.39,12042700
2015-11-20,189.99,194.21,188.01,191.47,13687500
2015-11-27,191.3,191.49,186.56,190.47,7939400
2015-12-04,190.5,193.84,184.73,189.99,16489300
2015-12-11,190.0,190.12,175.47,176.56,16033600
2015-12-18,176.67,187.89,172.9,175.49,21241500
2015-12-25,177.5,183.17,175.83,182.47,8261200
2016-01-01,181.77,184.18,179.84,180.23,6860400
2016-01-08,175.79,177.5,163.6,163.94,24424200
2016-01-15,165.0,168.18,153.81,155.61,24590000
