Date,Open,High,Low,Close,Volume
2015-04-03,61.5,63.95,61.13,63.45,5119700
2015-04-10,63.26,64.59,63.0,64.22,4309300
2015-04-17,64.12,66.32,63.65,65.89,6636200
2015-04-24,70.0,74.75,69.66,71.61,19231400
2015-05-01,71.69,72.22,69.91,71.66,5981600
2015-05-08,72.26,72.33,69.9,71.22,4093600
2015-05-15,71.56,72.52,70.24,72.39,4330200
2015-05-22,72.26,73.02,71.34,72.9,3297600
2015-05-29,72.85,73.16,71.6,72.13,2542200
2015-06-05,71.95,73.25,71.53,72.22,3937100
2015-06-12,72.31,73.48,71.89,72.82,3383600
2015-06-19,72.81,76.49,72.24,76.18,4393600
2015-06-26,76.64,78.91,76.17,77.69,5643000
2015-07-03,77.39,77.72,74.02,75.92,6204000
2015-07-10,74.69,77.68,74.66,77.22,8114100
2015-07-17,77.27,79.0,76.8,78.25,8096600
2015-07-24,81.69,84.42,79.05,79.64,10725700
2015-07-31,79.63,80.92,78.6,78.74,6401300
2015-08-07,78.74,79.69,76.5,77.41,5293000
2015-08-14,78.16,81.0,78.06,80.71,4676000
2015-08-21,80.2,80.9,75.18,75.18,4245200
2015-08-28,69.81,76.16,60.38,75.51,9260900
2015-09-04,75.08,77.45,72.07,75.37,8669700
2015-09-11,76.64,77.13,75.01,76.75,3807300
2015-09-18,76.75,80.38,76.49,77.06,6303400
2015-09-25,77.49,78.28,73.29,74.95,4206500
2015-10-02,74.7,74.95,70.11,71.36,6930300
2015-10-09,71.94,74.77,71.91,74.35,5184300
2015-10-16,74.15,77.91,73.48,77.78,6964700
2015-10-23,76.77,79.24,70.82,78.87,13766200
2015-10-30,78.25,79.43,76.82,76.83,5695700
2015-11-06,77.28,78.68,76.42,78.24,4369500
2015-11-13,78.0,79.93,75.72,76.01,5404300
2015-11-20,75.9,77.0,74.12,75.49,7207200
2015-11-27,75.6,76.84,74.06,75.37,3323000
2015-12-04,75.56,75.56,67.72,68.71,10953100
2015-12-11,68.85,71.35,67.5,68.37,8229300
2015-12-18,68.93,71.04,65.31,65.83,8953300
2015-12-25,66.46,68.09,64.91,67.62,4761800
2016-01-01,67.4,68.77,66.8,67.36,3028100
2016-01-08,66.34,71.1,65.52,68.04,9210000
2016-01-15,68.68,72.26,68.28,72.07,7418700
2016-01-22,72.64,73.62,67.2,72.91,5596100
2016-01-29,72.72,74.32,70.63,74.28,5747600
2016-02-05,73.98,78.45,72.54,74.1,14670000
2016-02-12,74.36,75.87,68.6,70.08,12477300
2016-02-19,70.8,73.09,70.49,72.08,5581200
2016-02-26,73.31,77.05,72.5,76.45,4600500
2016-03-04,76.44,79.4,75.14,77.91,4556600
2016-03-11,77.55,79.31,77.5,77.98,4466000
2016-03-18,77.77,79.21,77.61,78.49,6422600
2016-03-25,78.21,78.77,77.11,77.3,3356500
2016-04-01,77.57,80.33,77.42,79.19,5960900
2016-04-08,79.37,80.44,77.5,78.76,5530100
2016-04-15,79.31,82.61,79.02,82.41,5091800
2016-04-22,87.34,88.53,84.57,87.43,10107100
2016-04-29,87.0,87.98,84.22,84.64,4376900
2016-05-06,85.43,86.34,83.35,85.09,4027600
2016-05-13,84.69,86.45,84.35,85.11,4310200
2016-05-20,84.9,85.96,83.8,84.39,3578700
2016-05-27,84.65,87.56,84.13,87.28,2991100
2016-06-03,87.27,87.64,85.33,85.79,2932500
2016-06-10,86.36,87.38,85.49,85.92,2733100
2016-06-17,85.77,86.77,84.48,85.42,3904900
2016-06-24,86.75,87.1,82.33,82.37,5943900
2016-07-01,81.88,84.25,80.34,83.9,7450600
2016-07-08,83.33,84.94,81.74,84.71,9315100
2016-07-15,84.95,87.0,84.92,85.5,4725200
2016-07-22,83.5,84.25,78.53,80.4,15794200
2016-07-29,80.25,81.6,79.96,81.23,5892300
2016-08-05,81.03,82.06,80.14,81.89,4590900
2016-08-12,81.66,82.92,80.98,82.42,3324200
2016-08-19,82.41,82.75,80.21,80.69,3636400
2016-08-26,80.37,82.48,80.37,81.36,2922500
2016-09-02,81.3,82.95,80.78,82.91,2901000
2016-09-09,82.92,83.25,79.82,79.93,3042300
2016-09-16,79.3,80.22,76.8,77.27,5613200
2016-09-23,77.4,81.1,77.02,80.16,3443500
2016-09-30,79.98,80.37,78.6,79.33,5138700
2016-10-07,78.99,80.92,78.45,79.3,5566900
2016-10-14,79.88,79.99,76.14,76.16,8612600
2016-10-21,79.94,82.87,79.11,82.81,17092700
2016-10-28,83.39,84.25,81.92,83.27,5734800
2016-11-04,83.45,84.4,80.36,81.12,5425900
2016-11-11,82.26,84.91,80.55,84.59,4883800
2016-11-18,85.0,87.72,84.25,84.28,5375300
2016-11-25,84.7,87.96,84.49,87.94,3083600
2016-12-02,86.54,87.14,83.56,83.98,6352700
2016-12-09,84.64,87.37,83.96,86.01,4847000
2016-12-16,86.51,87.57,80.78,80.87,11827700
2016-12-23,80.1,81.33,77.34,78.36,7304700
2016-12-30,78.7,79.43,77.2,77.79,4359800
2017-01-06,78.11,84.19,78.11,82.87,9153500
2017-01-13,82.99,83.94,81.31,83.86,6128900
2017-01-20,83.7,85.35,83.56,83.99,5351500
2017-01-27,84.13,87.11,80.22,82.59,9441200
2017-02-03,82.0,83.48,81.54,82.63,7249600
2017-02-10,94.11,98.26,93.26,97.63,24442100
2017-02-17,98.26,98.76,96.82,98.5,7212500
2017-02-24,98.99,99.33,96.5,97.78,4846400
2017-03-03,97.39,98.61,96.66,97.75,5978500
2017-03-10,97.51,97.88,96.79,97.47,4676500
2017-03-17,97.41,100.55,97.27,100.25,5419000
2017-03-24,100.22,101.08,98.03,99.97,5552100
2017-03-31,99.28,100.54,98.28,99.82,4421300
2017-04-07,99.9,100.35,95.54,95.75,6780900
2017-04-14,95.87,96.99,94.76,95.5,3515900
2017-04-21,95.74,96.56,94.79,96.03,5381800
2017-04-28,102.28,104.14,98.5,99.11,11317400
2017-05-05,99.48,100.22,98.01,100.2,4395600
2017-05-12,100.45,101.86,99.43,101.37,3676000
2017-05-19,101.23,101.82,98.27,101.05,3284100
2017-05-26,100.68,104.82,100.5,104.21,4153900
2017-06-02,104.13,108.04,103.71,107.16,2972500
2017-06-09,107.04,109.79,106.6,107.9,3603600
2017-06-16,107.47,111.01,107.12,109.64,5542200
2017-06-23,111.35,113.49,110.23,111.91,3896500
2017-06-30,112.16,112.24,108.94,111.51,3977500
2017-07-07,112.09,113.0,110.22,111.93,2230100
2017-07-14,112.03,113.41,111.07,113.14,2520100
2017-07-21,113.31,116.2,112.29,115.95,3479000
2017-07-28,111.16,111.59,103.68,105.74,12282400
2017-08-04,105.7,106.8,102.84,103.49,6105700
2017-08-11,103.65,103.86,97.07,97.55,6321400
2017-08-18,98.48,99.6,95.12,95.51,4967700
2017-08-25,95.55,96.06,93.73,95.2,8388100
2017-09-01,95.29,99.09,94.32,98.34,6126000
2017-09-08,97.37,97.46,91.57,94.09,7473500
2017-09-15,94.98,96.53,94.44,94.84,6319100
2017-09-22,95.17,96.88,92.36,96.14,8322400
2017-09-29,96.17,97.87,95.5,97.67,4927200
2017-10-06,97.35,98.58,95.53,96.26,5484600
2017-10-13,96.5,97.77,95.9,96.62,3946600
2017-10-20,96.6,98.93,96.13,98.19,6735100
2017-10-27,92.69,97.3,88.66,97.14,18983200
2017-11-03,96.96,96.96,89.1,90.69,8398700
2017-11-10,90.67,91.59,87.92,91.45,6756800
2017-11-17,94.75,99.17,93.5,95.89,11443200
2017-11-24,95.54,96.1,94.46,94.65,2450200
2017-12-01,94.92,95.22,90.19,91.84,4448600
2017-12-08,92.32,93.86,90.03,91.36,6202100
2017-12-15,91.16,97.17,90.78,94.07,7625400
2017-12-22,94.39,94.97,90.24,93.55,6026400
2017-12-29,93.89,93.91,90.08,90.89,3259900
2018-01-05,91.56,92.78,89.95,92.41,5836400
2018-01-12,92.1,95.17,90.6,92.45,6367900
2018-01-19,92.58,93.15,88.3,92.56,6678000
2018-01-26,92.34,97.46,89.69,93.39,11776200
2018-02-02,93.35,96.3,92.82,94.12,6519800
2018-02-09,94.01,103.39,89.89,97.73,18228400
2018-02-16,98.41,100.69,94.68,98.85,8512100
2018-02-23,98.52,100.26,95.97,97.47,6036600
2018-03-02,97.81,100.55,93.55,95.65,5647700
2018-03-09,95.4,97.16,89.84,91.46,6684300
2018-03-16,92.0,92.18,87.3,87.74,9048600
2018-03-23,87.11,87.29,84.06,84.22,8405900
2018-03-30,84.82,86.0,83.56,84.3,3799900
2018-04-06,83.97,86.29,83.4,84.43,5052500
2018-04-13,84.98,87.92,84.35,87.76,5287000
2018-04-20,88.43,89.06,82.45,82.81,10373900
2018-04-27,79.25,88.48,79.0,87.36,18521500
2018-05-04,87.0,88.74,85.31,86.87,7039900
2018-05-11,86.83,89.16,85.87,87.25,5071600
2018-05-18,87.25,89.21,86.27,88.71,4001900
2018-05-25,88.85,88.85,87.07,87.64,2943400
2018-06-01,87.38,87.62,86.28,87.09,3921700
2018-06-08,87.34,90.5,86.75,90.33,4126000
2018-06-15,90.37,92.02,90.05,91.28,5461000
2018-06-22,91.5,92.22,88.15,91.68,5697300
2018-06-29,91.19,93.0,90.19,92.31,6016500
2018-07-06,91.75,96.26,91.7,96.05,6592200
2018-07-13,96.19,97.54,95.78,96.52,4314800
2018-07-20,94.45,95.14,92.46,93.93,7822600
2018-07-27,104.78,107.58,99.7,101.31,18476800
2018-08-03,100.86,101.18,96.17,99.53,5028000
2018-08-10,99.35,99.7,97.22,97.82,3202300
2018-08-17,98.36,99.13,97.39,98.53,3345200
2018-08-24,98.79,101.42,98.45,100.99,3322300
2018-08-31,101.4,102.52,98.07,99.31,3533100
2018-09-07,98.75,101.61,98.65,101.0,4075800
2018-09-14,101.28,105.93,101.21,105.59,4346600
2018-09-21,105.34,109.6,105.28,107.46,7627200
2018-09-28,107.1,107.47,104.85,105.12,4511600
2018-10-05,106.11,107.57,100.55,101.64,6062400
2018-10-12,101.45,101.74,96.87,98.31,5263200
2018-10-19,97.89,102.07,95.69,98.04,6883900
2018-10-26,90.44,95.75,90.27,92.71,15974500
2018-11-02,93.66,99.37,89.89,98.29,8946100
2018-11-09,98.31,100.85,96.7,97.32,4975100
2018-11-16,97.09,98.09,95.17,97.71,4685700
2018-11-23,97.75,98.04,93.48,96.03,3361000
2018-11-30,97.11,98.28,90.97,91.0,7700600
2018-12-07,91.47,91.51,83.29,83.93,9618300
2018-12-14,83.58,85.93,81.81,84.06,5547100
2018-12-21,83.83,85.45,77.79,78.11,8174300
2018-12-28,78.2,82.18,76.84,81.13,3216600
2019-01-04,81.29,82.31,77.34,80.79,6451200
2019-01-11,80.75,86.97,80.3,86.92,6628200
2019-01-18,86.65,89.19,85.8,88.85,4478200
2019-01-25,88.66,90.49,87.34,90.13,3695900
2019-02-01,89.11,91.54,89.11,90.78,4723200
2019-02-08,90.58,93.19,85.55,89.39,11767800
2019-02-15,90.49,90.68,83.53,86.4,9812400
2019-02-22,86.45,87.56,85.68,86.0,5563800
2019-03-01,86.51,88.24,82.88,88.02,7583100
2019-03-08,88.63,90.04,85.96,87.05,4788100
2019-03-15,87.22,87.51,86.07,86.72,5196700
2019-03-22,86.81,88.14,82.87,83.51,3922700
2019-03-29,83.29,85.89,83.04,85.02,4060200
2019-04-05,85.46,86.67,84.61,86.56,4134200
2019-04-12,86.27,87.62,84.75,87.57,3948200
2019-04-19,87.58,90.57,87.2,88.78,3941400
2019-04-26,88.42,103.52,87.92,102.59,14645900
2019-05-03,102.62,105.0,100.62,104.75,6448900
2019-05-10,102.94,104.36,98.5,100.69,5124800
2019-05-17,98.52,98.89,95.74,97.15,5224200
2019-05-24,96.39,99.43,95.53,98.32,4876000
2019-05-31,98.74,99.27,95.1,95.14,2803100
2019-06-07,95.21,106.25,94.58,105.92,4438500
2019-06-14,106.21,108.0,105.24,107.46,4434200
2019-06-21,107.81,108.86,106.06,107.27,3579600
2019-06-28,107.74,108.12,104.78,105.68,4875000
2019-07-05,106.7,107.9,104.47,106.92,3125300
2019-07-12,106.33,109.77,106.33,109.27,4026400
2019-07-19,109.32,111.76,107.64,107.66,4352100
2019-07-26,108.12,124.33,107.69,123.67,9664800
2019-08-02,123.84,126.87,111.61,113.51,7738500
2019-08-09,111.9,116.7,109.79,114.53,5021400
2019-08-16,113.93,120.97,112.11,114.37,4308800
2019-08-23,115.63,116.61,103.76,104.13,3922800
2019-08-30,105.49,111.34,103.04,110.47,3626000
2019-09-06,109.82,112.49,108.09,112.4,2685700
2019-09-13,112.7,121.48,111.79,119.78,3876800
2019-09-20,118.58,121.37,117.41,117.63,5471500
2019-09-27,117.73,119.53,116.41,118.82,2678500
2019-10-04,119.07,119.93,113.94,118.24,2991800
2019-10-11,117.8,122.1,116.5,121.29,2800000
2019-10-18,120.67,123.05,120.21,121.96,3411900
2019-10-25,122.93,122.93,94.19,96.01,16875400
2019-11-01,96.26,99.4,95.64,96.44,7641000
2019-11-08,96.58,99.24,92.59,95.53,15593400
2019-11-15,95.13,96.19,93.51,95.41,5486200
2019-11-22,95.02,96.92,94.0,96.12,7081500
2019-11-29,98.5,102.7,98.21,101.7,6581100
2019-12-06,102.6,102.72,98.07,101.0,4431400
2019-12-13,101.25,104.57,99.27,103.92,4297200
2019-12-20,104.66,105.55,101.75,103.59,8758400
2019-12-27,104.16,106.0,104.08,105.76,1953900
2020-01-03,105.77,106.27,103.64,105.05,2803500
2020-01-10,104.34,105.89,101.51,101.68,4464700
2020-01-17,101.84,105.94,100.62,105.13,6551800
2020-01-24,105.0,106.25,103.14,104.68,3669500
2020-01-31,102.95,105.67,101.33,101.87,4390300
2020-02-07,102.69,105.5,99.17,99.74,5957000
2020-02-14,99.43,109.5,96.77,97.71,10251300
2020-02-21,97.49,98.99,89.86,89.97,7262500
2020-02-28,87.57,88.57,75.63,77.25,10328400
2020-03-06,77.32,80.12,70.93,72.75,9517700
2020-03-13,68.48,69.65,52.02,55.02,12481600
2020-03-20,49.5,50.57,41.33,46.11,13360300
2020-03-27,52.08,71.22,49.23,65.64,13310500
2020-04-03,65.21,72.76,65.0,66.94,9737900
2020-04-10,70.99,78.25,69.75,75.67,5871800
2020-04-17,75.1,76.74,70.08,75.2,6565100
2020-04-24,74.49,77.37,71.75,74.87,5850200
2020-05-01,75.7,80.49,68.24,68.73,10410500
2020-05-08,68.0,70.65,65.8,69.7,5193200
2020-05-15,69.09,69.46,60.2,64.8,4856100
2020-05-22,67.0,69.49,66.47,66.69,4491900
2020-05-29,68.85,74.96,68.1,73.51,6342700
2020-06-05,73.56,82.19,72.35,80.86,5184500
2020-06-12,81.78,83.99,70.37,74.3,4796100
2020-06-19,72.36,78.39,71.19,71.34,6039200
2020-06-26,71.51,74.73,69.33,70.61,7527300
2020-07-03,72.07,76.98,70.85,74.6,3417400
2020-07-10,75.4,76.22,71.01,74.18,3871900
2020-07-17,75.0,79.34,72.76,77.49,3393200
2020-07-24,76.98,80.8,76.69,77.59,4874200
2020-07-31,75.04,75.4,70.78,72.76,9566300
2020-08-07,72.96,77.66,72.28,76.75,4487000
2020-08-14,77.17,80.45,76.7,79.63,3135100
2020-08-21,79.75,79.94,76.33,76.82,2464000
2020-08-28,77.14,82.08,76.53,80.94,2800300
2020-09-04,80.59,83.26,78.0,79.06,3476700
2020-09-11,77.48,80.0,76.77,78.65,4214500
2020-09-18,78.73,81.97,76.4,79.91,6397500
2020-09-25,78.42,79.75,75.25,76.97,4167400
2020-10-02,78.0,85.82,77.29,82.97,4429500
2020-10-09,83.2,90.0,82.78,89.16,3724000
2020-10-16,89.44,89.66,84.9,87.6,3088000
2020-10-23,88.51,92.95,86.12,92.0,5067400
2020-10-30,87.02,87.9,81.69,82.72,10212500
2020-11-06,83.53,85.46,82.01,84.34,3841900
2020-11-13,88.08,88.73,83.34,87.72,5525600
2020-11-20,89.86,94.3,87.78,93.02,4027000
2020-11-27,93.22,94.0,90.9,92.32,2639200
2020-12-04,92.01,97.13,90.69,91.07,6714600
2020-12-11,90.67,91.54,87.52,89.0,4821100
2020-12-18,90.17,96.07,89.14,93.81,5977700
2020-12-25,92.65,94.8,91.33,93.15,2551400
2021-01-01,93.51,94.84,92.21,93.54,2002300
