Date,Open,High,Low,Close,Volume
2015-03-27,117.04,117.83,111.58,113.86,22136800
2015-04-03,114.96,116.05,112.43,114.54,16899700
2015-04-10,113.45,116.25,113.41,115.24,18522800
2015-04-17,114.96,115.43,111.77,112.1,21523500
2015-04-24,113.0,114.51,112.19,113.7,19184900
2015-05-01,114.05,114.11,106.62,109.55,34338700
2015-05-08,109.94,113.48,107.24,112.47,23363700
2015-05-15,112.24,113.4,110.83,113.35,20511200
2015-05-22,113.87,116.48,111.22,112.16,32948500
2015-05-29,112.0,112.7,110.69,111.42,16877100
2015-06-05,111.97,113.48,110.27,110.37,26374200
2015-06-12,110.14,112.33,109.03,110.6,19020600
2015-06-19,110.23,113.3,109.55,112.43,29631700
2015-06-26,112.93,113.71,112.23,112.6,18657000
2015-07-03,111.56,112.81,110.46,111.49,19187400
2015-07-10,110.27,113.48,110.17,113.1,21449800
2015-07-17,114.21,116.15,113.83,114.47,21957800
2015-07-24,112.25,116.11,112.17,113.59,24990000
2015-07-31,113.37,118.13,112.71,117.03,21341300
2015-08-07,117.62,118.53,115.78,116.93,19707300
2015-08-14,117.53,120.14,115.7,119.75,23455700
2015-08-21,119.1,123.8,116.15,116.16,40514000
2015-08-28,110.05,118.46,92.17,117.52,46112500
2015-09-04,117.01,118.08,112.56,114.42,30379700
2015-09-11,115.69,117.47,113.69,115.44,20824100
2015-09-18,115.5,119.82,113.9,115.12,32501600
2015-09-25,115.96,118.17,114.84,116.74,24568800
2015-10-02,116.53,117.9,111.8,117.81,28874000
2015-10-09,118.75,121.5,117.91,121.33,23335900
2015-10-16,121.49,122.82,119.56,122.74,18551400
2015-10-23,122.61,125.75,122.2,124.61,21044800
2015-10-30,124.55,125.66,122.22,123.64,24673300
2015-11-06,124.24,126.11,123.38,125.98,18941900
2015-11-13,125.8,126.12,119.9,120.0,25116400
2015-11-20,120.05,130.21,118.61,130.21,37658900
2015-11-27,130.21,135.47,130.21,134.74,21641000
2015-12-04,135.2,135.32,130.8,134.53,30423300
2015-12-11,134.0,134.79,130.31,130.44,24717700
2015-12-18,131.09,133.54,130.01,130.29,29780000
2015-12-25,131.0,133.48,130.18,132.9,11578600
2016-01-01,132.25,134.33,131.89,132.25,11308000
2016-01-08,130.11,131.94,123.5,123.9,41226900
2016-01-15,124.87,128.8,116.1,119.23,45343600
2016-01-22,120.54,124.67,113.59,122.76,33230500
2016-01-29,123.38,125.76,120.31,125.76,27249100
2016-02-05,124.92,127.09,115.69,116.43,35281500
2016-02-12,114.93,116.43,109.62,116.32,35975800
2016-02-19,118.12,121.7,117.7,121.69,22833300
2016-02-26,123.0,127.75,122.13,126.26,36248100
2016-03-04,126.26,127.5,123.98,125.56,25917600
2016-03-11,125.01,128.76,124.31,128.46,22619400
2016-03-18,128.43,132.09,128.1,131.35,23496800
2016-03-25,131.53,132.13,129.46,130.46,14837500
2016-04-01,130.6,135.2,130.49,134.85,17110100
2016-04-08,136.07,136.23,133.06,133.62,17859100
2016-04-15,133.58,135.28,132.88,135.01,19741100
2016-04-22,134.81,137.0,133.41,135.66,21097100
2016-04-29,135.18,136.28,131.75,133.89,19994400
2016-05-06,134.37,136.25,133.13,135.7,17716900
2016-05-13,135.59,137.82,133.03,133.13,23924900
2016-05-20,133.84,136.55,130.02,131.85,42310300
2016-05-27,131.84,134.9,131.3,133.94,22075600
2016-06-03,133.57,133.8,130.92,131.74,19125600
2016-06-10,130.82,130.87,128.21,128.83,23604600
2016-06-17,128.94,129.45,124.71,127.14,29248100
2016-06-24,128.13,129.1,125.5,126.4,24969200
2016-07-01,125.34,130.23,123.62,129.62,29111200
2016-07-08,129.6,134.36,128.5,134.34,17809600
2016-07-15,134.83,135.99,133.1,134.78,20873600
2016-07-22,135.46,137.45,134.81,136.52,18219700
2016-07-29,136.55,138.72,135.96,138.24,15851600
2016-08-05,138.06,139.0,135.46,136.91,17523500
2016-08-12,136.91,137.5,135.06,136.57,18074500
2016-08-19,137.11,138.65,134.32,135.46,27225500
2016-08-26,135.6,136.55,133.92,134.36,17188900
2016-09-02,134.86,135.88,133.6,135.15,18573300
2016-09-09,134.96,135.72,127.73,127.74,20231000
2016-09-16,126.5,128.85,125.43,126.11,30614700
2016-09-23,126.68,129.65,126.17,127.79,22084300
2016-09-30,127.1,130.74,125.35,128.68,27555300
2016-10-07,128.2,130.45,126.43,128.31,25601000
2016-10-14,128.45,128.94,125.17,126.42,21127300
2016-10-21,126.18,127.08,124.51,126.6,18188400
2016-10-28,127.23,128.14,121.85,123.58,26772100
2016-11-04,123.35,123.5,119.2,120.91,27731200
2016-11-11,122.5,130.13,120.32,129.85,33901900
2016-11-18,130.5,130.64,122.92,128.33,45907400
2016-11-25,128.28,132.14,127.41,131.57,15736400
2016-12-02,131.25,131.65,128.81,129.87,25096900
2016-12-09,130.32,133.4,128.68,133.39,25495300
2016-12-16,133.13,137.32,133.13,135.11,35468200
2016-12-23,135.06,137.24,134.79,135.05,16901900
2016-12-30,134.76,135.86,133.83,134.08,12551300
2017-01-06,135.1,135.94,133.05,133.53,17003600
2017-01-13,133.22,136.39,133.14,135.04,21599800
2017-01-20,135.09,136.78,134.6,135.6,17779200
2017-01-27,135.31,139.37,135.0,138.33,20823700
