Date,Open,High,Low,Close,Volume
2015-04-03,61.38,61.68,59.69,60.25,13408674
2015-04-10,60.02,64.31,59.86,63.51,17580166
2015-04-17,62.65,63.2,60.37,60.74,8038256
2015-04-24,60.94,62.79,60.86,62.13,7289084
2015-05-01,62.42,64.84,58.75,61.21,17409066
2015-05-08,61.23,62.48,59.08,61.77,8153167
2015-05-15,60.96,61.25,59.63,60.53,29938840
2015-05-22,60.47,61.09,59.67,60.23,21458529
2015-05-29,60.86,60.96,59.41,59.43,13767202
2015-06-05,59.71,60.64,59.51,60.31,15304484
2015-06-12,60.31,60.35,58.26,58.69,25252291
2015-06-19,58.89,59.28,56.61,57.64,52059600
2015-06-26,58.03,58.61,57.07,57.62,30275244
2015-07-03,56.94,57.64,56.02,57.0,11083918
2015-07-10,56.7,57.5,55.59,57.23,15031774
2015-07-17,57.91,58.52,57.62,58.01,13448343
2015-07-24,58.01,58.28,54.01,55.06,19715595
2015-07-31,54.44,57.27,53.89,55.1,30146247
2015-08-07,55.34,55.34,51.65,53.17,26910283
2015-08-14,53.58,53.91,51.85,52.57,15151461
2015-08-21,52.47,53.48,50.11,50.27,11459309
2015-08-28,47.44,51.46,42.95,51.38,18764815
2015-09-04,51.3,51.65,49.12,50.48,12819299
2015-09-11,51.36,52.82,51.18,52.51,12900292
2015-09-18,52.47,53.15,49.12,49.17,21722757
2015-09-25,49.45,49.97,47.05,47.38,15276803
2015-10-02,47.07,49.17,44.61,48.39,36294202
2015-10-09,48.67,51.83,48.57,51.73,14252095
2015-10-16,51.67,52.26,48.98,49.7,14551023
2015-10-23,49.62,52.2,49.39,50.4,15563061
2015-10-30,50.42,53.91,50.07,51.28,20220469
2015-11-06,51.65,53.37,51.16,52.61,10679436
2015-11-13,52.31,53.15,49.93,50.11,10145468
2015-11-20,49.66,49.7,47.07,48.26,27164717
2015-11-27,48.32,49.37,47.28,47.81,8089474
2015-12-04,47.79,48.9,46.25,47.3,11558285
2015-12-11,47.34,47.5,44.12,44.73,17641471
2015-12-18,44.41,48.65,42.91,44.04,25483773
2015-12-25,44.18,45.39,43.54,44.88,13350487
2016-01-01,44.8,45.1,43.91,43.91,6059746
2016-01-08,43.5,43.81,39.25,39.3,29166180
2016-01-15,39.52,40.36,35.54,36.42,24484942
2016-01-22,36.77,38.72,33.16,37.49,23832018
2016-01-29,37.47,38.02,35.13,36.55,21105506
2016-02-05,36.46,37.24,34.04,36.12,16301072
2016-02-12,35.7,38.25,35.05,38.04,21933529
2016-02-19,38.66,40.98,37.88,40.79,18056872
2016-02-26,41.37,43.99,39.46,42.48,18612671
2016-03-04,42.48,44.94,41.35,44.92,16357991
2016-03-11,44.69,45.02,41.27,43.63,13151999
2016-03-18,44.41,45.39,42.58,45.16,15609504
2016-03-25,45.39,46.38,44.43,45.29,15900000
2016-04-01,45.57,46.97,44.08,45.16,18369835
2016-04-08,45.23,46.42,44.38,45.76,14585039
2016-04-15,46.03,47.22,45.72,46.15,14504386
2016-04-22,46.13,46.23,44.12,44.43,20863159
2016-04-29,44.51,46.52,43.54,45.25,20099366
2016-05-06,45.53,45.82,44.63,45.21,14858479
2016-05-13,45.16,47.03,44.04,44.12,16359552
2016-05-20,44.22,45.06,41.55,42.15,22929240
2016-05-27,42.07,43.26,41.96,42.58,16335234
2016-06-03,42.66,44.63,42.19,44.57,16885965
2016-06-10,44.63,45.39,43.11,43.46,14531969
2016-06-17,43.4,46.15,43.11,46.11,18492543
2016-06-24,46.6,48.43,44.61,44.84,26346150
