Date,Open,High,Low,Close,Volume
2015-04-03,33.6,33.77,32.42,32.97,2678300
2015-04-10,33.85,34.71,33.71,34.66,3124100
2015-04-17,33.62,35.22,33.61,35.18,3516400
2015-04-24,35.1,36.44,34.91,36.36,4242100
2015-05-01,36.4,36.43,33.19,34.22,5989600
2015-05-08,34.18,35.37,33.6,35.37,3297300
2015-05-15,35.21,35.21,34.42,35.0,4032600
2015-05-22,35.4,35.4,33.91,34.12,6110400
2015-05-29,34.27,34.63,33.82,34.22,2243800
2015-06-05,34.34,34.61,33.65,33.83,1895700
2015-06-12,33.75,33.98,33.09,33.16,2200000
2015-06-19,33.0,33.03,32.38,32.48,4065500
2015-06-26,33.22,33.59,32.53,32.88,2501400
2015-07-03,32.31,32.78,31.82,32.65,1827800
2015-07-10,32.42,32.58,30.98,31.68,2226200
2015-07-17,31.74,32.37,31.62,32.13,3662800
2015-07-24,32.23,32.28,31.01,31.09,1596000
2015-07-31,31.12,34.42,30.89,33.96,3208200
2015-08-07,34.8,35.99,34.48,35.25,5277800
2015-08-14,35.21,35.67,33.72,34.08,3948900
2015-08-21,34.0,34.16,31.48,31.51,2326400
2015-08-28,29.85,31.99,29.0,31.92,5789400
2015-09-04,31.49,31.74,29.98,30.1,2617000
2015-09-11,31.05,31.81,30.44,30.74,1893500
2015-09-18,30.56,32.31,30.39,31.19,2348300
2015-09-25,31.34,31.49,30.19,30.54,1829100
2015-10-02,30.12,30.52,29.28,30.52,2889900
2015-10-09,30.77,33.06,30.59,32.72,2875300
2015-10-16,32.85,32.88,31.71,32.49,2029000
2015-10-23,32.07,33.87,31.9,33.83,1881800
2015-10-30,33.81,33.85,32.83,33.13,2006300
2015-11-06,33.03,33.47,32.02,32.51,3753800
2015-11-13,32.73,32.78,32.09,32.13,2685800
2015-11-20,32.2,33.1,32.2,32.78,1656900
2015-11-27,32.79,32.95,32.51,32.63,816400
2015-12-04,32.63,33.42,32.35,32.69,1762800
2015-12-11,32.8,32.8,31.36,31.4,2246100
2015-12-18,31.62,32.82,31.18,31.94,2330600
2015-12-25,32.08,32.55,31.88,32.4,1815600
2016-01-01,32.21,32.51,31.78,31.93,2986200
2016-01-08,30.86,31.0,28.83,28.89,3223900
2016-01-15,29.15,30.31,28.81,29.03,3800500
2016-01-22,29.44,29.48,27.15,28.72,4374800
2016-01-29,28.08,28.19,26.41,27.02,5943200
2016-02-05,27.62,27.93,25.97,26.01,5603300
2016-02-12,26.03,26.17,24.56,25.14,3276700
2016-02-19,26.05,26.73,25.5,25.93,2462200
2016-02-26,26.12,26.2,24.96,26.08,3482500
2016-03-04,25.77,28.13,25.67,28.03,4072000
2016-03-11,27.8,28.26,27.37,28.23,2039400
2016-03-18,27.77,28.01,27.09,27.58,3008200
2016-03-25,27.55,27.7,26.47,26.69,2215600
2016-04-01,27.05,27.51,26.16,26.29,3162300
2016-04-08,26.21,26.65,25.53,26.4,3983900
2016-04-15,26.43,27.98,26.1,27.54,3682700
2016-04-22,27.48,28.72,27.37,28.65,2498000
2016-04-29,28.65,28.74,26.78,26.96,4737900
2016-05-06,27.1,27.46,26.39,27.43,3219900
2016-05-13,27.82,28.26,26.23,26.28,4625300
2016-05-20,27.02,27.23,26.45,26.8,6633700
