Date,Open,High,Low,Close,Volume
2026-06-19,200.0,297.5,200.0,267.8,22200
2026-06-26,273.99,280.0,206.01,221.01,3585400
2026-07-03,230.0,248.73,212.5,247.15,26524400
2026-07-10,249.01,266.62,217.25,220.75,21895000
2026-07-17,220.67,221.59,203.0,211.63,13825700
2026-07-24,207.28,210.0,192.03,204.07,14994800
2026-07-31,206.33,219.2,198.88,206.74,10661500
2026-08-07,203.99,222.54,150.03,168.51,39225500
2026-08-14,163.35,173.0,159.01,166.36,19149100
2026-08-21,166.0,176.25,160.39,164.73,22641300
2026-08-28,164.6,167.57,158.8,162.37,14986700
2026-09-04,161.0,161.29,150.88,161.01,16772900
2026-09-11,158.64,160.35,149.19,158.26,13366600
2026-09-18,154.0,169.74,154.0,163.6,34906600
2026-09-25,163.85,170.32,161.59,162.18,5449094
