Date,Open,High,Low,Close,Volume
2015-04-03,28.25,28.88,28.23,28.71,5823200
2015-04-10,28.56,29.25,28.53,28.98,7804600
2015-04-17,29.0,29.31,27.9,28.17,6094600
2015-04-24,28.23,28.45,27.14,27.42,10393200
2015-05-01,27.42,27.66,27.08,27.64,7523000
2015-05-08,27.6,28.25,27.38,27.99,6296000
2015-05-15,27.97,28.43,27.61,28.33,6607200
2015-05-22,28.22,29.68,27.78,28.46,15497600
2015-05-29,28.34,29.43,28.19,28.61,13461000
2015-06-05,28.59,28.69,27.91,28.13,8862200
2015-06-12,28.13,28.59,27.81,28.23,6133400
2015-06-19,28.15,28.86,27.94,28.62,6534800
2015-06-26,28.81,29.32,28.67,28.86,6057600
2015-07-03,28.5,28.67,28.11,28.42,5526400
2015-07-10,28.16,28.86,27.94,28.66,7660400
2015-07-17,28.9,29.27,28.6,28.81,5882600
2015-07-24,28.79,29.08,28.65,28.78,5330400
2015-07-31,28.66,29.82,28.44,29.6,6325000
2015-08-07,29.38,30.66,29.25,30.11,7448800
2015-08-14,30.22,30.63,29.86,30.6,7205000
2015-08-21,30.49,32.06,29.95,30.69,13809800
2015-08-28,29.75,30.78,29.18,30.75,10761400
2015-09-04,30.72,30.84,29.67,30.33,8991800
2015-09-11,30.7,31.27,30.29,30.86,8192400
2015-09-18,30.83,31.47,30.48,30.54,9933800
2015-09-25,30.68,31.41,29.93,31.09,9101000
2015-10-02,30.93,32.1,30.5,32.09,12493200
2015-10-09,32.31,32.84,31.66,32.71,13511400
2015-10-16,32.69,33.27,32.05,32.95,8886200
2015-10-23,32.92,34.49,32.75,34.17,9432600
2015-10-30,34.08,34.15,33.1,33.78,12486000
2015-11-06,33.95,34.08,32.99,33.31,8058200
2015-11-13,33.26,33.9,32.92,33.08,8785200
2015-11-20,33.06,34.62,33.03,34.08,9543200
2015-11-27,34.24,37.6,34.1,37.51,11976600
2015-12-04,37.69,38.84,37.19,38.79,17429800
2015-12-11,38.8,39.33,38.19,38.72,13255800
2015-12-18,38.26,40.1,38.09,39.4,19556800
2015-12-25,39.65,40.39,39.35,39.91,9058800
2016-01-01,39.81,40.32,39.47,39.54,7187200
2016-01-08,39.12,40.28,38.79,39.08,20358800
2016-01-15,39.22,40.12,37.75,38.06,16509200
2016-01-22,38.6,38.88,36.87,37.99,15826400
2016-01-29,38.0,40.26,37.68,40.21,17350400
2016-02-05,40.29,41.31,39.06,39.47,20102800
2016-02-12,39.44,42.2,39.26,41.5,18195300
2016-02-19,43.46,45.72,42.41,42.75,21925200
2016-02-26,43.13,44.15,42.76,42.97,11089400
2016-03-04,42.84,44.45,42.46,44.01,14875200
2016-03-11,43.73,44.14,43.02,43.58,9856200
2016-03-18,43.38,44.73,43.26,43.7,12281400
2016-03-25,43.61,43.99,43.08,43.27,7395900
2016-04-01,43.27,44.68,43.0,43.91,12130700
2016-04-08,43.93,43.98,41.3,41.82,17650500
2016-04-15,41.93,42.05,38.8,39.46,22869200
2016-04-22,39.4,39.72,37.49,37.66,15383900
2016-04-29,37.76,39.31,37.57,38.55,14873200
2016-05-06,38.56,39.17,37.86,38.55,14122500
2016-05-13,38.81,40.53,38.71,39.9,15908700
2016-05-20,39.86,40.36,34.73,34.86,37090300
2016-05-27,34.9,35.19,34.28,34.78,16991400
2016-06-03,34.83,35.13,34.19,34.67,12521000
2016-06-10,34.57,34.97,33.92,34.76,15887000
2016-06-17,34.6,34.99,34.09,34.88,14238900
2016-06-24,35.04,35.6,33.7,35.34,14984600
2016-07-01,35.09,37.1,34.67,36.28,20060500
2016-07-08,36.16,37.38,36.08,36.61,13072200
2016-07-15,36.62,36.77,36.14,36.27,11510100
2016-07-22,36.34,37.04,36.27,36.88,8358700
2016-07-29,36.84,37.45,35.94,37.35,14159900
2016-08-05,37.35,37.57,36.0,36.41,10180600
2016-08-12,36.47,37.1,36.06,37.06,7339500
2016-08-19,36.87,38.7,35.87,38.66,20396400
2016-08-26,39.17,40.0,37.79,37.92,13599100
2016-09-02,38.0,38.56,37.76,38.46,10871700
2016-09-09,38.46,38.66,36.0,36.01,8667100
2016-09-16,36.0,36.76,36.0,36.37,11683400
2016-09-23,36.7,37.99,36.33,37.87,10948600
2016-09-30,37.75,38.47,37.29,37.93,11399600
2016-10-07,37.83,38.4,36.72,37.45,14283900
2016-10-14,37.75,38.24,37.49,37.92,8988800
2016-10-21,38.2,38.52,37.43,37.71,7933800
2016-10-28,37.79,38.45,37.54,38.22,9401000
2016-11-04,38.22,38.84,36.35,36.43,14461400
2016-11-11,36.76,38.35,34.5,34.78,20128900
2016-11-18,34.78,36.01,34.63,35.58,13045600
2016-11-25,35.58,36.78,33.76,35.86,16902600
2016-12-02,35.9,35.93,33.22,33.81,19044300
2016-12-09,33.81,34.47,33.18,34.39,15503700
2016-12-16,34.3,35.17,33.98,34.63,12202500
2016-12-23,34.7,35.44,34.48,35.31,8347100
2016-12-30,35.33,35.59,34.67,34.81,6005500
2017-01-06,34.89,36.42,34.7,36.34,10399800
2017-01-13,35.9,36.46,34.81,35.53,12871100
2017-01-20,35.58,36.74,35.54,36.27,11218600
2017-01-27,36.22,36.68,35.97,36.12,10495300
2017-02-03,36.18,36.43,35.37,36.14,13014000
2017-02-10,36.17,37.27,35.85,37.13,9141800
2017-02-17,37.14,37.97,36.86,37.26,11661600
2017-02-24,37.47,37.72,34.19,34.66,17309700
2017-03-03,34.62,35.61,34.48,35.37,13257400
2017-03-10,35.06,35.16,34.55,35.07,10597000
2017-03-17,35.07,35.54,34.61,34.92,11606800
2017-03-24,34.94,35.1,34.28,34.52,9954500
2017-03-31,34.48,34.7,33.96,34.63,14325300
2017-04-07,34.61,34.88,34.12,34.25,9342500
2017-04-14,34.29,34.49,33.97,34.04,7600000
2017-04-21,34.19,34.9,34.1,34.69,8142200
2017-04-28,34.9,35.45,34.77,35.08,10053600
2017-05-05,34.87,35.03,34.43,34.75,7163800
2017-05-12,34.78,34.99,34.11,34.41,8759700
2017-05-19,34.4,34.92,33.84,34.83,12110300
2017-05-26,34.93,35.48,32.94,33.12,18820100
2017-06-02,33.05,34.15,32.9,34.11,10197600
2017-06-09,34.07,35.0,33.86,34.77,9349300
2017-06-16,34.81,35.16,33.49,33.95,11322500
2017-06-23,34.0,35.34,33.46,34.94,18707300
2017-06-30,35.09,35.29,33.78,34.11,9529300
2017-07-07,34.27,34.54,33.06,33.2,5923400
2017-07-14,33.16,33.24,32.26,32.83,9223300
2017-07-21,32.83,33.3,32.44,33.23,9864600
2017-07-28,33.2,34.41,33.18,34.15,9638200
2017-08-04,34.15,34.39,33.6,33.67,6963100
2017-08-11,33.75,34.24,33.44,34.01,8168700
2017-08-18,34.14,34.53,33.83,34.09,7429000
2017-08-25,34.14,34.42,30.86,31.34,22369100
2017-09-01,31.39,31.51,30.59,30.92,13335300
2017-09-08,30.82,31.66,30.5,31.6,11366600
2017-09-15,31.7,31.92,30.79,31.38,12954900
2017-09-22,31.49,32.03,31.04,31.27,9189100
2017-09-29,31.25,32.36,31.06,32.14,12698900
2017-10-06,32.17,32.28,31.48,31.62,11354000
2017-10-13,31.72,32.01,31.18,31.85,9240400
