Date,Open,High,Low,Close,Volume
2015-04-03,20.15,20.58,19.93,20.49,23653200
2015-04-10,20.46,20.6,19.73,19.93,33884200
2015-04-17,20.12,20.72,19.82,20.6,49903500
2015-04-24,20.65,20.83,20.38,20.69,42518300
2015-05-01,20.73,20.89,19.98,20.32,40571300
2015-05-08,20.38,20.54,19.33,20.32,34627600
2015-05-15,20.29,20.71,19.77,20.6,35173500
2015-05-22,20.54,20.74,19.99,20.09,32218800
2015-05-29,20.12,20.24,19.89,19.92,28282600
2015-06-05,19.96,20.37,19.48,19.57,29057500
2015-06-12,19.6,20.3,19.38,19.92,31268200
2015-06-19,19.75,20.59,19.64,20.41,43172600
2015-06-26,20.51,20.88,19.96,20.14,54137200
2015-07-03,20.05,20.95,19.38,20.51,34638300
2015-07-10,20.4,21.05,20.27,20.65,30718300
2015-07-17,20.87,21.4,20.62,21.2,21337000
2015-07-24,21.18,21.25,19.46,19.73,36818000
2015-07-31,19.69,20.44,19.08,19.38,51242300
2015-08-07,19.31,19.43,18.45,18.97,34026000
2015-08-14,19.14,19.34,18.66,19.27,30594100
2015-08-21,19.22,19.66,18.28,18.29,39697100
2015-08-28,17.46,18.3,17.0,18.28,47612000
2015-09-04,18.19,18.22,17.07,17.2,30945000
2015-09-11,17.45,17.81,17.21,17.74,26710300
2015-09-18,17.75,17.82,16.49,16.53,58355800
2015-09-25,16.59,16.73,15.83,16.25,54167600
2015-10-02,15.75,16.27,15.36,16.25,74111100
2015-10-09,16.36,17.94,16.3,17.63,52455400
2015-10-16,17.71,17.88,17.22,17.57,38525200
2015-10-23,17.53,17.89,16.46,16.54,52452300
2015-10-30,16.52,17.4,15.94,17.33,73182500
2015-11-06,17.33,17.85,17.2,17.48,53735300
2015-11-13,17.35,17.42,16.57,16.6,34189600
2015-11-20,16.55,16.89,15.98,16.11,43112600
2015-11-27,16.31,16.75,16.02,16.62,27755200
2015-12-04,16.65,16.92,15.99,16.34,46912100
2015-12-11,16.24,16.28,15.71,15.81,43403700
2015-12-18,15.83,16.07,15.28,15.33,44071500
