Date,Open,High,Low,Close,Volume
2018-03-09,17.91,18.72,17.51,17.64,6160
2018-03-16,16.77,16.77,14.85,14.9,2820
2018-03-23,14.99,14.99,13.7,13.7,1560
2018-03-30,12.77,12.86,12.77,12.77,2480
2018-04-06,12.77,13.67,12.77,13.67,120
2018-04-13,13.67,14.4,13.62,14.31,420
2018-04-20,14.48,15.25,14.3,15.0,4960
2018-04-27,15.31,17.52,15.31,17.31,7580
2018-05-04,16.74,16.74,14.94,15.5,4040
2018-05-11,15.29,15.44,14.4,15.2,1660
2018-05-18,15.49,16.05,15.27,15.6,5800
2018-05-25,15.6,16.0,15.07,15.42,1940
2018-06-01,15.57,15.57,15.35,15.35,3200
2018-06-08,15.5,15.7,13.75,13.76,6960
2018-06-15,12.8,12.86,12.55,12.56,3120
2018-06-22,12.44,12.44,11.63,11.8,2440
2018-06-29,11.28,12.03,11.22,11.3,5860
2018-07-06,11.3,12.02,11.3,11.95,220
2018-07-13,12.63,12.63,9.55,9.55,700
2018-07-20,10.13,11.98,9.4,11.45,12160
2018-07-27,11.65,13.72,11.65,13.55,8980
2018-08-03,13.6,13.68,10.55,10.55,2800
2018-08-10,10.55,11.5,10.15,10.79,15940
2018-08-17,10.7,11.25,9.75,10.3,11100
2018-08-24,10.3,12.35,10.3,11.94,16500
2018-08-31,11.95,13.45,11.6,13.45,5540
2018-09-07,13.47,14.25,13.47,13.48,5480
2018-09-14,13.1,13.1,11.18,11.74,2660
2018-09-21,11.65,12.15,11.19,11.75,2500
2018-09-28,12.25,12.25,11.06,11.06,2200
2018-10-05,11.06,12.8,11.06,12.69,1220
2018-10-12,12.69,12.8,12.15,12.15,360
2018-10-19,11.84,12.11,11.34,11.48,2140
2018-10-26,11.23,11.23,10.74,11.09,1560
2018-11-02,11.1,11.2,9.7,10.45,2720
2018-11-09,10.22,11.46,10.0,11.14,2720
2018-11-16,11.02,11.19,9.43,9.64,5260
2018-11-23,9.7,9.7,7.35,7.51,4780
2018-11-30,7.5,7.7,6.21,6.85,22400
2018-12-07,6.95,7.03,6.22,6.34,2380
2018-12-14,6.26,6.26,4.46,4.84,2120
2018-12-21,4.82,5.11,4.24,4.97,18000
2018-12-28,4.91,5.15,4.75,5.0,940
2019-01-04,5.08,6.47,5.08,6.47,320
2019-01-11,6.74,6.75,5.85,6.2,3940
2019-01-18,6.2,7.25,6.2,7.25,4300
2019-01-25,6.99,6.99,6.51,6.51,220
2019-02-01,6.51,6.74,5.9,5.9,2400
2019-02-08,5.9,6.1,5.26,5.55,4080
2019-02-15,5.55,5.59,4.45,4.45,9040
2019-02-22,5.11,5.64,4.7,4.77,7520
2019-03-01,4.75,5.28,4.59,4.87,7780
2019-03-08,4.76,5.14,4.61,4.7,13900
2019-03-15,4.72,4.72,4.5,4.55,6280
2019-03-22,4.6,4.6,3.88,3.9,12920
2019-03-29,4.16,4.16,2.99,3.28,9740
2019-04-05,3.4,4.43,3.0,4.05,28460
2019-04-12,4.3,5.28,3.89,5.28,28400
2019-04-19,5.3,5.49,4.88,5.45,5920
2019-04-26,5.3,6.09,4.95,5.26,7840
2019-05-03,5.4,5.9,5.16,5.61,23280
2019-05-10,5.46,6.01,5.45,6.0,8080
2019-05-17,6.72,9.05,6.39,7.08,65660
2019-05-24,7.6,9.23,7.45,8.95,26920
2019-05-31,10.25,10.3,8.25,8.45,48880
2019-06-07,8.5,8.7,6.75,8.24,53720
2019-06-14,8.25,9.25,7.28,9.0,21340
2019-06-21,10.23,10.8,8.4,10.01,39880
2019-06-28,10.55,11.15,9.56,10.3,85920
2019-07-05,10.15,10.32,8.6,9.39,35800
2019-07-12,10.0,10.45,9.08,9.6,30820
2019-07-19,8.8,9.88,8.14,8.98,21500
2019-07-26,9.04,9.04,7.71,8.24,5960
2019-08-02,8.03,9.95,7.78,9.95,9660
2019-08-09,10.65,10.9,9.4,9.64,27940
2019-08-16,9.45,9.8,8.18,9.43,13260
2019-08-23,9.9,10.0,8.6,8.99,15200
2019-08-30,8.97,9.03,8.4,8.58,9960
2019-09-06,8.75,9.1,8.57,8.88,14360
2019-09-13,9.02,9.06,7.9,8.0,15640
2019-09-20,8.28,8.32,7.64,7.89,23940
2019-09-27,7.65,8.23,7.12,8.15,40720
2019-10-04,7.87,8.15,7.57,7.9,16140
2019-10-11,7.77,8.45,7.5,8.36,15220
2019-10-18,8.5,8.6,6.95,7.0,22560
2019-10-25,7.1,7.6,5.9,7.1,19700
2019-11-01,7.65,8.5,6.7,6.75,15580
2019-11-08,7.15,7.38,6.1,6.38,21240
2019-11-15,6.18,6.24,5.9,6.22,6600
2019-11-22,6.18,6.28,5.63,5.75,10420
2019-11-29,5.0,5.9,4.8,4.99,11360
2019-12-06,5.0,5.12,4.22,4.32,7400
2019-12-13,4.36,4.7,4.03,4.68,7540
2019-12-20,4.75,4.75,3.8,3.95,16860
2019-12-27,3.95,4.55,3.73,3.78,7520
2020-01-03,3.78,4.22,3.77,4.07,8300
2020-01-10,4.34,5.79,4.22,5.45,26280
2020-01-17,5.4,6.6,5.25,6.41,21100
2020-01-24,6.4,6.5,5.7,6.15,11100
2020-01-31,6.12,6.56,4.75,4.75,11880
2020-02-07,4.86,5.51,3.92,5.24,42700
2020-02-14,5.46,8.0,5.35,6.75,80760
2020-02-21,6.55,6.76,4.7,5.25,52660
2020-02-28,5.22,5.35,4.06,4.5,41640
2020-03-06,4.43,5.15,4.35,4.35,26940
2020-03-13,3.95,4.12,2.35,2.54,84800
2020-03-20,1.97,3.29,1.85,2.76,63620
2020-03-27,3.1,3.1,2.25,2.4,31480
2020-04-03,2.4,2.85,2.15,2.66,19080
2020-04-10,2.94,3.89,2.71,2.75,22680
2020-04-17,2.82,3.95,2.24,3.23,360140
2020-04-24,3.2,3.87,3.08,3.21,401600
2020-05-01,3.4,3.6,2.83,2.92,247620
2020-05-08,2.96,7.0,2.77,5.75,839760
2020-05-15,5.5,5.74,4.25,4.95,389240
2020-05-22,5.55,6.05,5.0,5.8,156280
2020-05-29,5.8,6.5,5.15,6.3,101520
2020-06-05,6.62,7.75,6.41,6.6,158700
2020-06-12,6.65,6.8,4.82,5.24,155720
2020-06-19,5.07,5.5,4.7,5.0,93640
2020-06-26,4.73,5.22,3.65,3.75,166640
2020-07-03,3.72,4.41,3.5,4.0,115340
2020-07-10,4.57,4.76,3.97,4.14,107080
2020-07-17,4.11,4.76,4.0,4.05,126780
2020-07-24,4.09,4.71,3.88,4.05,140980
2020-07-31,4.31,5.65,4.3,4.36,236700
2020-08-07,4.38,5.4,4.29,4.49,253540
2020-08-14,4.64,4.85,4.14,4.55,152220
2020-08-21,4.71,5.05,4.3,4.35,214660
2020-08-28,4.22,4.39,3.78,4.05,149580
2020-09-04,4.32,4.35,3.5,3.77,152220
2020-09-11,3.39,3.91,3.39,3.6,73700
2020-09-18,3.6,3.9,3.32,3.42,114900
2020-09-25,3.52,3.58,2.92,3.5,245240
2020-10-02,3.65,3.8,3.25,3.65,104940
2020-10-09,3.67,3.97,3.31,3.88,159620
2020-10-16,3.9,4.25,3.73,3.85,148220
2020-10-23,3.9,4.7,3.7,4.28,179700
2020-10-30,4.26,4.86,3.95,4.82,215160
2020-11-06,4.7,5.5,4.55,4.9,206440
2020-11-13,4.76,5.05,4.25,4.43,198320
2020-11-20,4.65,5.7,4.35,4.89,373940
2020-11-27,4.9,6.75,4.82,5.4,783100
2020-12-04,5.8,7.5,5.8,6.5,547880
2020-12-11,6.65,6.8,5.6,5.8,419620
2020-12-18,6.1,10.35,5.8,9.95,960300
2020-12-25,10.0,16.89,10.0,12.7,1010360
2021-01-01,16.0,17.25,13.16,13.75,677960
2021-01-08,14.9,33.15,14.52,31.95,2007800
2021-01-15,20.39,29.15,18.7,24.2,3267980
2021-01-22,23.45,25.5,16.45,21.1,1381680
2021-01-29,22.65,23.35,16.8,19.0,1028840
2021-02-05,19.01,22.35,17.5,21.2,958020
2021-02-12,25.25,35.42,23.7,34.9,2740740
2021-02-19,36.65,44.5,33.35,42.67,2145260
2021-02-26,39.25,65.0,35.15,39.4,3421020
2021-03-05,45.0,47.0,28.6,35.0,1684400
2021-03-12,36.0,45.0,33.7,41.15,1047320
2021-03-19,42.5,45.0,38.99,42.25,805480
2021-03-26,42.5,42.5,30.65,35.8,916420
2021-04-02,39.35,40.4,33.35,39.35,540080
2021-04-09,39.95,41.97,33.69,34.58,650820
2021-04-16,35.0,38.5,29.85,29.95,986840
2021-04-23,28.0,30.6,23.75,26.35,1101780
2021-04-30,26.35,31.75,26.35,27.25,628720
2021-05-07,27.83,30.35,23.0,25.55,644380
2021-05-14,25.58,27.07,19.85,23.05,804160
2021-05-21,20.0,22.05,17.8,19.8,769300
2021-05-28,21.3,22.85,19.35,20.35,401420
2021-06-04,20.42,21.5,19.5,19.7,218740
2021-06-11,19.8,25.55,17.5,20.36,1753660
2021-06-18,21.85,23.15,17.65,18.75,2966660
2021-06-25,17.4,19.42,15.75,18.45,2003260
2021-07-02,19.15,25.8,18.55,25.8,4017040
2021-07-09,27.95,27.95,23.47,24.2,3163800
2021-07-16,24.5,25.1,19.4,19.7,2136440
2021-07-23,19.3,21.65,17.25,20.45,2112760
2021-07-30,23.4,25.35,22.05,23.65,3382300
2021-08-06,23.75,30.75,23.1,29.6,4454460
2021-08-13,33.5,35.9,29.35,32.8,7411180
2021-08-20,33.5,34.9,28.8,33.05,5252320
2021-08-27,35.5,39.15,32.22,38.7,6131280
2021-09-03,37.25,54.5,36.3,53.35,13052340
2021-09-10,54.5,56.49,45.1,48.85,11587600
2021-09-17,47.55,52.35,43.25,44.45,12424240
2021-09-24,40.35,45.65,37.85,42.0,10219860
2021-10-01,42.75,46.55,38.8,46.35,6864240
2021-10-08,45.75,55.1,43.65,52.15,12855800
2021-10-15,53.15,62.3,49.65,61.1,16562720
2021-10-22,60.72,65.95,54.1,55.75,19501180
2021-10-29,57.8,67.9,57.25,67.0,15551600
2021-11-05,68.2,79.1,65.65,72.6,13440120
2021-11-12,77.15,82.85,68.8,76.4,13938420
2021-11-19,76.95,77.5,59.1,66.1,9468380
2021-11-26,66.55,66.73,58.51,60.95,4500980
2021-12-03,63.47,66.4,45.72,46.85,11807960
2021-12-10,40.33,51.6,39.75,43.9,8385380
2021-12-17,42.7,43.76,37.15,39.0,7896860
2021-12-24,37.2,44.25,36.55,43.75,5684760
