Date,Open,High,Low,Close,Volume
2015-04-03,154.22,156.41,151.42,153.39,17537027
2015-04-10,152.67,156.63,151.72,155.7,14557391
2015-04-17,155.23,157.71,152.99,153.6,18345061
2015-04-24,154.97,164.35,154.78,162.31,37071914
2015-05-01,163.37,167.43,162.54,166.03,22885120
2015-05-08,166.8,168.55,161.43,165.09,17571546
2015-05-15,165.06,166.74,161.41,165.64,14054684
2015-05-22,165.81,166.77,164.37,164.65,12488404
2015-05-29,164.54,164.89,161.69,162.19,13014331
2015-06-05,162.72,164.02,159.85,160.04,14505614
2015-06-12,159.82,162.94,156.19,159.65,19208953
2015-06-19,159.65,161.3,157.03,159.65,21718516
2015-06-26,160.28,162.5,157.96,158.18,21903659
2015-07-03,156.71,158.33,154.99,157.83,13576243
2015-07-10,156.63,160.04,155.1,159.61,18978624
2015-07-17,160.54,164.93,160.15,164.92,17926975
2015-07-24,165.19,166.14,152.4,152.72,38832018
2015-07-31,152.01,154.93,151.53,154.87,16088002
2015-08-07,154.59,154.73,147.55,148.3,21075645
2015-08-14,149.88,150.54,147.18,148.9,17887227
2015-08-21,148.37,149.8,142.16,142.3,20760904
2015-08-28,137.16,142.42,134.44,141.47,34034330
2015-09-04,140.9,141.87,135.61,137.38,22407099
2015-09-11,139.45,142.49,138.15,140.89,14558124
2015-09-18,140.89,143.1,137.65,138.15,21675003
2015-09-25,139.0,140.52,135.71,139.02,17591628
2015-10-02,138.07,139.3,134.38,138.22,20880565
2015-10-09,139.41,146.41,139.41,145.69,20351186
2015-10-16,145.7,145.87,142.05,143.78,18259185
2015-10-23,143.26,143.37,133.17,138.32,43853027
2015-10-30,138.38,138.62,131.29,133.92,36300069
2015-11-06,134.32,136.52,131.81,132.17,22520692
2015-11-13,131.85,132.01,125.86,125.96,26229915
2015-11-20,125.99,132.81,125.99,132.41,22055015
2015-11-27,132.44,133.21,131.09,132.37,13806781
2015-12-04,132.51,135.18,131.92,134.25,24002877
2015-12-11,134.0,134.24,128.02,128.65,22338062
2015-12-18,129.36,133.51,128.13,128.97,29124197
2015-12-25,129.86,133.18,128.13,132.17,17302304
2016-01-01,131.68,134.26,130.54,131.57,14161375
2016-01-08,129.64,130.87,125.54,125.84,26415265
2016-01-15,126.01,128.37,123.2,124.31,30826980
2016-01-22,124.39,126.29,112.81,117.11,46261861
2016-01-29,116.73,119.3,115.34,119.3,28535717
2016-02-05,118.93,122.98,116.91,122.92,26704275
2016-02-12,120.46,121.9,111.76,115.72,33507983
2016-02-19,116.47,128.11,116.0,127.23,25061428
2016-02-26,127.23,128.99,123.98,126.22,21719353
2016-03-04,126.2,133.29,125.14,131.74,23596190
2016-03-11,131.24,136.63,130.85,136.1,24684659
2016-03-18,135.76,141.02,134.84,140.62,31264417
2016-03-25,140.82,142.72,138.14,141.44,18422361
2016-04-01,141.25,146.37,140.76,145.81,21381182
2016-04-08,145.64,146.77,141.31,142.78,19266902
2016-04-15,143.65,146.04,142.05,145.05,18246843
2016-04-22,145.05,146.41,136.34,141.97,39471646
2016-04-29,141.64,144.15,137.85,139.52,17737231
