Date,Open,High,Low,Close,Volume
2015-04-03,9.46,9.79,9.27,9.72,39006110
2015-04-10,9.64,9.75,9.32,9.55,40986990
2015-04-17,9.52,9.65,9.28,9.34,31784390
2015-04-24,9.33,9.43,9.17,9.24,30310500
2015-05-01,9.13,10.07,9.12,9.84,54532170
2015-05-08,9.81,9.89,9.06,9.75,58076590
2015-05-15,9.87,9.92,9.37,9.55,39020850
2015-05-22,9.55,9.75,9.35,9.51,32963480
2015-05-29,9.42,9.69,9.32,9.6,23180740
2015-06-05,9.56,9.66,8.57,8.68,57569160
2015-06-12,8.79,8.97,8.42,8.91,50493300
2015-06-19,8.98,9.39,8.72,9.35,65098990
2015-06-26,9.54,9.64,9.4,9.46,52727950
2015-07-03,9.29,9.58,9.24,9.45,20604210
2015-07-10,9.51,9.59,9.05,9.52,31043760
2015-07-17,9.58,9.65,9.35,9.51,23798720
2015-07-24,9.47,9.48,8.75,8.85,26114550
2015-07-31,8.66,9.29,8.42,9.15,52098750
2015-08-07,9.32,9.59,9.16,9.22,30528740
2015-08-14,9.24,9.33,8.6,8.87,48069670
2015-08-21,8.81,8.99,8.19,8.26,44272030
2015-08-28,7.31,8.25,7.1,8.06,56519650
2015-09-04,7.95,7.99,7.44,7.5,42350000
2015-09-11,7.67,7.89,7.46,7.53,34580260
2015-09-18,7.67,8.23,7.56,7.85,53080500
2015-09-25,7.92,7.93,7.5,7.7,36433430
2015-10-02,7.65,8.04,7.37,8.0,52596500
2015-10-09,8.19,8.42,8.02,8.31,47023460
2015-10-16,8.34,8.43,8.0,8.37,50656540
2015-10-23,8.25,8.32,8.09,8.3,20301270
2015-10-30,8.23,8.31,7.77,7.84,49197720
2015-11-06,7.91,8.04,7.3,7.45,61977850
2015-11-13,7.41,7.45,7.07,7.1,41187630
2015-11-20,7.1,7.45,7.1,7.35,43688150
2015-11-27,7.31,7.51,7.22,7.41,34740310
2015-12-04,7.51,7.66,7.15,7.28,44770220
2015-12-11,7.21,7.29,6.6,6.64,42324920
2015-12-18,6.72,6.84,6.54,6.78,70606140
2015-12-25,6.97,7.22,6.92,7.18,27387910
2016-01-01,7.25,7.25,7.03,7.12,18637630
2016-01-08,6.93,6.98,6.45,6.48,51571300
2016-01-15,6.46,6.5,5.86,5.89,64197430
2016-01-22,6.01,6.36,5.84,6.27,59614500
2016-01-29,6.24,6.49,5.9,6.05,66318340
2016-02-05,5.87,5.95,5.35,5.55,101438480
2016-02-12,5.47,5.48,4.95,4.96,112826450
2016-02-19,5.14,5.16,4.99,5.14,99988020
2016-02-26,5.17,5.21,4.68,4.83,124760130
2016-03-04,4.98,6.04,4.97,5.92,125348190
2016-03-11,5.89,6.04,5.61,5.96,64921230
2016-03-18,5.95,6.35,5.82,6.32,50342710
2016-03-25,6.37,6.41,6.15,6.25,32477610
2016-04-01,6.12,6.58,5.97,6.51,52216560
2016-04-08,6.51,6.51,5.95,6.08,44563750
2016-04-15,6.14,6.81,6.08,6.73,54451650
2016-04-22,6.53,7.2,6.49,7.07,70834280
2016-04-29,7.01,7.03,6.38,6.41,74220960
2016-05-06,6.24,6.25,5.73,6.03,86180050
2016-05-13,6.09,6.45,6.06,6.13,80133130
2016-05-20,6.06,6.33,5.97,6.05,50547310
2016-05-27,6.01,6.57,5.99,6.53,41414230
2016-06-03,6.56,6.59,6.35,6.56,36870680
2016-06-10,6.59,7.16,6.57,6.71,57491060
2016-06-17,6.59,6.7,6.3,6.54,59041950
2016-06-24,6.45,6.74,6.21,6.23,63311710
2016-07-01,6.28,6.61,5.98,6.57,43155420
2016-07-08,6.56,6.76,6.42,6.73,52504650
2016-07-15,6.84,7.27,6.82,7.18,57585880
2016-07-22,7.16,7.31,7.09,7.11,25834160
2016-07-29,7.16,7.35,6.77,6.89,69091220
2016-08-05,6.78,6.8,6.48,6.65,52579780
2016-08-12,6.65,6.74,6.48,6.54,31521930
2016-08-19,6.61,6.9,6.57,6.81,54277850
2016-08-26,6.77,6.79,6.6,6.68,33407000
2016-09-02,6.72,7.23,6.7,7.16,38675010
2016-09-09,7.34,7.67,7.33,7.38,46103970
2016-09-16,7.3,7.36,7.07,7.15,47057890
2016-09-23,7.3,7.54,7.18,7.25,49953310
2016-09-30,7.13,7.17,6.63,6.79,55162470
2016-10-07,6.91,7.06,6.75,6.82,39198830
2016-10-14,6.81,6.85,6.43,6.61,59808210
2016-10-21,6.95,7.57,6.88,7.55,103557300
2016-10-28,7.64,7.94,7.5,7.59,97871180
