Date,Open,High,Low,Close,Volume
2015-04-03,46.7,47.08,45.49,45.77,11685000
2015-04-10,45.57,46.52,45.44,46.38,10554000
2015-04-17,46.26,46.56,44.54,44.73,13074500
2015-04-24,44.86,45.51,44.26,44.68,13275000
2015-05-01,44.67,45.61,44.23,45.16,13179000
2015-05-08,45.35,47.99,45.11,47.65,32938000
2015-05-15,47.41,48.4,47.33,47.75,20576000
2015-05-22,47.63,48.15,46.84,47.37,12933500
2015-05-29,47.29,47.68,46.46,47.36,10972000
2015-06-05,47.5,47.61,46.35,47.31,13488000
2015-06-12,47.45,48.59,46.83,47.71,15654500
2015-06-19,47.33,47.73,45.57,45.88,17093000
2015-06-26,46.23,46.49,45.1,45.23,13492500
2015-07-03,44.84,45.5,44.38,45.41,14014500
2015-07-10,45.05,46.32,44.32,45.89,18895500
2015-07-17,46.33,46.54,44.96,46.34,11854500
2015-07-24,46.29,46.79,45.6,45.8,10842500
2015-07-31,45.62,45.98,44.99,45.61,8823000
2015-08-07,45.77,47.86,45.53,47.45,14616500
2015-08-14,47.72,48.39,46.4,48.13,15344500
2015-08-21,47.86,49.28,47.29,47.34,21498000
2015-08-28,45.4,46.83,44.06,46.48,25907500
2015-09-04,46.52,46.52,44.7,45.36,18459000
2015-09-11,45.75,47.4,45.56,47.25,12441500
2015-09-18,47.16,47.63,45.3,45.65,22435500
2015-09-25,45.95,47.3,44.96,47.0,18889500
2015-10-02,46.63,47.19,44.7,46.3,19964000
2015-10-09,46.57,47.67,45.48,45.78,14527500
2015-10-16,45.96,47.91,45.78,47.58,11939000
2015-10-23,47.21,49.88,47.21,49.76,14628000
2015-10-30,49.8,52.54,48.76,50.48,27845000
2015-11-06,50.3,53.18,50.15,52.46,18556000
2015-11-13,52.48,53.35,51.29,51.69,15573000
2015-11-20,51.77,53.0,51.32,52.7,12143000
2015-11-27,52.68,53.0,51.57,52.05,5134000
2015-12-04,52.05,53.2,50.62,52.83,18909500
2015-12-11,52.77,53.19,48.56,48.79,13306500
2015-12-18,48.82,50.64,48.07,48.92,38233000
2015-12-25,49.4,50.53,49.01,50.38,12705500
2016-01-01,50.35,52.04,50.25,51.25,25653500
2016-01-08,50.45,51.81,49.67,50.05,31096500
2016-01-15,50.39,51.18,48.61,49.09,23019500
2016-01-22,49.86,50.34,48.07,50.26,21477000
2016-01-29,50.51,52.81,49.28,52.76,29619500
2016-02-05,52.66,53.78,46.8,47.24,43639500
2016-02-12,46.72,49.01,45.7,47.26,30996500
2016-02-19,47.72,49.94,47.02,49.61,16320000
2016-02-26,50.21,50.74,47.63,47.99,21090500
2016-03-04,47.79,48.16,45.54,47.8,33910500
2016-03-11,47.26,47.55,45.44,47.2,21929000
2016-03-18,46.9,47.59,46.53,47.5,15573500
2016-03-25,47.41,47.85,46.58,46.87,9810500
2016-04-01,46.88,47.57,46.24,47.14,17662500
2016-04-08,47.05,47.81,46.57,46.7,20628500
2016-04-15,46.85,47.88,45.88,47.7,14733500
2016-04-22,47.59,48.67,47.54,48.23,14430500
2016-04-29,48.13,48.93,47.63,48.01,12023000
2016-05-06,48.11,52.54,47.62,51.63,33292500
2016-05-13,51.74,52.66,51.52,52.0,19907000
2016-05-20,52.13,53.12,51.24,52.6,20802000
2016-05-27,52.46,54.34,52.3,54.04,19529000
2016-06-03,54.24,54.39,52.6,53.1,15936000
2016-06-10,53.06,53.41,52.03,52.26,17228000
2016-06-17,52.0,52.55,50.66,50.73,17833000
2016-06-24,51.13,51.63,49.15,49.28,27139500
2016-07-01,49.06,51.55,48.15,50.55,21333500
2016-07-08,50.21,51.71,50.18,51.38,12281000
2016-07-15,51.39,52.7,51.12,52.61,11088500
2016-07-22,52.64,53.03,52.15,52.63,9862500
2016-07-29,52.59,53.23,52.22,52.84,9479500
2016-08-05,52.94,56.65,52.45,55.61,22555500
2016-08-12,55.48,55.79,54.91,55.73,10362000
2016-08-19,55.93,56.38,55.62,56.07,10199500
2016-08-26,56.07,56.26,55.21,55.54,8992000
2016-09-02,55.54,57.29,55.36,57.07,14028500
2016-09-09,57.14,57.4,56.07,56.45,13105500
2016-09-16,55.76,57.15,55.76,56.3,18194500
2016-09-23,56.45,56.77,55.22,55.22,9914500
2016-09-30,55.15,55.28,53.42,53.87,15246000
2016-10-07,53.67,54.05,53.16,53.46,13638500
2016-10-14,53.77,54.5,52.91,54.26,14667000
2016-10-21,54.24,54.39,52.62,53.27,10665000
2016-10-28,53.43,53.77,53.02,53.57,10993000
2016-11-04,53.65,54.41,52.27,53.37,20805900
2016-11-11,54.15,58.7,54.03,56.25,17721100
2016-11-18,56.4,56.49,54.2,54.82,17895100
2016-11-25,54.94,55.33,53.91,54.69,9695300
2016-12-02,54.66,56.74,53.95,56.65,17931500
2016-12-09,56.9,59.86,56.85,59.66,17520100
2016-12-16,59.61,59.83,57.84,57.92,18979200
2016-12-23,57.79,58.07,56.63,56.82,10231000
2016-12-30,57.12,57.47,56.24,56.42,5469500
2017-01-06,56.9,57.72,55.8,57.34,8796800
2017-01-13,57.28,57.69,55.8,56.83,13223500
2017-01-20,56.73,57.5,56.17,57.4,7960600
2017-01-27,57.19,58.87,56.69,57.88,9016000
2017-02-03,57.88,59.0,57.25,58.54,13545700
2017-02-10,58.25,60.54,56.8,57.65,22278300
2017-02-17,58.12,59.14,57.82,58.4,13642600
2017-02-24,58.42,58.62,57.46,58.3,10935000
2017-03-03,58.25,59.1,56.97,58.74,16327200
2017-03-10,58.42,60.86,58.1,60.26,18455100
2017-03-17,60.49,61.98,60.02,61.4,19273600
2017-03-24,61.26,61.47,59.53,59.85,12743800
2017-03-31,59.2,60.31,58.85,59.87,10019200
2017-04-07,60.05,61.05,58.8,60.78,15311500
2017-04-14,60.88,61.11,59.42,59.42,9940300
2017-04-21,59.53,60.87,59.07,60.41,9824600
2017-04-28,61.38,61.55,60.03,60.2,12182400
2017-05-05,60.5,61.02,59.76,60.46,16181700
2017-05-12,60.4,60.64,58.19,58.79,13275800
2017-05-19,58.76,59.63,57.91,59.32,11891200
2017-05-26,59.6,60.75,59.22,60.35,7832500
2017-06-02,60.12,60.86,59.91,60.32,10079400
2017-06-09,60.38,64.57,60.27,63.97,19940000
2017-06-16,63.9,64.79,63.66,64.57,11606900
2017-06-23,64.74,65.0,63.9,64.28,11383500
2017-06-30,64.33,66.73,64.21,65.92,14512200
2017-07-07,66.07,66.9,65.67,65.92,9905300
2017-07-14,65.91,67.33,65.19,65.55,14801600
2017-07-21,65.61,66.76,65.33,66.58,10425900
2017-07-28,66.48,67.48,65.67,66.37,9828700
2017-08-04,66.28,67.31,63.22,64.82,12949100
2017-08-11,65.09,65.76,64.01,65.01,11178200
2017-08-18,65.87,66.43,64.57,64.59,7948500
2017-08-25,64.59,65.72,64.07,65.41,7824500
2017-09-01,65.53,65.71,64.44,65.1,7156000
2017-09-08,65.05,66.19,63.93,65.34,10495800
2017-09-15,65.65,66.44,65.29,65.38,9338700
2017-09-22,65.35,67.31,65.13,67.05,9517700
2017-09-29,66.97,68.88,65.92,68.7,10424400
2017-10-06,68.86,71.24,68.7,69.03,13429600
2017-10-13,69.1,70.69,68.91,69.39,8547200
2017-10-20,69.41,69.46,66.02,66.12,21044400
2017-10-27,65.86,66.2,64.91,65.48,27974500
2017-11-03,65.42,69.25,65.15,66.24,25067500
2017-11-10,66.37,66.65,65.28,66.27,11140200
2017-11-17,66.2,67.64,65.97,66.59,12580600
2017-11-24,66.64,68.6,66.51,67.83,9806200
2017-12-01,67.98,72.36,67.69,72.07,18560900
2017-12-08,72.84,72.99,69.3,70.93,13073700
2017-12-15,70.95,71.48,70.07,70.49,12413100
2017-12-22,70.79,71.88,69.82,70.25,14137100
2017-12-29,70.24,71.17,69.69,70.56,7575600
2018-01-05,70.77,72.94,69.56,72.85,12695100
2018-01-12,72.91,75.01,72.59,74.78,10730400
2018-01-19,74.99,75.79,74.34,75.6,9382400
2018-01-26,75.46,76.14,74.74,75.57,8872000
2018-02-02,75.49,75.9,73.37,73.98,13188900
2018-02-09,73.53,74.47,66.92,68.45,25571100
2018-02-16,68.82,72.56,68.04,71.73,16702600
2018-02-23,72.25,74.5,71.19,72.48,11321100
2018-03-02,72.71,74.48,71.34,72.54,10992200
2018-03-09,71.83,75.81,71.32,75.73,13039000
2018-03-16,76.02,76.3,73.85,74.53,18268600
2018-03-23,74.36,74.85,70.29,70.32,13711200
2018-03-30,71.18,73.57,70.76,72.52,11647100
2018-04-06,72.49,73.24,69.8,70.62,12445600
2018-04-13,71.19,73.17,70.78,72.54,10827300
2018-04-20,73.06,75.08,72.97,74.37,12609000
2018-04-27,74.36,74.44,72.35,72.72,9839100
2018-05-04,72.9,73.77,67.7,70.25,17593700
2018-05-11,70.26,72.29,69.57,71.42,13735400
2018-05-18,71.5,72.68,71.24,71.55,10788700
2018-05-25,71.98,72.55,70.46,70.86,8780700
2018-06-01,70.31,72.28,69.33,72.11,11703000
2018-06-08,72.37,76.69,72.02,75.66,14462100
2018-06-15,75.74,76.09,73.56,74.36,12773700
2018-06-22,73.9,75.63,73.58,74.8,8711000
2018-06-29,74.63,75.27,73.4,73.55,11539600
2018-07-06,73.31,74.33,72.21,73.1,6340600
2018-07-13,73.38,75.38,73.34,74.7,7892900
2018-07-20,74.88,76.97,74.71,75.81,7720800
2018-07-27,75.75,77.22,75.65,76.3,12179100
2018-08-03,76.2,76.51,72.06,72.81,14641200
2018-08-10,72.76,74.01,72.4,73.27,8727900
2018-08-17,73.33,74.12,72.91,74.05,9989100
2018-08-24,74.1,74.44,72.52,73.19,12416400
2018-08-31,73.61,76.31,73.47,76.23,11383600
2018-09-07,76.31,77.99,76.09,77.84,11577400
2018-09-14,78.17,78.48,76.24,77.97,9886600
2018-09-21,78.0,78.42,77.36,77.82,12723500
2018-09-28,77.74,78.05,74.66,74.89,13974300
2018-10-05,75.02,76.62,74.46,76.02,12878400
2018-10-12,75.8,76.25,72.32,73.3,13490600
2018-10-19,73.15,75.07,72.62,74.29,14712300
2018-10-26,74.5,74.71,72.6,73.74,15892500
2018-11-02,73.74,77.74,72.11,76.91,26948900
2018-11-09,77.0,80.0,76.98,79.08,13150900
2018-11-16,79.03,81.29,77.8,81.22,16408200
2018-11-23,81.09,81.95,78.69,78.92,11049300
2018-11-30,79.35,81.83,79.3,81.72,18254100
2018-12-07,82.21,82.65,77.8,78.55,15695000
2018-12-14,78.52,79.87,76.71,77.1,12333000
2018-12-21,76.92,77.38,72.46,72.82,18962200
2018-12-28,72.15,75.27,69.69,74.45,7985200
2019-01-04,74.72,75.88,73.83,75.67,10830100
2019-01-11,73.32,74.76,71.2,73.1,17376700
2019-01-18,72.35,75.83,72.1,75.63,13402300
2019-01-25,75.5,76.42,75.12,75.76,9351700
2019-02-01,75.4,77.84,74.91,77.52,11314900
2019-02-08,77.56,80.1,74.28,76.16,19532100
2019-02-15,76.13,77.36,74.49,75.5,19119300
2019-02-22,75.29,75.7,74.01,75.18,11571300
2019-03-01,75.68,78.16,75.02,77.19,14685200
2019-03-08,77.3,77.68,71.9,72.5,15104600
2019-03-15,72.87,74.65,72.25,74.63,14578300
2019-03-22,74.84,75.25,72.47,72.76,14392600
2019-03-29,72.85,76.2,72.73,76.14,13984000
2019-04-05,76.61,77.89,76.49,77.26,12474100
2019-04-12,76.96,78.13,76.57,77.28,15288100
2019-04-19,77.4,80.6,77.24,79.86,12737800
2019-04-26,79.61,81.2,79.52,81.19,9887000
2019-05-03,81.18,81.99,79.5,79.69,14785100
2019-05-10,78.93,81.59,78.87,81.36,11334400
2019-05-17,80.17,81.99,79.79,81.22,10221100
2019-05-24,81.25,82.07,80.47,81.83,12283200
2019-05-31,81.8,82.79,81.28,82.21,10474900
2019-06-07,82.3,85.85,81.94,85.38,12996300
2019-06-14,85.9,86.78,84.25,84.93,8601800
2019-06-21,85.16,87.26,83.95,86.77,11112400
2019-06-28,86.59,87.12,84.5,85.94,10457600
2019-07-05,86.69,89.59,85.71,89.52,6823700
2019-07-12,89.35,91.77,88.86,91.55,9714200
2019-07-19,91.79,92.31,90.7,90.77,7449800
2019-07-26,90.21,91.08,87.1,89.59,10935600
2019-08-02,89.56,90.68,85.79,90.42,12018100
2019-08-09,89.51,93.4,88.25,92.88,10658500
2019-08-16,92.39,92.42,89.26,91.67,9343400
2019-08-23,92.55,93.33,90.95,91.44,8130200
2019-08-30,92.11,93.88,91.56,93.48,7747800
2019-09-06,93.12,95.52,93.09,94.89,7079300
2019-09-13,95.55,95.55,88.99,90.83,12593000
2019-09-20,91.0,94.62,90.66,92.33,11819400
2019-09-27,92.36,94.91,92.06,92.4,8949200
2019-10-04,92.73,94.07,89.94,94.0,9842600
2019-10-11,93.65,95.56,92.93,93.94,10812500
2019-10-18,94.11,94.81,92.42,94.4,9414100
2019-10-25,94.54,94.57,91.76,91.96,9831600
2019-11-01,92.39,95.28,91.28,92.93,12841300
2019-11-08,93.21,93.43,89.09,90.47,15553100
2019-11-15,90.62,93.5,90.02,92.96,9827200
2019-11-22,93.32,95.34,92.51,93.75,10906700
2019-11-29,93.97,94.78,92.84,94.17,10413400
2019-12-06,94.16,94.61,92.85,93.8,10541700
2019-12-13,93.7,93.7,90.01,91.91,17297400
2019-12-20,92.43,94.12,90.78,93.03,17350000
2019-12-27,93.23,93.45,91.96,93.0,5866300
2020-01-03,93.08,94.98,91.71,94.67,10007500
2020-01-10,94.7,95.47,93.48,94.25,11786100
2020-01-17,94.2,97.05,93.51,96.77,14164800
2020-01-24,96.69,98.09,96.01,97.11,8407200
2020-01-31,96.31,100.43,95.64,99.74,9671700
2020-02-07,100.15,101.93,86.83,92.63,56305800
2020-02-14,92.54,96.9,92.53,96.86,24951800
2020-02-21,95.85,96.95,94.48,94.75,9104500
2020-02-28,93.5,95.31,87.42,89.22,22019100
2020-03-06,89.94,100.46,89.53,94.04,28135100
2020-03-13,88.93,91.93,75.46,83.12,29466200
2020-03-20,75.03,79.95,64.11,72.99,35010900
2020-03-27,72.24,84.35,63.51,81.25,25778100
2020-04-03,82.07,84.5,77.17,80.99,19709000
2020-04-10,83.54,87.87,82.11,87.38,16606300
2020-04-17,86.69,90.55,84.67,90.4,15863400
2020-04-24,90.83,91.73,86.74,88.92,13723900
2020-05-01,90.01,94.2,88.12,88.67,13451700
2020-05-08,88.15,94.7,87.51,93.52,12202400
2020-05-15,93.22,94.7,91.01,93.47,14084700
2020-05-22,95.26,96.74,92.04,93.77,13375500
2020-05-29,95.34,97.37,91.89,97.25,12227300
2020-06-05,97.4,98.48,93.48,97.81,15947500
2020-06-12,97.25,98.17,91.56,93.26,16488000
2020-06-19,91.34,95.76,90.76,94.52,13851600
2020-06-26,94.17,95.25,90.01,90.4,13680900
2020-07-03,91.29,94.6,90.1,92.26,11876300
2020-07-10,93.5,94.13,91.5,92.55,10210000
2020-07-17,92.73,94.32,90.84,93.83,12861400
2020-07-24,93.39,97.04,93.22,96.32,13696000
2020-07-31,95.92,96.83,92.81,96.78,15558500
2020-08-07,97.12,101.11,95.04,100.96,15746200
2020-08-14,100.96,102.96,98.37,102.49,19540800
2020-08-21,102.5,104.83,102.1,104.2,16578400
2020-08-28,104.71,105.99,103.6,105.56,13892900
2020-09-04,105.75,106.99,98.64,100.08,17037000
2020-09-11,99.33,102.09,97.51,98.23,14799100
2020-09-18,99.37,102.47,98.76,99.21,15842400
2020-09-25,97.77,100.62,96.67,100.56,12945500
2020-10-02,101.28,102.31,96.9,101.34,12901200
2020-10-09,101.78,102.49,100.29,101.39,10651600
2020-10-16,101.68,103.88,100.9,101.3,13969700
2020-10-23,101.65,101.67,98.32,98.95,10694100
2020-10-30,98.05,98.64,92.41,94.4,14988800
2020-11-06,95.87,102.33,93.97,100.66,17069800
2020-11-13,105.04,105.04,96.14,99.35,14704400
2020-11-20,100.14,101.79,98.75,101.06,11925800
