Date,Open,High,Low,Close,Volume
2015-03-27,76.28,77.87,74.02,76.58,2329600
2015-04-03,77.15,78.66,75.03,76.54,2382800
2015-04-10,76.08,77.31,75.29,76.78,2190200
2015-04-17,76.58,77.35,74.18,74.71,1492600
2015-04-24,75.04,82.24,74.68,82.03,3285800
2015-05-01,81.92,81.97,61.37,66.46,13772800
2015-05-08,66.5,66.95,63.08,65.1,5816800
2015-05-15,65.0,68.08,64.64,67.62,4236400
2015-05-22,67.51,69.82,66.81,69.36,3517600
2015-05-29,68.92,69.6,66.9,67.8,3609200
2015-06-05,67.89,68.51,65.32,65.6,4891400
2015-06-12,65.42,66.11,64.07,64.82,3766600
2015-06-19,64.5,67.95,64.0,66.5,3263800
2015-06-26,66.5,66.73,63.47,63.69,3528600
2015-07-03,63.5,65.85,62.09,62.4,4217900
2015-07-10,62.0,64.39,61.58,64.09,4488300
2015-07-17,64.57,65.36,63.01,63.25,2791500
2015-07-24,63.14,71.17,62.63,66.27,6844000
2015-07-31,66.25,73.77,65.06,72.73,6122100
2015-08-07,73.19,77.7,72.88,76.55,5301900
2015-08-14,76.92,78.19,75.8,77.61,2771300
2015-08-21,77.22,79.62,73.96,74.2,2854000
2015-08-28,71.28,73.78,69.77,73.21,3564500
2015-09-04,73.06,73.86,69.46,72.56,3039800
2015-09-11,73.5,76.58,73.01,76.35,1830000
2015-09-18,76.4,79.11,74.66,76.64,2839200
2015-09-25,77.03,78.32,73.93,74.54,2194900
2015-10-02,74.26,75.59,71.29,75.56,3705700
2015-10-09,75.83,77.27,70.93,74.05,4254300
2015-10-16,73.9,75.41,71.06,73.7,2384200
2015-10-23,73.75,75.48,71.67,75.02,2771200
2015-10-30,74.8,77.08,65.03,68.62,9277600
2015-11-06,68.66,71.44,68.29,70.54,2803900
2015-11-13,70.01,71.34,66.08,66.96,2996200
2015-11-20,66.98,70.53,66.51,69.23,2807100
2015-11-27,68.66,71.2,68.01,70.67,1471000
2015-12-04,70.86,72.8,69.16,70.4,2570100
2015-12-11,70.52,70.95,68.0,68.45,2252100
2015-12-18,68.29,70.56,68.05,69.96,2904600
2015-12-25,70.24,73.59,70.05,72.95,1527600
2016-01-01,72.79,74.99,72.48,72.92,1441600
2016-01-08,72.35,72.82,69.05,69.1,4265500
2016-01-15,69.3,69.78,66.18,67.12,3527800
2016-01-22,67.67,68.38,63.66,66.36,4634700
2016-01-29,66.18,70.44,63.48,70.14,5162700
2016-02-05,69.85,72.37,68.56,71.04,5796100
2016-02-12,70.27,71.05,66.82,67.85,5458500
2016-02-19,68.39,71.61,68.16,71.34,1858100
2016-02-26,71.84,74.12,70.26,73.48,1978500
2016-03-04,73.31,76.6,72.6,76.43,3094500
2016-03-11,76.22,78.49,75.08,78.15,2658300
2016-03-18,78.13,78.38,72.29,75.45,3939900
2016-03-25,75.9,76.91,74.48,75.59,1895800
2016-04-01,76.0,79.43,75.03,79.37,2546400
2016-04-08,79.27,81.19,76.98,80.54,3259600
2016-04-15,81.02,81.2,78.87,79.73,3759600
2016-04-22,79.73,81.64,79.3,81.11,4037300
2016-04-29,80.91,84.5,80.53,84.35,5717900
2016-05-06,85.0,87.19,83.65,86.59,3703900
2016-05-13,86.23,87.87,86.23,86.67,3817700
2016-05-20,87.06,89.24,86.74,88.97,4708700
2016-05-27,89.27,91.94,87.9,90.07,3862900
2016-06-03,89.96,90.48,87.14,88.1,8056200
2016-06-10,88.06,90.25,87.0,88.88,3154900
2016-06-17,88.6,89.92,87.05,87.66,3078200
2016-06-24,88.71,91.74,87.68,87.76,3154800
2016-07-01,87.52,93.66,85.98,93.07,2994200
2016-07-08,93.1,95.0,92.72,94.96,1930300
2016-07-15,94.97,95.5,92.93,93.49,2092500
2016-07-22,93.69,95.55,93.0,94.44,1514000
2016-07-29,94.51,94.51,92.52,93.79,2435900
2016-08-05,93.43,109.93,93.14,109.05,6210300
2016-08-12,108.8,111.37,108.27,110.78,2450500
2016-08-19,111.48,112.26,110.27,111.17,1795300
2016-08-26,111.43,111.88,109.43,110.15,2032000
2016-09-02,110.15,114.19,110.02,114.09,2267400
2016-09-09,114.21,115.06,109.92,109.97,1632500
2016-09-16,109.6,111.75,107.71,109.54,2617600
2016-09-23,109.53,114.1,109.5,111.36,2018500
2016-09-30,111.55,113.98,110.51,112.73,1672700
2016-10-07,112.37,115.52,112.07,115.32,2817100
2016-10-14,115.47,117.84,110.47,111.1,2026300
2016-10-21,111.0,113.3,110.24,110.48,1852100
2016-10-28,111.28,114.11,104.22,105.05,2814600
2016-11-04,104.9,110.45,102.45,106.21,3885000
2016-11-11,107.9,111.03,104.21,109.17,2391800
2016-11-18,109.91,116.5,108.99,116.13,2635000
2016-11-25,119.64,120.8,117.78,120.27,2360600
2016-12-02,120.15,121.06,113.47,114.58,3170300
2016-12-09,114.8,119.79,113.71,118.24,2674900
2016-12-16,118.36,121.77,117.77,119.43,3170100
2016-12-23,120.21,120.48,118.12,119.88,1767500
2016-12-30,120.12,120.9,117.15,117.27,1535600
2017-01-06,118.29,119.18,113.92,118.36,23434600
2017-01-13,120.26,121.81,118.07,120.8,4054900
2017-01-20,120.88,121.54,118.24,118.88,2695800
2017-01-27,119.02,121.78,116.54,121.66,2921600
2017-02-03,121.57,142.86,119.84,142.02,7158400
2017-02-10,142.0,143.47,140.21,141.83,4580300
2017-02-17,142.73,142.9,140.63,142.23,2947000
2017-02-24,142.3,143.92,141.02,143.06,2206400
2017-03-03,143.35,148.22,142.5,147.13,3296500
2017-03-10,146.36,151.99,145.24,150.28,3156200
