Date,Open,High,Low,Close,Volume
2015-03-27,3.85,4.35,3.85,4.35,144800
2015-04-03,4.35,4.45,4.3,4.45,84400
2015-04-10,4.41,4.41,4.12,4.36,126800
2015-04-17,4.35,4.35,4.26,4.34,108400
2015-04-24,4.32,4.4,4.16,4.39,119600
2015-05-01,4.39,4.39,4.1,4.23,174800
2015-05-08,4.28,4.34,3.95,4.07,120000
2015-05-15,4.12,4.13,3.97,4.0,150200
2015-05-22,4.06,4.09,3.76,3.83,282200
2015-05-29,3.77,3.99,3.63,3.9,88600
2015-06-05,3.9,4.04,3.67,3.74,95400
2015-06-12,3.6,3.91,3.6,3.67,77000
2015-06-19,3.6,3.92,3.49,3.9,156200
2015-06-26,3.67,3.78,3.51,3.56,219000
2015-07-03,3.53,3.65,3.41,3.57,47000
2015-07-10,3.57,3.76,3.56,3.62,26200
2015-07-17,3.65,3.68,3.48,3.5,80200
2015-07-24,3.48,3.53,3.4,3.47,32600
2015-07-31,3.4,3.47,3.16,3.35,152200
2015-08-07,3.35,3.62,3.14,3.38,108800
2015-08-14,3.37,3.7,3.37,3.51,30200
2015-08-21,3.5,3.75,3.5,3.63,111600
2015-08-28,3.55,3.75,3.2,3.51,80800
2015-09-04,3.51,3.64,3.36,3.56,39600
2015-09-11,3.62,3.62,3.25,3.39,144800
2015-09-18,3.36,3.9,3.21,3.89,168800
2015-09-25,3.85,4.05,3.79,3.79,72800
2015-10-02,3.76,3.92,3.62,3.7,82000
2015-10-09,3.7,3.97,3.62,3.75,85200
2015-10-16,3.79,3.96,3.7,3.83,46600
2015-10-23,3.81,3.85,3.68,3.68,44000
2015-10-30,3.68,3.76,3.53,3.54,97800
2015-11-06,3.76,3.84,3.55,3.62,67800
2015-11-13,3.61,3.83,3.6,3.69,49400
2015-11-20,3.68,3.92,3.57,3.72,96400
2015-11-27,3.72,3.92,3.65,3.88,25600
2015-12-04,3.76,4.06,3.73,3.8,128800
2015-12-11,3.76,4.79,3.67,4.18,270800
2015-12-18,4.35,5.05,4.18,4.79,557200
2015-12-25,4.82,5.45,4.8,5.34,487200
2016-01-01,5.37,5.86,5.34,5.53,664400
2016-01-08,5.67,5.91,5.49,5.57,744600
2016-01-15,5.43,5.84,5.32,5.47,751400
2016-01-22,5.57,5.7,5.21,5.51,664600
2016-01-29,5.43,6.25,5.41,6.14,1418000
2016-02-05,5.84,6.55,5.11,5.26,1290800
2016-02-12,5.26,5.5,4.89,5.38,609400
