Date,Open,High,Low,Close,Volume
2015-04-03,183.69,185.94,175.65,178.03,4158568
2015-04-10,176.38,184.54,176.34,183.04,4484959
2015-04-17,182.12,188.57,181.93,185.95,4668457
2015-04-24,187.17,195.12,181.04,184.43,11413576
2015-05-01,184.86,188.29,173.81,186.02,7608332
2015-05-08,185.41,191.39,180.06,190.48,6488941
2015-05-15,191.14,194.65,189.31,193.65,6365891
2015-05-22,193.12,200.13,193.09,199.42,5142467
2015-05-29,198.79,204.72,197.06,200.47,5010678
2015-06-05,200.89,205.78,197.23,204.48,4758201
2015-06-12,202.7,213.12,198.03,209.41,7911899
2015-06-19,209.95,214.01,207.31,212.15,4431195
2015-06-26,214.0,217.0,209.16,212.12,9205432
2015-07-03,209.76,217.3,207.87,214.08,5538966
2015-07-10,212.74,215.94,207.5,213.47,6884311
2015-07-17,216.68,233.46,214.5,233.23,6147749
2015-07-24,234.28,235.77,201.38,215.08,16087994
2015-07-31,212.96,214.84,208.18,213.33,5286900
2015-08-07,213.98,214.51,201.36,204.77,5321442
2015-08-14,206.31,207.2,196.25,202.4,7086211
2015-08-21,200.44,203.79,192.43,194.5,6852443
2015-08-28,179.27,197.47,174.32,196.21,9596072
2015-09-04,196.09,198.43,186.28,187.9,5315171
2015-09-11,190.43,201.59,188.28,200.79,5252154
2015-09-18,199.58,207.46,197.12,203.19,5746417
2015-09-25,204.02,204.27,165.65,170.76,8679815
2015-10-02,168.48,172.46,149.28,159.15,17891312
2015-10-09,160.51,161.41,126.46,143.75,29938340
2015-10-16,144.13,148.64,140.16,146.13,7150048
2015-10-23,145.65,149.65,132.63,143.41,11975994
2015-10-30,143.0,145.11,137.64,139.38,6542912
2015-11-06,140.49,155.52,139.04,151.6,8410377
2015-11-13,151.13,163.66,148.21,161.14,10507909
2015-11-20,160.95,174.08,158.33,169.59,35344286
2015-11-27,169.79,181.11,166.79,180.51,6035593
2015-12-04,181.19,183.44,167.32,173.96,10758328
2015-12-11,173.93,180.08,168.32,170.06,7366134
2015-12-18,170.3,183.05,167.07,176.98,9576540
2015-12-25,178.97,184.33,178.22,183.85,3889850
2016-01-01,183.49,191.12,182.19,186.72,4141607
2016-01-08,182.54,183.12,160.41,160.67,9869725
2016-01-15,168.55,171.77,156.62,166.49,11790441
2016-01-22,168.98,172.72,157.84,171.9,6488222
2016-01-29,171.81,174.16,148.31,153.65,11207564
2016-02-05,152.46,155.89,130.88,132.34,11328664
2016-02-12,131.33,141.78,126.82,138.83,7655926
2016-02-19,140.42,152.07,140.08,147.19,6237595
2016-02-26,148.85,152.29,139.13,151.08,5938963
2016-03-04,150.31,157.45,146.15,151.89,5389187
2016-03-11,150.78,158.71,143.57,154.27,7650581
2016-03-18,154.14,155.32,138.53,146.15,6794360
2016-03-25,150.05,153.92,145.44,151.11,4308347
2016-04-01,152.31,164.96,146.47,162.32,5954793
2016-04-08,163.18,169.46,159.0,163.77,5245370
2016-04-15,166.81,171.74,162.94,168.91,4459259
2016-04-22,168.45,173.9,128.9,139.68,20640698
