Date,Open,High,Low,Close,Volume
2015-04-03,40.14,41.02,39.84,40.84,1128600
2015-04-10,41.3,42.63,41.06,42.6,1094000
2015-04-17,42.87,45.32,42.6,44.56,1773100
2015-04-24,44.86,45.6,44.01,44.57,1128900
2015-05-01,44.69,45.11,43.01,43.3,1361900
2015-05-08,43.46,43.85,40.64,41.49,1814400
2015-05-15,41.51,41.7,40.1,40.63,1314700
2015-05-22,40.99,41.81,39.31,40.99,1395100
2015-05-29,40.1,40.12,38.53,39.21,825700
2015-06-05,39.31,40.38,38.71,39.21,1563200
2015-06-12,39.14,40.5,38.37,38.48,1176300
2015-06-19,38.17,39.45,37.94,38.08,1004800
2015-06-26,38.48,40.39,38.24,40.07,2271100
2015-07-03,39.43,39.5,37.66,38.44,985500
2015-07-10,37.49,38.16,36.2,36.71,1699300
2015-07-17,36.81,37.39,35.87,36.09,1529000
2015-07-24,35.97,36.09,34.52,35.01,1241100
2015-07-31,34.66,37.61,34.38,37.02,1998000
2015-08-07,36.71,37.07,36.0,36.45,1849700
2015-08-14,36.48,38.02,36.18,36.73,1649600
2015-08-21,36.42,36.68,34.01,34.01,1358800
2015-08-28,32.12,34.89,31.59,34.48,6116700
2015-09-04,34.0,35.49,32.44,32.98,2533900
2015-09-11,33.4,33.97,31.74,31.77,984600
2015-09-18,31.73,32.84,30.6,31.89,2652900
2015-09-25,32.05,32.73,30.35,31.27,1944700
2015-10-02,31.01,32.56,30.74,31.83,1642700
2015-10-09,32.3,35.4,32.13,35.25,2134000
2015-10-16,34.82,35.05,33.87,34.58,1507700
2015-10-23,34.26,34.35,32.89,33.19,1668800
2015-10-30,33.09,33.71,32.46,33.25,2901600
2015-11-06,33.26,34.41,32.68,32.81,3383700
2015-11-13,32.79,33.31,30.8,31.05,1379600
2015-11-20,31.08,32.65,31.01,31.37,1322500
2015-11-27,31.16,32.95,31.01,31.81,1176700
2015-12-04,31.93,32.94,30.98,31.32,1463400
2015-12-11,30.76,31.02,28.88,28.97,1246500
2015-12-18,28.91,31.72,28.66,31.15,1920900
2015-12-25,31.03,33.06,30.4,32.83,940700
2016-01-01,32.2,33.32,31.99,32.52,898300
2016-01-08,32.31,32.67,29.36,29.93,1445700
2016-01-15,30.1,30.2,27.78,28.69,2357800
2016-01-22,28.07,29.16,25.55,29.03,2729900
2016-01-29,28.65,30.87,27.58,30.61,2217800
2016-02-05,30.09,31.88,28.27,31.4,2701600
2016-02-12,30.5,31.49,28.47,29.67,2017600
2016-02-19,30.3,31.37,29.24,30.82,1264700
2016-02-26,31.32,32.34,29.79,31.57,1442700
2016-03-04,31.69,33.21,31.19,33.14,1336700
2016-03-11,33.2,34.0,32.35,33.56,1392000
2016-03-18,33.21,35.48,33.03,34.4,2744700
2016-03-25,34.29,34.6,32.01,32.98,2385100
2016-04-01,32.98,33.93,32.23,32.64,1506200
2016-04-08,32.5,32.74,30.79,31.43,2188400
2016-04-15,31.72,32.16,30.52,31.12,2911300
2016-04-22,30.54,33.04,30.51,32.05,1100600
