Date,Open,High,Low,Close,Volume
2015-04-03,14.7,15.08,14.55,15.05,6107700
2015-04-10,15.01,15.36,14.85,14.99,6875200
2015-04-17,15.02,15.16,14.38,14.54,7798900
2015-04-24,14.68,15.18,14.63,15.14,7883000
2015-05-01,15.4,15.8,15.25,15.52,11824200
2015-05-08,15.6,16.05,15.27,15.99,11858600
2015-05-15,15.96,16.59,15.86,16.59,11672100
2015-05-22,16.35,16.66,16.28,16.42,7793100
2015-05-29,16.24,16.56,16.04,16.48,7955200
2015-06-05,16.36,16.92,16.01,16.21,12824500
2015-06-12,16.2,16.76,16.01,16.47,14388400
2015-06-19,16.02,16.6,15.92,16.48,15079800
2015-06-26,17.18,17.44,16.97,17.23,14537100
2015-07-03,16.46,16.95,16.16,16.62,18927500
2015-07-10,15.79,17.04,15.2,16.98,26560400
2015-07-17,17.17,17.38,16.93,17.19,16648200
2015-07-24,17.21,17.29,16.89,16.92,10502300
2015-07-31,16.98,17.18,16.73,16.98,12561600
2015-08-07,17.27,17.28,16.18,16.27,17529700
2015-08-14,16.43,16.65,15.62,15.75,14846700
2015-08-21,15.48,16.1,14.71,14.72,15263100
2015-08-28,14.26,15.55,13.87,15.31,34995400
2015-09-04,15.19,15.33,14.42,14.54,15201200
2015-09-11,15.08,15.34,14.9,15.08,8757600
2015-09-18,14.8,15.3,14.37,14.41,15842200
2015-09-25,14.56,14.63,13.82,14.27,16062400
2015-10-02,13.85,14.47,13.78,14.46,15822500
2015-10-09,14.69,14.96,14.34,14.44,12487900
2015-10-16,14.21,14.77,14.03,14.74,11438900
2015-10-23,14.69,14.83,14.48,14.82,9514000
2015-10-30,14.9,14.94,14.43,14.47,12585700
2015-11-06,14.75,14.83,14.29,14.8,12857400
2015-11-13,14.68,14.78,14.01,14.18,9719000
2015-11-20,13.95,14.41,13.93,13.95,10453800
2015-11-27,13.88,14.05,13.69,13.95,8090800
2015-12-04,13.79,13.88,13.5,13.88,12904900
2015-12-11,13.76,13.76,13.11,13.22,16448700
2015-12-18,13.31,13.7,13.11,13.31,18427100
2015-12-25,13.37,13.82,13.2,13.79,6559700
2016-01-01,13.77,13.88,13.46,13.46,5098200
2016-01-08,13.2,13.31,12.43,12.46,14390400
2016-01-15,12.58,12.77,11.9,11.97,15623100
2016-01-22,11.92,11.94,11.22,11.86,15605400
2016-01-29,11.55,11.68,11.16,11.59,16483800
2016-02-05,11.5,12.0,10.57,11.7,28867900
2016-02-12,11.2,11.23,10.49,11.05,22135500
2016-02-19,11.45,11.77,11.26,11.46,15049300
2016-02-26,11.57,11.84,11.08,11.74,12573900
2016-03-04,11.8,12.62,11.69,12.53,13333900
2016-03-11,12.18,13.2,12.17,13.2,17304800
2016-03-18,13.08,13.11,12.53,12.74,18646100
2016-03-25,12.73,12.79,12.04,12.18,10008300
2016-04-01,12.25,12.4,11.72,11.9,13818100
2016-04-08,11.99,12.03,11.29,11.53,11615900
2016-04-15,11.97,12.54,11.62,12.45,16320000
2016-04-22,12.44,13.06,12.43,12.9,14330400
2016-04-29,12.71,12.72,12.19,12.27,15818500
2016-05-06,12.25,12.39,11.49,11.73,13713200
2016-05-13,11.65,12.02,11.59,11.67,12887500
2016-05-20,11.57,11.78,11.36,11.76,21268400
2016-05-27,11.76,12.76,11.69,12.65,18241200
2016-06-03,12.66,12.68,12.16,12.35,12024800
2016-06-10,12.28,12.5,11.51,11.53,14095700
2016-06-17,11.26,11.4,10.67,11.35,21511800
2016-06-24,11.84,12.56,10.17,10.18,27879500
2016-07-01,9.5,10.33,9.26,10.17,28008500
2016-07-08,9.84,10.14,9.3,10.08,18383000
2016-07-15,10.32,10.94,10.26,10.84,15022200
2016-07-22,10.74,11.24,10.68,11.1,13252300
2016-07-29,10.95,11.21,10.79,11.21,13558600
2016-08-05,11.01,11.65,10.49,11.62,18163600
2016-08-12,11.8,11.97,11.72,11.76,9952100
2016-08-19,11.83,11.99,11.7,11.87,9541500
2016-08-26,11.83,12.36,11.78,12.14,11635600
2016-09-02,12.05,12.82,12.03,12.79,14103100
2016-09-09,12.79,12.87,12.55,12.55,7922800
2016-09-16,12.32,12.64,11.91,11.95,12870600
2016-09-23,12.11,12.68,11.92,12.33,12379000
2016-09-30,12.18,12.39,11.76,12.34,15903100
2016-10-07,12.2,12.71,12.09,12.56,14198900
2016-10-14,12.54,12.6,12.08,12.36,10658500
2016-10-21,12.44,12.97,12.35,12.84,12771700
2016-10-28,13.07,13.2,12.88,13.13,13478900
2016-11-04,13.12,13.28,12.72,13.12,16986600
2016-11-11,13.43,14.35,13.38,13.95,24026400
2016-11-18,13.97,14.14,13.47,13.52,15648500
2016-11-25,13.58,13.82,13.38,13.51,6456100
2016-12-02,13.31,13.77,13.16,13.37,11580800
2016-12-09,13.66,14.68,13.66,14.45,34781800
2016-12-16,14.5,14.54,14.11,14.14,15333400
2016-12-23,14.1,14.38,14.01,14.28,9902200
2016-12-30,14.2,14.22,13.9,14.1,7206600
2017-01-06,14.32,14.77,14.3,14.63,9583600
2017-01-13,14.42,14.7,14.26,14.62,16735200
2017-01-20,14.54,14.56,14.08,14.3,11519100
2017-01-27,14.24,14.78,14.14,14.63,10589700
2017-02-03,14.35,15.02,14.19,14.95,14845700
2017-02-10,14.68,14.75,14.11,14.3,18589500
2017-02-17,14.41,14.7,14.25,14.37,12439600
2017-02-24,14.28,14.3,13.65,13.84,12269900
2017-03-03,13.77,14.79,13.63,14.76,17493300
2017-03-10,14.65,15.63,14.48,15.56,17812800
2017-03-17,15.59,15.66,15.13,15.45,14093000
2017-03-24,15.39,15.8,14.83,14.92,19394900
2017-03-31,14.85,15.18,14.81,15.09,14469400
2017-04-07,15.02,15.1,14.79,14.95,17866300
2017-04-14,14.94,15.0,14.57,14.6,15208600
2017-04-21,14.65,15.34,14.55,15.22,49615500
2017-04-28,16.3,16.51,16.2,16.28,21463300
2017-05-05,16.38,17.35,16.31,17.35,20857700
2017-05-12,17.1,17.15,16.44,16.76,15355600
2017-05-19,16.86,17.11,16.38,16.9,14999500
2017-05-26,16.99,17.14,16.9,17.0,29687500
2017-06-02,16.82,16.95,16.67,16.9,35482900
2017-06-09,16.78,17.5,16.6,17.44,27860500
2017-06-16,17.23,17.27,16.62,16.98,23159600
2017-06-23,17.2,17.24,16.61,16.69,19092400
2017-06-30,16.98,17.62,16.82,17.39,23418400
2017-07-07,17.55,17.93,17.45,17.83,12666600
2017-07-14,17.81,18.17,17.76,18.13,14600200
2017-07-21,18.0,18.13,17.75,18.07,19755900
2017-07-28,18.08,18.71,18.02,18.66,16601800
2017-08-04,18.63,18.94,18.48,18.82,22196400
2017-08-11,18.86,18.91,17.82,17.92,15006800
2017-08-18,18.09,18.2,17.72,17.93,17032000
2017-08-25,17.84,17.92,17.73,17.86,9830400
2017-09-01,17.93,17.93,17.61,17.84,13773800
2017-09-08,17.57,17.78,17.32,17.71,14612200
2017-09-15,17.8,18.34,17.79,18.12,13062700
2017-09-22,18.2,18.43,18.11,18.4,10686300
2017-09-29,18.17,18.45,17.93,18.42,12258600
2017-10-06,18.4,18.5,18.28,18.47,9787100
2017-10-13,18.5,18.71,18.44,18.47,8715700
2017-10-20,18.37,18.73,18.3,18.69,9241800
2017-10-27,18.58,19.01,18.39,18.45,12995500
2017-11-03,18.46,18.64,18.18,18.28,10909200
2017-11-10,18.24,18.33,18.03,18.21,9067400
2017-11-17,17.97,18.2,17.84,18.06,10031800
2017-11-24,17.9,18.33,17.72,18.31,9770400
2017-12-01,18.19,18.29,17.82,17.98,17585900
2017-12-08,18.1,18.56,17.7,18.55,22002300
2017-12-15,18.52,18.55,18.17,18.18,19368000
2017-12-22,18.41,18.65,18.36,18.47,10020600
2017-12-29,18.49,18.57,18.41,18.46,3866800
2018-01-05,18.45,19.13,18.4,19.11,9524100
2018-01-12,19.0,20.33,18.96,20.31,11838300
2018-01-19,20.19,20.34,20.04,20.27,12882300
2018-01-26,20.41,20.58,19.99,20.3,18520000
2018-02-02,20.17,20.28,19.35,19.35,17058200
2018-02-09,19.34,19.52,17.75,18.22,28294700
2018-02-16,18.22,18.57,17.91,18.38,23403100
2018-02-23,18.15,18.28,18.02,18.21,15216600
2018-03-02,18.17,18.28,17.34,17.56,16369900
2018-03-09,17.42,18.0,17.37,17.71,13093000
2018-03-16,17.65,17.76,17.33,17.62,13955500
