Date,Open,High,Low,Close,Volume
2015-03-27,67.29,68.52,63.62,67.26,3406600
2015-04-03,67.96,69.97,66.15,66.39,2737400
2015-04-10,65.97,67.77,65.77,67.63,2464000
2015-04-17,67.58,67.99,66.24,66.69,1745500
2015-04-24,67.1,70.0,65.99,69.09,2772200
2015-05-01,69.09,69.98,64.25,67.3,5742300
2015-05-08,67.28,68.52,64.26,64.85,3943100
2015-05-15,64.7,67.19,63.63,67.14,7548300
2015-05-22,67.5,69.93,66.88,69.7,4250900
2015-05-29,70.19,70.79,69.16,69.71,3730300
2015-06-05,69.71,70.25,68.77,69.71,2698000
2015-06-12,69.88,70.7,68.23,70.03,2167900
2015-06-19,69.77,71.91,69.06,71.85,2374400
2015-06-26,72.16,73.82,71.6,73.25,5676300
2015-07-03,72.86,73.44,71.88,72.8,2815800
2015-07-10,72.48,74.97,71.46,74.17,2783600
2015-07-17,74.95,77.17,74.06,76.86,2586500
2015-07-24,77.21,77.21,74.44,74.94,2333400
2015-07-31,74.63,80.45,74.33,76.72,7682300
2015-08-07,76.72,77.97,74.64,75.29,6977600
2015-08-14,76.23,76.44,73.69,75.08,3780600
2015-08-21,74.75,76.92,72.64,72.94,2585000
2015-08-28,69.52,75.28,67.47,75.24,4438700
2015-09-04,74.96,75.0,71.49,72.78,4292400
2015-09-11,74.05,76.33,73.26,75.89,2696900
2015-09-18,75.78,78.84,74.82,77.57,3351600
2015-09-25,78.35,78.51,72.52,73.36,2926300
2015-10-02,73.18,73.23,67.83,71.33,4494500
2015-10-09,71.51,72.14,65.42,69.83,4781100
2015-10-16,69.82,71.88,68.58,71.57,3359900
2015-10-23,71.63,72.68,66.76,68.27,3851900
2015-10-30,68.21,69.61,63.62,63.65,6744700
2015-11-06,64.0,66.41,63.97,66.09,5686600
2015-11-13,66.04,68.11,65.4,66.71,4449900
2015-11-20,66.56,69.91,66.11,68.73,4228700
2015-11-27,68.77,70.02,68.12,69.26,2554400
2015-12-04,69.51,69.56,65.76,68.02,4318000
2015-12-11,67.74,68.05,65.89,67.35,4299500
2015-12-18,67.15,70.74,67.03,69.52,5091800
2015-12-25,69.91,70.53,68.59,69.63,2038800
2016-01-01,69.58,70.62,68.64,68.66,1852300
2016-01-08,67.86,67.92,64.66,65.1,5101300
2016-01-15,65.14,66.21,62.02,63.34,5160100
2016-01-22,63.99,64.76,60.56,63.61,3382100
2016-01-29,63.39,64.0,59.89,60.83,5158300
2016-02-05,60.86,61.6,56.66,57.5,7381100
2016-02-12,56.87,62.47,55.01,60.43,7188200
2016-02-19,61.13,63.73,60.23,63.43,3361700
2016-02-26,64.0,64.85,60.95,63.35,3636600
2016-03-04,63.26,66.0,62.49,65.44,4561300
2016-03-11,65.31,67.55,64.56,67.4,3577100
2016-03-18,67.01,67.33,63.85,64.88,3626000
2016-03-25,64.82,65.83,63.66,64.23,2828200
2016-04-01,63.66,67.52,63.48,67.52,2889600
2016-04-08,67.49,71.13,67.16,70.83,4100600
2016-04-15,71.23,71.44,68.92,70.09,4135400
2016-04-22,69.69,70.69,69.35,70.04,2479900
2016-04-29,70.1,70.79,68.48,69.07,3529600
2016-05-06,69.47,69.67,62.95,65.96,17698300
2016-05-13,65.93,68.0,64.67,65.74,6700500
2016-05-20,65.75,66.84,64.51,66.55,6911400
2016-05-27,66.38,67.1,65.53,66.7,5521100
2016-06-03,66.83,67.99,66.64,67.22,4486400
2016-06-10,67.46,67.54,65.32,65.57,7169000
2016-06-17,65.09,66.08,63.36,63.4,6497000
2016-06-24,64.33,65.02,62.89,63.32,5181100
2016-07-01,62.78,66.94,61.21,66.86,7553200
2016-07-08,67.18,71.43,66.76,71.41,6908000
2016-07-15,71.76,73.15,70.81,71.67,5827700
2016-07-22,71.58,74.24,71.58,74.03,5216500
2016-07-29,73.89,78.36,72.02,77.64,11535900
2016-08-05,77.89,78.86,76.86,77.78,5307200
2016-08-12,77.27,77.56,75.94,76.4,5111800
2016-08-19,76.4,76.71,73.85,75.05,3334100
2016-08-26,75.09,76.96,75.09,75.69,3880100
2016-09-02,75.53,77.81,75.03,76.96,3831200
2016-09-09,77.02,78.01,75.67,77.07,2675300
2016-09-16,76.41,78.56,76.35,77.31,5398700
2016-09-23,77.6,79.78,77.16,79.41,3966800
