Date,Open,High,Low,Close,Volume
2017-05-12,21.25,21.3,20.27,21.1,10933700
2017-05-19,21.01,23.63,21.01,22.72,11684100
2017-05-26,22.8,23.82,22.31,23.03,3297700
2017-06-02,23.0,23.43,22.59,22.65,2360500
2017-06-09,22.61,22.91,21.57,22.49,3243700
2017-06-16,22.46,24.55,21.89,23.92,7717900
2017-06-23,24.06,24.21,19.91,20.47,7791600
2017-06-30,20.42,21.74,20.08,21.61,3604500
2017-07-07,21.75,22.41,20.58,20.67,3300600
2017-07-14,20.63,22.34,20.55,22.08,4363800
2017-07-21,22.06,23.69,21.92,23.01,4679800
2017-07-28,22.93,23.6,22.64,23.09,3912900
2017-08-04,23.23,24.08,22.39,24.07,6439100
2017-08-11,24.09,24.34,22.28,22.68,3815800
2017-08-18,22.89,23.19,21.76,21.97,3492800
2017-08-25,22.66,23.07,22.14,22.98,2374100
2017-09-01,23.07,23.95,22.68,23.7,1833600
2017-09-08,23.78,23.93,22.92,23.76,1502300
2017-09-15,23.95,25.16,23.84,25.09,2370900
2017-09-22,25.17,26.3,25.17,26.28,2388600
2017-09-29,26.32,27.65,26.2,27.52,2697000
2017-10-06,27.46,27.95,26.5,26.6,2371600
2017-10-13,26.6,27.29,26.23,26.96,1553500
2017-10-20,27.0,27.31,26.1,26.58,2802700
2017-10-27,26.58,30.66,26.2,30.42,5446300
2017-11-03,30.43,30.43,28.18,28.58,4493200
2017-11-10,28.55,28.84,27.4,28.76,3938500
2017-11-17,28.57,30.23,27.53,30.05,13028600
2017-11-24,30.21,31.88,29.81,31.14,6206100
2017-12-01,31.33,32.75,31.03,32.08,7423400
2017-12-08,32.44,32.75,31.0,32.33,3363700
2017-12-15,32.35,32.9,31.61,32.61,3843500
2017-12-22,32.8,34.62,32.8,34.2,3227200
2017-12-29,34.44,34.44,33.63,33.93,1184700
2018-01-05,34.19,34.79,33.41,34.55,2526600
2018-01-12,34.64,35.41,34.29,34.56,2207500
2018-01-19,34.8,36.08,34.6,35.92,2804600
2018-01-26,35.9,38.0,35.52,36.28,2914100
2018-02-02,36.12,36.42,33.97,34.17,3284400
2018-02-09,33.83,34.88,30.47,31.75,4225600
2018-02-16,31.89,34.6,31.82,32.85,6183100
