Date,Open,High,Low,Close,Volume
2015-02-27,99.25,99.95,98.83,98.86,8184400
2015-03-06,98.9,99.9,97.6,97.77,9816100
2015-03-13,97.72,99.05,96.15,97.66,8506600
2015-03-20,98.04,100.14,97.34,98.53,12262800
2015-03-27,98.7,98.93,95.78,96.74,8751900
2015-04-03,97.2,98.22,96.1,96.61,6269400
2015-04-10,96.14,98.76,96.0,97.54,6435100
2015-04-17,97.17,99.92,95.42,95.87,10181600
2015-04-24,96.3,97.29,93.52,94.63,12607600
2015-05-01,94.77,95.27,93.31,95.05,9689200
2015-05-08,95.33,96.39,94.32,95.92,5707500
2015-05-15,95.9,97.61,95.0,97.12,7055800
2015-05-22,97.08,97.96,96.08,96.88,6618400
2015-05-29,96.78,96.8,93.83,93.83,8480400
2015-06-05,94.33,95.34,92.72,93.23,7976400
2015-06-12,93.1,94.92,92.4,93.7,8033400
2015-06-19,92.72,93.88,91.77,92.86,9976100
2015-06-26,93.49,94.72,92.45,92.78,7973200
2015-07-03,91.72,93.84,91.41,93.4,7573400
2015-07-10,92.3,93.99,91.51,92.58,8146000
2015-07-17,93.59,94.33,92.85,93.02,6659700
2015-07-24,92.97,93.77,87.85,88.27,12758500
2015-07-31,87.66,89.87,87.01,89.47,8886300
2015-08-07,89.49,90.38,88.19,89.3,6830100
2015-08-14,89.77,92.06,87.87,89.76,6191100
2015-08-21,89.28,90.22,85.19,85.22,6190000
2015-08-28,80.03,85.28,78.79,85.06,13064900
2015-09-04,84.23,85.02,81.37,81.76,8574800
2015-09-11,83.24,85.15,82.6,83.58,6059600
2015-09-18,83.5,86.91,82.48,84.78,12507400
2015-09-25,84.83,85.25,81.28,82.43,10197700
2015-10-02,81.42,82.87,80.16,82.78,8497000
2015-10-09,83.44,88.5,83.38,87.66,6832100
2015-10-16,87.77,87.77,84.04,84.32,8069900
2015-10-23,84.17,90.69,82.37,90.59,12589900
2015-10-30,90.61,92.51,89.65,91.94,7406100
2015-11-06,91.99,93.82,91.73,92.62,7370500
2015-11-13,92.48,92.58,89.37,89.41,6832100
2015-11-20,89.43,94.01,89.28,93.54,7865200
2015-11-27,93.62,93.93,92.68,93.2,4529800
2015-12-04,93.38,95.0,91.75,94.32,9991200
2015-12-11,93.59,94.02,91.24,91.46,8303400
2015-12-18,91.75,94.17,90.87,90.92,9929100
2015-12-25,91.69,94.44,90.96,94.13,4387800
2016-01-01,93.83,94.43,92.41,92.68,3590400
2016-01-08,92.68,92.68,83.83,84.02,11637500
2016-01-15,84.37,84.88,80.63,81.25,14532600
2016-01-22,81.94,83.21,79.15,82.16,11178500
