Date,Open,High,Low,Close,Volume
2015-03-27,37.06,37.58,36.4,36.63,5954419
2015-04-03,36.84,37.49,36.4,36.63,4604966
2015-04-10,36.51,38.59,36.51,38.55,5932296
2015-04-17,38.17,39.91,37.47,39.26,7936041
2015-04-24,39.46,39.59,37.94,38.31,5223475
2015-05-01,38.37,38.98,34.48,35.36,12548020
2015-05-08,35.46,36.49,35.15,36.19,8322549
2015-05-15,36.11,36.82,35.82,36.39,5614336
2015-05-22,36.34,36.94,35.87,36.04,4251826
2015-05-29,35.84,36.08,35.44,35.78,4761769
2015-06-05,35.88,36.86,35.5,36.1,8059720
2015-06-12,35.86,36.2,35.2,35.66,5905697
2015-06-19,35.3,36.15,34.89,36.01,6056699
2015-06-26,36.25,36.48,34.86,34.93,7247655
2015-07-03,34.55,34.9,33.29,33.43,6414191
2015-07-10,32.95,34.37,32.48,33.21,10029857
2015-07-17,33.4,34.35,32.78,33.07,6636883
2015-07-24,33.03,33.98,32.46,32.72,8958346
2015-07-31,32.32,35.79,32.16,34.84,12765393
2015-08-07,34.66,36.14,34.38,35.76,9408567
2015-08-14,36.09,36.92,35.89,36.53,9041403
2015-08-21,36.29,36.49,33.32,33.34,8731181
2015-08-28,31.85,33.33,30.46,33.05,14333065
2015-09-04,32.81,33.79,32.46,32.61,7608169
2015-09-11,33.21,33.72,32.36,33.24,5595959
2015-09-18,33.08,33.11,31.22,31.34,14041219
2015-09-25,31.56,31.6,30.0,30.9,11048172
2015-10-02,30.62,31.39,29.82,30.94,11534421
2015-10-09,31.31,34.58,31.03,34.2,8906603
2015-10-16,34.22,34.3,32.09,32.52,7113820
2015-10-23,32.22,33.11,32.12,32.88,6460252
2015-10-30,32.8,33.39,31.26,33.2,6362929
2015-11-06,33.19,34.79,33.15,34.09,4601341
2015-11-13,34.05,34.53,33.34,33.68,5383059
2015-11-20,33.58,35.48,33.45,35.05,6925707
2015-11-27,33.47,36.9,33.42,35.96,8123070
2015-12-04,36.06,37.56,35.61,36.89,8726587
2015-12-11,36.61,36.92,34.57,34.63,7129901
2015-12-18,34.59,35.38,33.73,33.73,6053435
2015-12-25,33.9,36.06,33.62,35.82,3401800
2016-01-01,35.56,35.85,34.7,34.7,2909507
2016-01-08,34.2,34.84,31.92,32.05,5189142
2016-01-15,32.14,32.78,30.4,31.13,7434439
2016-01-22,31.43,31.77,29.12,30.94,6354588
2016-01-29,30.7,32.45,30.22,32.45,6964634
2016-02-05,32.09,32.44,29.93,30.65,11529102
2016-02-12,30.17,30.29,28.75,29.84,7311247
2016-02-19,30.43,32.13,29.81,31.42,4348423
2016-02-26,31.81,32.42,30.83,32.14,4007010
2016-03-04,32.13,33.79,31.65,33.69,4395573
2016-03-11,33.57,34.68,32.99,34.53,4707729
2016-03-18,34.31,36.87,33.8,36.46,5134254
2016-03-25,36.32,37.03,35.5,35.79,2976967
2016-04-01,35.98,36.39,35.15,36.2,4289426
2016-04-08,36.16,36.2,33.86,34.08,5850931
2016-04-15,34.29,35.65,34.07,34.87,4578128
2016-04-22,34.64,36.44,34.55,36.2,2831529
2016-04-29,36.01,37.47,35.85,36.87,3414252
2016-05-06,36.91,40.26,36.34,40.24,9980168
2016-05-13,40.57,41.95,40.3,40.65,9209691
2016-05-20,40.89,41.67,39.98,40.71,8340201
2016-05-27,40.67,41.68,40.04,41.48,5950792
2016-06-03,41.5,42.81,41.37,42.6,5114548
2016-06-10,42.7,43.83,42.51,42.65,4842046
2016-06-17,42.47,42.7,41.51,42.38,4866347
2016-06-24,42.98,44.11,40.89,41.08,5331315
2016-07-01,40.7,41.84,38.99,41.14,6392551
2016-07-08,41.03,42.48,39.81,42.39,4230186
2016-07-15,42.62,44.45,42.62,43.59,4763583
2016-07-22,43.54,44.66,43.05,43.91,3920326
2016-07-29,43.73,45.11,43.56,44.27,3355980
2016-08-05,44.21,44.62,43.43,44.47,4617297
2016-08-12,44.6,46.23,44.09,44.26,6970317
2016-08-19,44.46,45.1,43.9,44.44,4200930
2016-08-26,44.34,45.69,44.05,45.06,3436255
2016-09-02,45.0,45.6,42.78,43.22,5331316
2016-09-09,43.39,43.67,41.47,41.48,3639726
2016-09-16,41.23,42.12,40.65,41.08,4239132
2016-09-23,41.26,42.57,41.06,41.9,3044911
2016-09-30,41.75,43.67,41.64,42.78,4570390
2016-10-07,42.58,43.45,42.2,42.87,3938461
