Date,Open,High,Low,Close,Volume
2015-03-20,176.0,190.17,176.0,189.01,3818800
2015-03-27,187.58,188.21,169.22,175.42,3699000
2015-04-03,176.35,176.95,167.34,168.86,3302400
2015-04-10,168.0,186.06,165.0,183.96,4423200
2015-04-17,184.05,190.48,179.47,187.18,2478400
2015-04-24,188.54,190.32,184.03,189.42,1476700
2015-05-01,189.83,191.01,177.36,180.74,2711800
2015-05-08,180.24,184.5,172.02,175.44,3231600
2015-05-15,174.57,178.93,173.02,178.01,2720600
2015-05-22,177.49,184.1,175.59,183.06,1972100
2015-05-29,182.58,183.88,177.42,179.35,1604100
2015-06-05,179.97,183.5,175.2,180.58,1712800
2015-06-12,179.99,181.3,172.07,178.59,2345400
2015-06-19,177.2,183.39,175.61,179.99,1869700
2015-06-26,181.82,183.0,173.65,174.12,2256800
2015-07-03,172.5,178.95,169.22,177.37,2141200
2015-07-10,175.8,179.95,172.03,178.77,1551900
2015-07-17,179.98,185.22,176.37,183.92,1816700
2015-07-24,184.99,187.45,181.61,184.4,1955000
2015-07-31,183.61,194.73,181.94,192.24,2632400
2015-08-07,193.3,194.64,179.26,181.79,2571600
2015-08-14,179.98,186.77,176.54,184.46,2034300
2015-08-21,183.28,188.24,169.09,170.32,2524300
2015-08-28,155.74,173.18,138.85,172.82,2582600
2015-09-04,171.19,173.79,160.04,162.18,1653700
2015-09-11,165.63,168.93,158.66,160.62,1859500
2015-09-18,160.37,164.68,156.02,160.01,2754800
2015-09-25,161.09,165.15,133.23,134.77,5165200
2015-10-02,134.33,137.71,121.12,137.5,6157900
2015-10-09,139.02,139.02,126.32,133.4,3562200
2015-10-16,134.82,140.5,128.49,138.27,3573800
2015-10-23,138.34,139.12,117.26,131.34,6815600
2015-10-30,130.94,139.77,129.11,137.28,3525300
2015-11-06,137.0,144.05,137.0,142.58,3539200
2015-11-13,143.38,144.02,128.25,134.77,5065900
2015-11-20,134.03,148.85,133.52,143.93,3347100
2015-11-27,143.93,151.28,143.93,149.42,2148300
2015-12-04,149.17,149.66,139.86,145.18,2494600
2015-12-11,144.29,144.76,134.0,134.26,2523400
2015-12-18,134.01,143.3,130.17,139.96,3154400
2015-12-25,141.12,145.93,138.47,142.74,1621200
2016-01-01,141.78,144.09,139.37,140.56,2125900
2016-01-08,137.83,139.55,127.71,128.0,2986300
2016-01-15,128.96,132.62,119.11,124.4,3971300
2016-01-22,126.19,133.7,116.15,132.82,3097900
2016-01-29,132.04,134.12,123.01,128.74,3090900
2016-02-05,128.55,130.54,118.75,121.77,2985400
2016-02-12,119.47,121.62,108.5,113.78,3709800
2016-02-19,115.63,127.13,114.36,123.07,1896000
2016-02-26,124.23,126.53,114.83,125.0,3360000
2016-03-04,123.48,127.5,120.17,123.76,3162000
2016-03-11,122.78,133.82,122.6,133.8,2729300
2016-03-18,133.43,134.42,116.36,118.3,4024000
2016-03-25,118.07,123.15,116.92,118.59,2563300
2016-04-01,119.69,136.67,115.51,133.82,3834800
2016-04-08,133.72,142.94,131.99,140.01,3545000
2016-04-15,140.25,153.0,135.5,144.79,5094000
2016-04-22,144.69,157.43,144.51,157.16,3866800
2016-04-29,160.0,160.0,146.73,150.7,2631800
2016-05-06,151.25,153.98,139.75,144.35,3269000
2016-05-13,145.13,155.95,142.28,145.66,5810900
2016-05-20,145.2,153.53,144.94,149.64,5129900
2016-05-27,150.31,154.3,147.74,152.09,3136600
2016-06-03,151.94,156.92,149.28,152.75,3219800
2016-06-10,155.77,157.29,149.73,150.76,2887900
2016-06-17,149.54,152.27,142.42,143.63,3489700
2016-06-24,145.29,146.97,137.32,137.9,8487700
2016-07-01,137.44,143.79,131.24,141.04,3836800
2016-07-08,140.14,141.65,137.0,139.88,2677800
2016-07-15,141.19,144.26,140.0,142.38,2275400
2016-07-22,142.02,145.55,140.29,141.96,2703500
2016-07-29,142.02,153.98,136.0,150.97,7683000
2016-08-05,150.78,152.69,148.3,150.63,2502800
2016-08-12,151.05,151.44,136.02,136.56,3940900
2016-08-19,136.45,138.88,135.02,136.22,2613600
2016-08-26,136.98,137.75,125.98,128.52,3006800
2016-09-02,128.25,128.64,119.52,120.84,3768800
2016-09-09,120.77,123.94,118.08,118.12,2469300
2016-09-16,117.34,128.0,117.34,126.04,4084000
2016-09-23,126.17,130.1,125.6,127.19,2522300
2016-09-30,127.01,127.01,121.08,121.48,2951600
2016-10-07,121.5,126.0,120.51,122.81,2135700
2016-10-14,123.85,126.36,118.29,118.34,2393700
2016-10-21,118.16,122.41,116.53,121.26,1444400
2016-10-28,121.74,122.21,113.58,113.6,2516700
2016-11-04,114.05,114.05,95.8,103.1,5953900
2016-11-11,104.34,119.61,103.14,113.11,5271100
2016-11-18,113.38,114.54,107.75,109.25,2902000
2016-11-25,109.51,112.44,107.44,110.98,1760200
2016-12-02,110.09,110.82,101.27,102.32,2983300
2016-12-09,102.72,105.75,99.28,102.3,3233000
2016-12-16,101.81,106.7,101.44,105.39,2908500
2016-12-23,105.39,110.64,105.39,110.4,2797600
2016-12-30,110.21,114.87,106.65,109.03,2454900
2017-01-06,110.0,117.21,109.14,115.16,2531600
2017-01-13,115.81,119.57,112.52,117.3,3199900
2017-01-20,115.93,130.12,113.85,123.88,5563700
2017-01-27,123.47,124.28,118.71,119.48,3032000
2017-02-03,119.42,124.61,117.16,124.45,2110700
2017-02-10,124.01,131.58,123.52,130.92,2241700
2017-02-17,131.48,139.23,130.62,137.19,2975500
2017-02-24,138.03,138.66,133.29,136.11,1754500
2017-03-03,135.45,138.49,132.06,134.01,3535700
2017-03-10,131.98,135.41,130.25,134.83,1984400
2017-03-17,135.1,139.96,133.81,134.77,2467600
2017-03-24,140.01,144.92,139.31,143.14,4498900
2017-03-31,141.59,148.14,141.14,145.13,2409700
2017-04-07,144.55,155.6,139.72,153.78,4921200
2017-04-14,152.24,154.38,151.15,153.11,1844600
2017-04-21,152.56,154.45,150.69,152.84,1980300
2017-04-28,154.43,163.75,153.42,159.28,2335200
2017-05-05,160.11,161.96,155.25,159.06,1237400
2017-05-12,158.92,160.64,152.06,153.79,2645600
2017-05-19,152.98,157.33,146.83,149.15,2342900
2017-05-26,150.2,155.0,148.75,151.11,1566000
2017-06-02,150.68,151.98,145.16,148.59,2178100
2017-06-09,147.89,157.39,144.91,154.91,2506900
2017-06-16,155.0,155.46,146.54,149.96,2303100
2017-06-23,150.86,160.0,149.13,158.8,3640900
2017-06-30,159.6,159.86,153.67,155.5,2013500
2017-07-07,156.39,158.83,152.53,154.49,1268500
2017-07-14,154.46,156.43,151.88,154.47,1720400
2017-07-21,154.97,161.65,153.71,161.13,1990900
2017-07-28,161.8,162.59,156.09,156.8,1645400
2017-08-04,157.54,157.78,148.41,155.6,2203500
2017-08-11,155.62,157.35,140.6,142.71,4027100
2017-08-18,143.22,149.66,139.28,144.4,3155500
2017-08-25,144.76,149.17,142.0,146.0,2365100
2017-09-01,146.42,150.14,143.66,147.57,2149800
2017-09-08,147.69,152.72,146.02,152.28,1387700
2017-09-15,153.99,155.82,149.2,151.48,1930000
