Date,Open,High,Low,Close,Volume
2015-03-27,170.08,170.85,160.88,165.4,1545200
2015-04-03,166.93,172.09,166.17,170.94,1325000
2015-04-10,170.19,171.58,166.56,167.69,1195100
2015-04-17,167.5,169.14,162.59,163.45,1105500
2015-04-24,163.3,167.99,163.0,166.31,1195200
2015-05-01,166.72,174.83,165.15,168.28,1825300
2015-05-08,168.0,170.37,160.16,165.1,1572800
2015-05-15,164.82,169.83,160.04,167.85,1706800
2015-05-22,167.49,173.91,167.12,171.79,1589800
2015-05-29,170.72,174.0,169.81,173.23,3222000
2015-06-05,173.0,174.09,170.15,170.82,1943900
2015-06-12,170.95,172.58,166.68,170.46,1307400
2015-06-19,168.77,173.15,167.5,172.11,1368500
2015-06-26,173.3,174.16,169.85,173.92,1857900
2015-07-03,172.72,174.54,168.66,173.27,1134800
2015-07-10,171.74,175.98,170.69,174.49,1313400
2015-07-17,174.05,177.11,172.84,173.29,1329000
2015-07-24,173.3,176.09,171.32,171.52,1278800
2015-07-31,171.0,179.32,169.86,178.04,1375500
2015-08-07,178.52,179.83,174.5,177.42,1114300
2015-08-14,176.18,179.97,172.13,177.01,1276700
2015-08-21,176.41,177.41,162.44,162.55,1455600
2015-08-28,155.83,156.18,144.67,152.73,3198300
2015-09-04,151.83,152.67,143.19,144.23,1419600
2015-09-11,147.95,150.0,145.46,149.94,1173400
2015-09-18,150.27,154.73,144.86,149.94,1551100
2015-09-25,151.39,153.42,146.44,148.17,846300
2015-10-02,147.07,147.14,141.07,144.79,1540200
2015-10-09,145.34,150.04,144.28,148.94,1101400
2015-10-16,149.14,150.77,147.23,150.29,957800
2015-10-23,149.85,154.28,149.04,152.95,1481100
2015-10-30,152.97,171.63,149.4,166.71,2146000
2015-11-06,166.7,167.35,160.67,161.15,1726600
2015-11-13,161.13,163.27,155.68,156.03,1292900
2015-11-20,155.94,164.52,154.99,163.0,1393500
2015-11-27,163.11,166.83,161.51,166.79,686900
2015-12-04,167.45,169.05,161.46,166.99,1486600
2015-12-11,166.77,167.99,156.99,157.59,1390700
2015-12-18,157.42,165.7,155.27,156.7,1623500
2015-12-25,157.61,159.56,154.36,157.31,1077200
2016-01-01,156.92,161.19,156.48,159.86,877500
2016-01-08,157.49,160.33,143.58,143.92,1734700
2016-01-15,144.62,145.56,136.96,139.27,1588500
2016-01-22,141.0,142.06,131.79,140.55,1577500
2016-01-29,139.72,140.92,134.28,140.72,1628400
2016-02-05,139.55,140.82,109.81,111.28,3356000
2016-02-12,109.86,109.9,96.67,98.94,3306200
2016-02-19,100.05,104.78,99.04,100.54,2101200
2016-02-26,102.74,108.09,101.76,106.73,2386600
2016-03-04,106.38,115.42,100.73,115.4,3495900
2016-03-11,114.44,117.12,109.95,116.99,2381800
2016-03-18,116.84,117.89,110.72,117.29,2871100
2016-03-25,117.25,120.8,113.7,115.83,2278000
2016-04-01,115.78,118.94,113.76,118.22,1801100
2016-04-08,118.03,118.58,114.0,115.21,1331300
2016-04-15,115.93,121.62,113.95,120.24,1993900
2016-04-22,119.28,122.46,118.33,120.77,1909800
2016-04-29,119.51,125.31,113.88,115.17,3018900
2016-05-06,115.35,116.99,110.88,112.95,2563100
2016-05-13,112.98,114.56,107.01,108.14,2044500
2016-05-20,108.21,112.99,104.24,112.18,1833300
2016-05-27,112.39,117.95,111.39,116.8,1876200
2016-06-03,117.6,118.86,115.95,118.0,1307700
2016-06-10,118.7,123.87,117.64,119.9,1379600
2016-06-17,119.59,119.95,110.87,111.12,2714600
2016-06-24,113.55,117.9,102.77,103.3,3586500
2016-07-01,102.86,102.89,94.96,95.9,5894900
2016-07-08,94.94,100.58,90.07,99.7,4545800
2016-07-15,100.33,104.44,99.75,102.9,2609300
2016-07-22,103.21,109.2,102.27,108.59,1771800
2016-07-29,108.11,110.43,107.33,109.47,2201100
2016-08-05,109.57,117.07,108.34,116.97,2312800
2016-08-12,117.12,118.93,116.06,116.89,1230900
2016-08-19,117.28,118.18,112.27,113.06,1543800
2016-08-26,112.74,118.12,111.18,116.2,1385400
2016-09-02,116.24,119.56,115.29,119.49,1661100
2016-09-09,119.79,120.83,112.01,112.13,1472100
2016-09-16,111.0,114.48,109.01,113.36,2006100
2016-09-23,114.56,118.15,111.46,117.24,1611500
2016-09-30,116.25,117.37,111.54,113.79,1474600
2016-10-07,113.05,113.82,105.81,105.85,1689900
2016-10-14,105.85,106.57,100.02,100.7,2425300
2016-10-21,100.72,108.05,100.14,102.06,1556200
2016-10-28,104.99,104.99,95.22,96.45,1462800
2016-11-04,96.95,97.41,86.62,90.75,4456700
2016-11-11,92.92,94.36,87.56,94.09,3322000
2016-11-18,94.0,100.64,94.0,100.0,1972000
