Date,Open,High,Low,Close,Volume
2015-04-03,26.72,27.19,26.26,26.61,10853900
2015-04-10,26.67,27.06,25.66,25.91,9225200
2015-04-17,25.93,26.01,25.11,25.3,8027600
2015-04-24,25.4,25.63,25.12,25.43,11961000
2015-05-01,25.49,25.62,24.07,24.25,16528100
2015-05-08,24.37,25.03,23.68,24.55,16103500
2015-05-15,24.45,24.64,23.71,24.63,16881100
2015-05-22,24.51,24.68,24.14,24.34,8462600
2015-05-29,24.3,24.41,23.87,23.96,11409900
2015-06-05,23.99,24.38,23.15,23.34,12368100
2015-06-12,23.39,23.54,22.98,23.27,11652100
2015-06-19,23.21,24.14,23.11,23.76,13980800
2015-06-26,23.96,23.96,23.04,23.13,12417300
2015-07-03,23.06,23.3,22.3,22.9,12910600
2015-07-10,22.78,24.13,22.71,23.88,20005900
2015-07-17,24.07,24.65,23.84,24.45,18148900
2015-07-24,24.34,24.62,24.01,24.29,11625100
2015-07-31,24.32,24.99,24.22,24.71,15471200
2015-08-07,24.7,25.33,24.35,24.91,15693500
2015-08-14,24.98,25.44,24.57,25.4,14669400
2015-08-21,25.39,25.7,24.54,24.55,13611800
2015-08-28,24.9,25.57,22.52,23.58,30284200
2015-09-04,23.48,23.58,22.07,22.28,21862900
2015-09-11,22.57,23.0,22.12,23.0,13762900
2015-09-18,23.09,24.33,22.84,24.13,18314600
2015-09-25,24.16,24.49,23.75,24.12,16820800
2015-10-02,24.01,24.89,23.44,24.89,19975600
2015-10-09,24.94,25.75,24.8,25.45,15411200
2015-10-16,25.5,26.09,25.14,25.84,21961800
2015-10-23,25.81,26.49,25.75,26.32,11735400
2015-10-30,26.38,27.24,25.81,26.77,14412200
2015-11-06,26.71,27.33,25.69,26.15,12746900
2015-11-13,25.95,26.23,25.32,25.49,13071600
2015-11-20,25.48,26.7,25.26,26.51,11016300
2015-11-27,26.55,26.57,25.87,26.38,11200700
2015-12-04,26.45,26.67,25.11,25.6,21103300
2015-12-11,25.63,25.85,24.98,25.13,18206200
2015-12-18,24.99,26.54,24.98,25.78,20813900
2015-12-25,26.08,26.57,25.86,26.48,9374600
2016-01-01,26.38,27.13,26.35,26.46,8752200
2016-01-08,26.17,26.68,25.17,25.22,18974900
2016-01-15,25.28,26.01,24.75,25.4,18985700
2016-01-22,25.74,26.84,24.85,26.58,19624400
2016-01-29,26.6,27.21,26.18,27.19,16787000
2016-02-05,26.99,28.08,26.75,27.57,20268700
2016-02-12,27.57,27.68,26.06,26.29,18781800
2016-02-19,26.66,27.12,26.24,26.9,11580900
2016-02-26,27.15,27.29,26.35,26.69,13101400
2016-03-04,26.69,27.63,26.58,27.61,12384600
2016-03-11,27.35,27.8,26.97,27.78,11886600
2016-03-18,27.68,29.11,27.63,28.49,17350000
2016-03-25,28.32,28.48,27.52,27.8,8490400
2016-04-01,27.83,28.9,27.79,28.63,11389500
2016-04-08,28.64,28.68,28.04,28.18,9355700
2016-04-15,28.21,28.76,28.11,28.65,9759700
2016-04-22,28.64,28.76,27.73,28.22,12158800
2016-04-29,28.1,28.81,27.76,28.12,15237300
2016-05-06,28.14,29.59,28.14,29.59,14028400
