Date,Open,High,Low,Close,Volume
2015-03-27,108.58,110.16,106.0,106.37,7901700
2015-04-03,106.82,108.2,105.5,107.02,5628400
2015-04-10,107.29,108.17,106.43,106.86,6310800
2015-04-17,106.55,108.73,106.29,106.78,5863500
2015-04-24,106.86,113.45,106.82,111.64,12579800
2015-05-01,111.79,112.48,109.31,111.04,7656800
2015-05-08,111.17,111.76,109.04,110.71,6899200
2015-05-15,110.4,112.0,109.05,111.8,5316900
2015-05-22,111.48,112.93,111.21,111.25,5085500
2015-05-29,111.3,111.56,108.73,108.86,6120700
2015-06-05,108.97,109.56,105.52,105.74,6413200
2015-06-12,105.5,107.73,104.53,106.74,6445600
2015-06-19,106.2,109.48,105.52,108.81,7120400
2015-06-26,108.8,109.55,107.47,107.9,5723100
2015-07-03,107.42,108.61,105.77,107.55,4657800
2015-07-10,107.38,110.17,107.25,109.72,6546800
2015-07-17,110.33,112.48,109.95,112.4,5545700
2015-07-24,112.33,113.41,110.52,111.84,7989000
2015-07-31,111.72,115.63,111.19,114.97,8083400
2015-08-07,114.75,117.95,114.38,116.71,6981800
2015-08-14,117.28,117.47,114.2,116.16,5646100
2015-08-21,115.74,116.43,111.36,111.41,5977200
2015-08-28,105.82,109.45,103.11,107.21,12238700
2015-09-04,106.9,107.05,103.16,103.52,7399500
2015-09-11,105.42,107.2,103.04,104.05,4957700
2015-09-18,104.05,109.07,103.36,107.85,8202300
2015-09-25,108.45,109.95,107.0,108.71,8457600
2015-10-02,108.43,109.62,106.66,109.14,10471600
2015-10-09,110.06,114.9,109.82,114.73,7512400
2015-10-16,114.54,117.48,114.36,117.28,6125900
2015-10-23,117.0,122.73,116.5,121.24,10400600
2015-10-30,121.3,122.13,119.53,119.71,7370400
2015-11-06,120.61,121.59,117.15,118.58,7459900
2015-11-13,117.99,119.99,116.97,117.32,5387600
2015-11-20,117.32,122.97,117.13,120.23,7924600
2015-11-27,120.37,121.83,120.26,120.85,3663900
2015-12-04,121.06,121.94,117.52,121.3,10392400
