Date,Open,High,Low,Close,Volume
2015-04-03,31.86,32.47,31.07,31.2,3229700
2015-04-10,31.17,31.47,29.85,31.35,5878800
2015-04-17,31.28,32.41,30.86,31.69,4273300
2015-04-24,31.8,33.0,31.18,31.45,5986700
2015-05-01,31.48,31.57,28.62,29.62,5698000
2015-05-08,29.55,30.65,28.93,30.15,4201400
2015-05-15,30.12,30.35,29.15,29.67,4901200
2015-05-22,29.58,30.79,29.48,29.88,4451600
2015-05-29,29.87,30.19,27.92,28.6,5713500
2015-06-05,28.63,29.8,27.71,29.61,6425800
2015-06-12,29.47,29.61,28.36,28.58,3184300
2015-06-19,28.37,28.47,27.19,28.12,4488600
2015-06-26,28.38,28.38,26.27,26.9,6129000
2015-07-03,26.67,27.29,26.15,26.87,3260900
2015-07-10,26.47,28.72,26.38,28.21,5840200
2015-07-17,28.44,29.0,27.5,27.9,6304400
2015-07-24,27.91,28.16,25.08,25.68,9389000
2015-07-31,25.52,27.4,25.18,27.04,5288500
2015-08-07,26.99,28.21,26.47,26.64,5348700
2015-08-14,26.77,28.24,26.56,28.2,4792600
2015-08-21,28.08,28.2,25.39,25.66,4780900
2015-08-28,24.27,27.85,24.16,27.43,8391500
2015-09-04,27.18,27.44,25.89,26.58,5233300
2015-09-11,27.06,27.98,26.78,27.77,3432200
2015-09-18,27.78,28.41,27.18,27.54,4444800
2015-09-25,27.74,28.12,25.17,25.58,4876000
2015-10-02,25.41,25.53,23.62,24.41,7170200
2015-10-09,24.52,25.64,24.35,25.49,6191700
2015-10-16,25.5,25.59,23.76,25.26,5649300
2015-10-23,25.15,26.01,23.87,24.82,12033800
2015-10-30,24.84,25.68,23.91,25.42,5921000
2015-11-06,25.43,27.57,25.37,27.54,4953500
2015-11-13,27.47,27.61,25.13,25.33,6115500
2015-11-20,25.26,26.7,24.74,26.1,5340900
2015-11-27,26.01,27.66,26.0,27.46,3482700
2015-12-04,27.59,27.63,23.93,25.0,5620300
2015-12-11,24.95,25.11,23.95,24.05,4653100
2015-12-18,23.99,25.59,21.72,23.07,9281700
2015-12-25,23.12,24.45,22.92,24.39,3557300
2016-01-01,24.24,24.67,23.73,24.23,2177200
2016-01-08,23.73,24.3,21.95,22.0,5922800
2016-01-15,22.17,22.41,20.56,21.92,6627600
2016-01-22,22.13,24.09,20.94,23.21,4272400
2016-01-29,23.07,24.93,21.99,24.47,8096800
2016-02-05,24.31,26.28,23.71,25.97,7835000
2016-02-12,25.69,26.5,23.91,24.84,8013900
2016-02-19,25.06,25.8,24.4,24.63,4482100
2016-02-26,25.43,26.53,24.41,25.2,6722600
2016-03-04,24.85,26.39,23.77,26.25,8084900
2016-03-11,26.17,26.4,24.96,26.1,5365900
2016-03-18,25.26,26.94,24.92,26.86,5051100
2016-03-25,26.31,27.11,25.76,26.32,3435400
2016-04-01,26.35,26.45,25.13,25.78,4403300
2016-04-08,25.77,26.29,23.99,24.61,4023300
2016-04-15,24.6,26.73,24.36,26.17,5932800
2016-04-22,26.04,27.4,25.05,27.34,8149700
2016-04-29,27.24,28.32,26.2,26.57,6700100
2016-05-06,26.73,27.04,25.7,26.35,4058000
2016-05-13,26.19,27.52,24.87,25.04,4741000
2016-05-20,25.1,25.79,24.5,25.71,6396800
2016-05-27,25.67,26.22,24.9,25.96,3362500
2016-06-03,26.02,26.35,25.6,26.19,1917000
2016-06-10,26.3,27.0,26.14,26.55,3560500
2016-06-17,26.39,26.98,25.74,26.92,4024300
2016-06-24,27.33,28.34,25.11,25.54,8160000
2016-07-01,25.28,27.23,24.79,26.99,5135100
2016-07-08,26.7,27.82,26.39,27.7,3385000
2016-07-15,27.78,29.22,27.71,28.3,4080300
2016-07-22,28.05,29.59,27.66,29.49,3698600
2016-07-29,29.5,30.38,28.03,29.83,6671100
2016-08-05,29.87,29.89,28.3,29.55,6175900
