Date,Open,High,Low,Close,Volume
2015-03-27,38.33,38.87,37.62,38.17,30866200
2015-04-03,38.31,38.74,37.75,38.56,21816400
2015-04-10,38.35,38.78,37.99,38.53,23355200
2015-04-17,38.49,38.73,35.79,35.92,44785200
2015-04-24,36.17,36.24,34.8,35.85,51777000
2015-05-01,35.93,36.1,34.08,35.06,57913000
2015-05-08,35.03,36.17,34.05,35.9,49040200
2015-05-15,35.95,36.56,35.51,36.55,39387600
2015-05-22,36.42,37.26,36.37,37.21,33171400
2015-05-29,37.17,37.31,36.4,36.4,27576200
2015-06-05,36.6,36.61,35.47,35.51,26586400
2015-06-12,35.6,36.21,35.12,35.83,24226000
2015-06-19,35.54,37.51,35.4,36.97,49232200
2015-06-26,37.15,37.3,36.23,36.56,47322400
2015-07-03,36.49,36.85,36.23,36.56,24511800
2015-07-10,36.4,38.41,36.38,38.17,34806600
2015-07-17,38.48,38.77,38.08,38.72,23062200
2015-07-24,38.84,39.34,38.33,38.36,23627300
2015-07-31,38.17,39.26,37.39,39.24,23720900
2015-08-07,39.23,39.4,37.51,37.82,36282900
2015-08-14,38.08,39.43,37.09,38.35,35193300
2015-08-21,38.19,38.73,34.91,34.93,37415400
2015-08-28,30.0,36.0,27.32,34.94,49487500
2015-09-04,34.87,35.04,33.63,34.07,35520300
2015-09-11,34.66,37.75,34.31,37.29,48347300
2015-09-18,37.27,37.95,36.6,36.73,37486000
2015-09-25,37.06,37.13,35.69,36.11,28174800
2015-10-02,35.88,37.16,35.29,37.14,33038600
2015-10-09,37.22,38.35,37.0,38.03,28196200
2015-10-16,38.02,38.4,35.85,37.51,47345200
2015-10-23,37.5,38.51,37.35,37.82,44690200
2015-10-30,37.9,37.98,36.2,37.8,37000700
2015-11-06,37.8,38.21,36.69,37.57,34208100
2015-11-13,37.35,37.5,36.0,36.05,53028400
2015-11-20,36.05,37.75,36.02,37.31,41381100
2015-11-27,37.29,38.17,37.02,38.01,21720700
2015-12-04,38.05,40.58,37.51,40.55,56260200
2015-12-11,40.88,41.68,40.71,41.08,57871000
2015-12-18,41.23,42.58,40.64,40.64,45675000
2015-12-25,41.06,42.67,40.64,42.46,19958300
2016-01-01,42.3,42.75,41.67,41.83,14903800
2016-01-08,41.16,42.42,40.65,40.8,44726700
2016-01-15,41.08,41.69,38.06,38.49,46417700
2016-01-22,38.65,38.83,36.44,37.12,40929000
2016-01-29,37.26,38.84,36.5,38.81,45171800
2016-02-05,38.74,40.47,37.47,37.63,44630500
2016-02-12,37.08,38.34,35.42,38.33,53485500
2016-02-19,38.64,39.55,37.42,37.82,33024400
2016-02-26,38.1,39.95,37.85,39.45,32503700
2016-03-04,39.7,40.91,36.46,36.84,91122900
2016-03-11,36.59,38.68,36.54,38.64,48653600
2016-03-18,38.43,38.88,37.66,38.56,37850000
2016-03-25,38.38,38.6,37.1,37.65,32756900
2016-04-01,37.64,38.42,37.53,38.32,33025300
2016-04-08,38.32,39.22,37.59,37.99,41000400
2016-04-15,38.0,38.09,36.71,36.91,32044700
2016-04-22,36.61,37.34,35.13,35.58,49756000
2016-04-29,35.45,37.11,34.78,35.39,34887200
2016-05-06,35.52,35.56,34.19,34.55,39935100
2016-05-13,34.8,35.89,34.51,34.86,33084900
2016-05-20,34.79,35.04,33.62,34.62,35656900
2016-05-27,34.65,35.73,34.62,35.71,32607100
2016-06-03,35.72,36.52,35.62,36.25,27880600
2016-06-10,36.22,37.0,35.92,36.81,27286800
2016-06-17,36.45,36.98,34.52,35.18,66966900
2016-06-24,35.3,35.67,33.9,35.14,62543400
2016-07-01,34.88,37.0,34.75,36.55,56358300
2016-07-08,36.6,37.88,36.55,37.86,32035800
2016-07-15,37.87,37.97,36.44,36.71,30743200
2016-07-22,36.69,36.85,35.8,35.98,24512500
2016-07-29,35.73,36.46,33.81,34.19,52114900
2016-08-05,34.2,34.34,32.11,32.62,61218900
2016-08-12,32.62,32.86,32.02,32.58,53270500
2016-08-19,32.63,32.97,31.45,32.61,50757900
2016-08-26,32.64,33.24,32.21,32.68,45425300
2016-09-02,32.46,32.81,31.81,32.5,36778000
2016-09-09,32.58,32.71,30.7,31.51,63609000
2016-09-16,31.41,31.53,30.45,31.08,66362300
2016-09-23,31.06,31.38,30.44,30.45,50062600
2016-09-30,30.38,30.47,29.49,29.68,67091300
2016-10-07,29.57,29.69,28.71,29.0,75174900
2016-10-14,29.0,31.58,28.95,31.27,85641400
2016-10-21,31.33,31.34,30.26,30.76,48218900
2016-10-28,30.85,31.43,30.68,31.26,29056500
2016-11-04,31.3,32.48,30.69,30.92,46517100
2016-11-11,31.19,33.54,30.44,33.52,51581900
2016-11-18,33.55,34.95,32.59,33.45,51808900
2016-11-25,33.45,34.15,33.33,33.88,19555600
2016-12-02,33.88,34.1,31.09,33.3,61958300
2016-12-09,33.13,34.8,32.47,34.78,40889900
2016-12-16,34.66,36.09,33.84,35.94,51185500
2016-12-23,36.03,36.44,34.75,35.08,32554800
2016-12-30,34.97,35.27,34.41,34.51,15639200
2017-01-06,34.5,34.51,32.69,33.11,37941800
2017-01-13,33.17,34.43,32.8,34.1,30733900
2017-01-20,34.1,34.99,34.0,34.09,26328900
2017-01-27,34.08,34.14,32.99,33.36,29591100
2017-02-03,33.24,34.32,33.1,34.02,25280400
2017-02-10,33.96,34.09,32.44,33.48,37297900
2017-02-17,33.44,34.54,32.67,34.01,42253200
2017-02-24,34.1,34.75,32.65,33.29,28818500
2017-03-03,32.84,32.9,29.43,29.63,79495200
2017-03-10,29.62,29.82,28.71,28.82,52966100
2017-03-17,28.83,29.64,28.29,29.55,61208500
2017-03-24,29.6,29.88,28.78,29.1,42296600
2017-03-31,29.0,29.75,28.81,29.49,34831000
2017-04-07,29.46,30.01,29.22,29.86,42275700
2017-04-14,29.9,30.4,29.49,29.97,34888500
2017-04-21,29.99,30.16,29.58,29.95,35704100
2017-04-28,30.09,30.33,29.49,29.65,34510700
2017-05-05,29.66,29.8,28.55,29.35,49262000
2017-05-12,29.41,30.64,28.85,29.52,55044300
2017-05-19,29.52,29.58,28.54,29.23,44719500
2017-05-26,29.2,29.46,28.86,29.45,34025700
2017-06-02,29.39,30.65,29.33,30.13,35935200
2017-06-09,30.02,30.93,29.68,30.78,38224100
2017-06-16,30.65,30.78,20.46,22.29,217290500
2017-06-23,22.97,22.97,21.87,22.6,135021000
2017-06-30,22.68,23.55,22.49,23.32,77241300
2017-07-07,23.47,23.68,22.97,23.16,42992200
2017-07-14,23.1,23.2,22.5,23.01,48682800
2017-07-21,23.0,23.39,22.54,23.26,44487800
2017-07-28,23.25,24.28,23.17,24.28,44972900
2017-08-04,24.3,24.7,23.85,24.13,49591900
2017-08-11,24.14,24.54,23.04,23.49,40016500
2017-08-18,23.54,23.71,22.74,22.86,47257000
2017-08-25,22.85,23.25,21.06,21.74,91086000
2017-09-01,21.3,22.54,21.21,22.42,65724200
2017-09-08,22.29,22.93,20.41,21.06,109584100
2017-09-15,20.97,22.08,20.73,21.57,79969200
2017-09-22,21.52,21.68,20.04,20.15,65841200
2017-09-29,20.05,20.57,19.89,20.06,77383300
2017-10-06,20.04,20.96,19.69,20.63,101313900
2017-10-13,20.75,22.03,19.99,21.3,118306500
2017-10-20,21.29,21.3,20.25,21.02,74877400
2017-10-27,21.04,21.61,20.36,20.57,70262200
2017-11-03,20.41,21.78,20.41,21.5,51396200
2017-11-10,21.7,22.39,21.15,22.08,48333400
2017-11-17,22.0,23.47,21.25,23.41,65531600
2017-11-24,23.08,23.52,22.7,22.98,39024800
2017-12-01,23.0,27.7,22.95,25.67,124713500
2017-12-08,26.0,27.0,25.99,26.68,50693000
2017-12-15,26.8,26.97,25.89,26.45,50643000
2017-12-22,26.56,28.28,26.51,28.25,53473600
2017-12-29,28.26,28.49,27.44,27.45,22995900
2018-01-05,27.54,28.47,26.54,27.32,44469200
2018-01-12,27.38,28.77,26.88,28.14,47527400
2018-01-19,28.35,29.82,28.0,29.72,35861100
2018-01-26,29.65,30.89,29.02,30.88,61363000
2018-02-02,30.64,31.45,29.31,29.34,49199000
2018-02-09,28.98,29.54,26.63,27.66,56721100
2018-02-16,27.87,29.08,27.02,28.69,39487300
2018-02-23,27.81,28.1,26.91,27.42,38679700
2018-03-02,27.5,28.1,26.96,27.35,39292800
2018-03-09,27.29,28.29,22.85,24.08,124824800
2018-03-16,23.78,24.39,23.4,23.69,65305500
2018-03-23,23.58,24.31,23.05,23.28,52607700
2018-03-30,23.48,24.14,23.26,23.94,30790600
2018-04-06,23.92,24.26,23.15,23.77,39951500
2018-04-13,23.83,23.9,23.24,23.73,38278300
2018-04-20,23.93,25.42,23.83,24.12,43895600
2018-04-27,24.26,25.84,24.03,25.52,51577000
2018-05-04,25.68,26.04,23.61,24.14,51945600
2018-05-11,24.17,24.8,23.88,24.57,31346800
2018-05-18,24.75,26.37,24.47,24.89,56771500
2018-05-25,25.07,25.08,24.25,24.61,75574100
2018-06-01,24.52,25.12,24.24,24.42,53109500
2018-06-08,24.5,25.5,24.45,25.36,55791100
2018-06-15,25.48,26.48,25.45,25.88,69367700
2018-06-22,25.69,30.0,25.49,29.69,105890900
2018-06-29,28.98,29.73,28.25,28.45,61729600
2018-07-06,28.4,29.23,27.86,29.12,29340400
2018-07-13,29.07,29.18,27.64,28.05,35490500
2018-07-20,27.87,28.68,27.7,28.14,37798900
2018-07-27,28.25,28.98,27.76,28.7,40635900
2018-08-03,28.71,30.18,28.58,29.93,45965000
2018-08-10,29.94,30.66,29.61,30.14,33285800
2018-08-17,30.22,31.71,29.77,31.35,44899200
2018-08-24,31.49,32.4,31.03,31.2,44514500
2018-08-31,31.3,31.69,30.66,31.5,33184700
2018-09-07,31.54,32.74,31.53,32.37,30548500
2018-09-14,32.12,32.15,27.76,27.8,88036100
2018-09-21,27.75,30.0,27.54,29.95,63147800
2018-09-28,29.79,30.34,28.58,29.11,44536800
2018-10-05,29.15,29.62,28.43,29.07,42581400
2018-10-12,29.12,29.43,26.63,26.92,50321500
2018-10-19,26.75,27.82,26.75,27.56,33215600
2018-10-26,27.56,28.71,27.18,27.58,38283700
2018-11-02,27.64,30.52,26.94,30.17,64681000
2018-11-09,30.01,31.75,29.95,31.39,33468400
2018-11-16,31.21,31.98,29.61,30.24,31637100
2018-11-23,30.24,30.75,29.13,29.69,18921300
2018-11-30,29.97,30.63,29.47,29.66,32206600
2018-12-07,29.48,29.97,27.77,29.17,50614600
2018-12-14,29.25,30.4,28.15,29.55,35151400
2018-12-21,29.55,29.63,27.25,27.4,42044000
2018-12-28,27.39,27.91,26.43,27.58,20520500
2019-01-04,27.71,28.21,27.08,27.66,29714700
2019-01-11,27.65,28.74,27.25,28.43,31278600
2019-01-18,28.37,29.55,28.16,29.43,27962400
2019-01-25,29.41,29.61,28.06,28.12,27533900
2019-02-01,28.0,28.41,27.73,28.07,25940400
2019-02-08,28.07,28.46,27.62,27.83,23957700
2019-02-15,27.78,29.51,27.52,29.5,32387500
2019-02-22,29.59,29.72,28.29,28.52,23068400
2019-03-01,28.66,29.97,27.44,28.02,50520400
2019-03-08,28.1,29.08,24.34,24.47,93414300
