Date,Open,High,Low,Close,Volume
2015-04-03,64.8,65.84,64.77,64.98,1868500
2015-04-10,64.5,66.89,63.67,64.36,2278800
2015-04-17,64.07,66.21,64.07,64.51,1649200
2015-04-24,64.99,67.91,64.73,67.03,2593200
2015-05-01,66.91,68.74,66.5,66.71,2340500
2015-05-08,66.61,67.67,65.75,66.6,2126900
2015-05-15,66.61,71.15,66.25,69.28,2698200
2015-05-22,69.36,69.62,68.39,69.33,1594600
2015-05-29,69.31,70.0,67.08,67.21,1796900
2015-06-05,67.66,68.39,66.08,67.42,1660000
2015-06-12,67.29,67.74,66.03,66.08,1424500
2015-06-19,65.48,67.5,62.2,63.28,4046800
2015-06-26,63.72,64.15,62.06,62.47,3246900
2015-07-03,62.03,62.38,60.47,60.68,1706800
2015-07-10,60.0,61.47,59.85,60.17,2283300
2015-07-17,60.7,60.81,58.95,59.03,2116200
2015-07-24,59.24,59.78,57.68,57.72,1856500
2015-07-31,56.84,61.13,56.1,60.55,2631600
2015-08-07,60.39,61.79,59.52,61.59,2058200
2015-08-14,62.16,62.94,61.07,62.05,1897400
2015-08-21,61.68,62.55,56.59,56.59,1943600
2015-08-28,54.01,58.94,51.74,58.43,2957800
2015-09-04,58.19,59.22,56.31,57.13,2482700
2015-09-11,58.16,59.25,57.06,58.38,1214000
2015-09-18,58.3,58.85,55.76,56.12,5307300
2015-09-25,56.43,57.04,53.02,53.4,1936300
2015-10-02,52.86,53.93,50.95,53.91,2621300
2015-10-09,54.31,59.67,54.13,59.46,2551400
2015-10-16,59.72,59.72,53.93,54.41,2907200
2015-10-23,53.94,58.23,53.71,58.14,2188700
2015-10-30,57.93,62.95,56.48,59.81,2860100
2015-11-06,59.39,61.22,58.24,60.92,2067700
2015-11-13,60.71,60.72,54.27,54.51,2727500
2015-11-20,54.29,56.33,53.67,56.27,2492800
2015-11-27,56.06,56.87,55.27,56.41,856400
2015-12-04,56.53,57.2,55.07,55.49,1855700
2015-12-11,55.17,55.4,53.1,53.52,2550200
2015-12-18,53.49,54.18,49.71,50.33,3689600
2015-12-25,50.29,53.53,50.29,52.75,1102900
2016-01-01,52.38,52.87,51.44,51.89,1013500
2016-01-08,51.03,52.16,49.3,49.38,2431800
2016-01-15,49.53,52.34,47.42,48.17,2727000
2016-01-22,48.46,48.78,45.54,46.97,2445600
2016-01-29,46.87,53.36,46.87,53.24,8243400
2016-02-05,52.85,54.62,51.06,54.06,4142500
2016-02-12,53.72,56.97,53.22,55.78,4132400
2016-02-19,56.81,58.73,55.79,58.28,2223900
2016-02-26,59.11,59.24,53.2,54.32,4078000
2016-03-04,54.5,57.46,53.96,56.97,2840200
2016-03-11,56.68,58.64,56.46,58.29,2367200
2016-03-18,57.92,60.24,55.91,59.63,2405700
2016-03-25,59.4,60.22,56.82,57.91,1670500
2016-04-01,57.93,58.8,56.32,58.61,1892800
2016-04-08,59.72,60.15,56.45,58.18,2177800
2016-04-15,58.56,60.19,57.62,59.96,2161200
2016-04-22,59.52,64.79,58.88,62.92,4233500
2016-04-29,62.85,64.11,61.48,62.67,3845100
2016-05-06,62.64,62.96,59.69,60.44,2900300
2016-05-13,60.34,62.25,59.57,60.21,2243500
2016-05-20,60.51,61.22,57.73,59.01,1934100
2016-05-27,58.79,61.73,58.61,60.22,1478000
2016-06-03,60.28,61.04,59.54,60.2,1489300
2016-06-10,60.42,62.51,60.03,60.43,1932000
2016-06-17,60.03,60.92,58.81,60.0,2592900
2016-06-24,60.69,61.26,57.31,57.76,3630500
2016-07-01,57.22,59.66,56.02,58.96,2664600
2016-07-08,58.53,59.88,57.4,59.56,1550600
2016-07-15,59.62,61.77,59.5,61.41,1839300
2016-07-22,61.22,61.75,59.92,61.55,2876200
2016-07-29,61.16,64.23,60.69,62.06,3589600
2016-08-05,61.97,63.08,60.35,62.78,2285200
2016-08-12,62.99,64.99,62.49,64.21,2053900
2016-08-19,64.27,65.33,64.27,64.93,1264200
2016-08-26,64.64,65.24,63.64,63.8,1377200
2016-09-02,63.85,64.52,62.94,64.22,886400
2016-09-09,64.11,64.48,61.72,61.75,853800
2016-09-16,61.24,62.45,59.7,60.74,2008100
2016-09-23,60.94,62.57,60.78,61.8,2001700
2016-09-30,61.67,63.27,59.27,62.62,1320500
2016-10-07,62.33,64.09,62.16,63.16,1416500
2016-10-14,63.24,63.89,61.4,61.82,1176000
2016-10-21,61.64,67.44,61.04,66.69,2809500
2016-10-28,65.76,66.61,64.26,65.5,2822300
2016-11-04,65.75,66.54,63.49,64.62,2274900
2016-11-11,65.49,75.99,65.45,74.76,4420600
2016-11-18,75.31,78.08,74.01,75.31,2640800
2016-11-25,74.8,77.26,71.62,77.18,1432500
2016-12-02,76.87,80.57,75.64,78.01,2558000
