Date,Open,High,Low,Close,Volume
2015-04-03,98.75,100.99,97.42,100.74,339000
2015-04-10,99.84,100.77,97.71,98.3,549300
2015-04-17,98.19,99.15,93.84,94.23,755400
2015-04-24,94.95,97.0,93.31,96.15,807000
2015-05-01,96.05,102.78,95.67,99.29,1007900
2015-05-08,99.16,100.7,94.64,97.51,675400
2015-05-15,97.31,99.69,96.8,98.18,695600
2015-05-22,97.87,100.89,97.87,99.25,433000
2015-05-29,98.59,99.48,95.26,96.7,519200
2015-06-05,97.35,98.67,95.23,95.82,612100
2015-06-12,95.9,98.45,95.4,97.25,795800
2015-06-19,96.41,99.06,94.82,98.34,605700
2015-06-26,99.08,99.45,95.84,97.76,756400
2015-07-03,97.14,97.96,93.63,95.79,527800
2015-07-10,94.91,95.95,89.24,92.16,719200
2015-07-17,92.53,94.26,90.75,92.26,780600
2015-07-24,92.47,93.12,89.27,90.42,510100
2015-07-31,89.84,93.34,89.07,92.0,876600
2015-08-07,92.0,92.33,90.36,91.87,720700
2015-08-14,92.59,94.21,90.97,92.91,680300
2015-08-21,92.77,93.87,87.9,87.99,537100
2015-08-28,85.15,90.13,82.53,89.78,950000
2015-09-04,89.35,90.6,86.65,88.95,451500
2015-09-11,90.43,92.72,90.09,91.77,387900
2015-09-18,91.88,94.55,90.68,91.18,506600
2015-09-25,92.0,92.47,86.38,89.09,720400
2015-10-02,88.65,91.55,87.32,89.06,673900
2015-10-09,89.96,94.16,89.75,92.88,753700
2015-10-16,93.13,95.43,92.06,93.72,582900
2015-10-23,93.14,94.48,90.72,91.12,682400
2015-10-30,90.83,101.67,90.81,99.93,1158200
2015-11-06,99.88,104.9,99.49,104.87,561300
2015-11-13,110.0,114.9,108.05,108.13,1108800
2015-11-20,107.68,111.87,106.34,110.59,714900
2015-11-27,110.73,110.98,108.52,110.41,352700
2015-12-04,110.53,111.0,105.6,109.02,575700
2015-12-11,108.71,110.0,106.09,107.1,629000
2015-12-18,106.95,108.57,103.52,103.61,722900
2015-12-25,104.3,109.34,104.3,108.2,251000
2016-01-01,108.02,109.01,106.42,107.01,256200
2016-01-08,105.84,106.23,96.91,98.85,592400
2016-01-15,99.85,101.91,94.3,96.71,670900
2016-01-22,97.75,97.75,90.61,97.15,661800
2016-01-29,97.0,102.0,96.61,101.9,793900
2016-02-05,101.19,113.44,100.04,109.36,1089100
2016-02-12,108.46,110.68,105.63,110.32,663800
2016-02-19,110.88,114.8,110.32,113.36,515200
2016-02-26,114.15,115.43,111.87,114.02,714500
2016-03-04,114.19,118.75,113.29,117.01,673000
2016-03-11,116.46,119.51,114.81,118.97,525700
2016-03-18,118.93,124.59,116.46,122.75,757800
2016-03-25,122.29,122.29,117.96,119.07,569200
2016-04-01,119.4,124.25,118.18,123.4,605600
2016-04-08,123.15,123.15,117.83,118.51,506100
2016-04-15,118.84,122.97,117.09,120.64,556500
2016-04-22,120.25,122.2,118.04,120.15,449900
2016-04-29,120.38,121.51,115.85,116.48,419100
2016-05-06,116.98,121.47,110.26,111.4,1058900
2016-05-13,111.47,113.76,109.83,110.0,702400
2016-05-20,109.77,110.86,106.26,109.1,772200
2016-05-27,109.19,114.04,107.9,114.04,719600
2016-06-03,114.6,117.0,112.95,115.66,461200
2016-06-10,115.57,120.0,115.31,118.12,536700
2016-06-17,117.44,118.38,114.42,116.33,576100
2016-06-24,117.33,119.38,114.63,116.04,693200
2016-07-01,114.8,119.36,112.13,116.56,970800
2016-07-08,116.11,117.81,113.42,117.05,461500
2016-07-15,117.48,121.79,116.99,120.42,449800
2016-07-22,120.1,121.7,118.54,119.67,433100
2016-07-29,119.65,126.32,118.64,125.02,541200
2016-08-05,125.0,125.85,114.76,118.42,774300
2016-08-12,118.16,120.74,116.17,117.85,504000
2016-08-19,117.92,123.6,117.92,123.34,574800
2016-08-26,123.17,127.1,120.84,126.99,493200
2016-09-02,126.88,130.4,126.05,127.65,630900
2016-09-09,127.52,128.47,121.89,121.97,520200
2016-09-16,121.7,128.73,116.97,125.58,769000
2016-09-23,125.93,130.79,125.03,126.6,529700
2016-09-30,126.12,129.3,125.27,128.81,550500
2016-10-07,128.4,129.21,125.48,127.74,487700
2016-10-14,128.35,129.94,124.43,129.36,488600
2016-10-21,129.78,129.78,124.32,125.7,516400
2016-10-28,126.69,140.94,126.51,138.4,816100
2016-11-04,138.4,140.37,131.67,135.86,837200
2016-11-11,136.4,149.22,136.4,149.2,934300
2016-11-18,150.99,154.12,146.43,150.99,990400
2016-11-25,151.57,155.0,144.01,154.14,803900
2016-12-02,153.74,154.11,144.65,146.01,4235900
2016-12-09,146.77,155.93,145.65,155.68,774000
2016-12-16,155.68,156.37,151.01,151.57,1020900
2016-12-23,150.92,155.53,150.24,153.08,434500
2016-12-30,153.11,156.54,150.01,151.77,238000
2017-01-06,153.28,157.3,150.14,151.63,422400
2017-01-13,151.5,152.99,146.94,152.84,495300
2017-01-20,152.77,152.95,149.28,150.05,363200
2017-01-27,149.56,158.7,148.11,157.0,394900
2017-02-03,156.1,166.39,153.81,163.62,889600
2017-02-10,162.7,165.75,158.67,162.87,523400
2017-02-17,163.38,164.39,160.9,163.41,488900
2017-02-24,163.41,166.22,160.42,163.5,337600
2017-03-03,163.97,167.21,160.71,163.4,709800
2017-03-10,162.77,163.51,157.38,157.83,611100
2017-03-17,157.88,163.15,157.48,161.6,754400
2017-03-24,161.34,162.71,155.6,158.07,466200
2017-03-31,156.21,162.5,155.26,159.91,604700
2017-04-07,160.23,161.0,150.13,151.04,756700
2017-04-14,150.14,154.35,149.81,149.83,416000
2017-04-21,150.48,157.9,149.83,153.11,475300
2017-04-28,155.17,159.89,153.11,154.15,636600
2017-05-05,154.6,173.14,151.62,167.19,1088600
2017-05-12,167.02,167.06,163.35,164.48,349000
2017-05-19,165.01,166.61,157.26,158.33,488700
2017-05-26,158.59,163.92,158.19,162.58,537000
2017-06-02,162.32,169.51,160.5,167.93,393500
2017-06-09,168.51,170.96,163.12,167.71,450000
2017-06-16,166.91,168.78,157.91,162.65,631900
2017-06-23,163.45,164.99,158.76,162.16,354100
2017-06-30,163.22,166.16,160.41,165.0,627000
2017-07-07,166.01,170.05,161.65,168.94,570700
2017-07-14,168.51,173.54,163.18,171.9,562000
2017-07-21,172.51,188.19,170.7,182.99,863000
2017-07-28,183.42,186.65,177.3,179.57,720500
2017-08-04,179.97,188.6,176.4,182.36,1029000
2017-08-11,183.22,184.39,178.32,181.03,538800
2017-08-18,182.79,185.88,176.01,176.39,444600
2017-08-25,176.0,179.72,173.82,178.26,403700
2017-09-01,178.29,187.3,166.4,186.47,1711500
2017-09-08,186.4,187.13,183.67,184.71,738000
2017-09-15,185.85,187.73,183.42,185.33,662700
2017-09-22,185.9,190.97,184.26,189.32,554200
2017-09-29,188.41,199.26,186.63,195.88,739900
2017-10-06,195.88,204.4,194.04,204.1,725200
2017-10-13,204.2,209.85,201.76,202.81,1049100
2017-10-20,204.48,208.87,202.6,207.76,599700
2017-10-27,208.46,212.47,206.38,209.88,561800
2017-11-03,210.58,212.54,182.03,184.81,1703400
2017-11-10,185.53,196.77,184.93,195.73,1137600
2017-11-17,195.11,206.33,193.68,204.96,817800
2017-11-24,205.94,215.0,204.53,206.4,484700
2017-12-01,206.32,207.39,194.0,201.41,666000
2017-12-08,202.85,202.85,192.0,197.41,701400
2017-12-15,196.86,199.36,192.67,197.72,818900
2017-12-22,199.18,202.76,198.12,199.1,500500
2017-12-29,198.24,200.97,194.87,197.82,357900
2018-01-05,198.94,203.62,196.05,201.19,436000
2018-01-12,200.46,206.74,199.55,206.45,518700
2018-01-19,206.74,220.19,205.45,219.93,1110900
2018-01-26,220.0,221.06,207.9,212.37,1647800
2018-02-02,212.02,226.33,206.04,214.89,1200000
2018-02-09,212.5,216.01,189.83,199.48,1186000
2018-02-16,200.3,209.86,196.23,208.05,719100
2018-02-23,206.61,211.91,205.57,210.15,415000
2018-03-02,210.0,214.71,205.39,209.95,720400
2018-03-09,208.82,219.6,205.76,219.4,576200
2018-03-16,219.63,225.3,214.72,223.19,859000
2018-03-23,222.24,224.95,204.25,204.73,704200
2018-03-30,207.91,210.25,197.82,208.18,567000
2018-04-06,207.43,209.07,196.01,198.63,609000
2018-04-13,200.3,207.35,198.5,204.06,442400
2018-04-20,205.85,213.79,202.62,204.12,526000
2018-04-27,205.19,206.8,192.55,192.59,588200
2018-05-04,192.51,220.73,184.04,206.61,1790300
2018-05-11,207.03,219.96,204.65,213.79,793200
2018-05-18,214.82,218.85,210.6,210.85,723700
2018-05-25,212.12,217.47,211.09,215.39,693000
2018-06-01,214.57,223.36,213.02,215.86,770800
2018-06-08,217.37,227.35,214.4,226.24,824700
2018-06-15,226.69,235.22,226.69,234.62,1216800
2018-06-22,232.4,238.11,227.19,231.91,3520900
2018-06-29,231.9,235.37,223.79,228.18,1254900
2018-07-06,226.0,228.92,222.63,228.72,874300
2018-07-13,229.92,231.85,223.21,227.84,774700
2018-07-20,227.0,231.42,225.76,226.85,620700
2018-07-27,226.19,226.19,219.55,221.53,654300
2018-08-03,221.82,222.71,202.11,219.64,2231200
2018-08-10,218.97,229.73,215.86,218.89,1017100
2018-08-17,219.49,224.11,216.75,219.09,563000
2018-08-24,219.79,224.21,215.01,219.01,379700
2018-08-31,220.33,228.94,220.27,223.56,629300
2018-09-07,223.16,225.85,218.91,219.28,435400
2018-09-14,219.4,225.7,216.3,221.88,437500
2018-09-21,220.01,221.04,200.98,208.75,1378900
2018-09-28,207.19,208.74,194.71,197.89,957300
2018-10-05,198.25,198.78,185.92,186.98,798400
2018-10-12,183.11,186.3,174.21,176.86,1101500
2018-10-19,176.07,186.01,174.71,175.27,747300
2018-10-26,176.38,179.81,165.54,167.6,1103300
2018-11-02,170.59,193.58,163.43,191.75,1600400
2018-11-09,192.03,194.93,182.04,185.5,692500
2018-11-16,185.36,186.39,178.51,184.35,655000
2018-11-23,185.0,185.56,175.0,179.47,289500
2018-11-30,182.58,192.58,176.7,191.35,605100
2018-12-07,194.47,195.37,171.27,172.58,570000
2018-12-14,171.88,178.23,168.88,169.14,771700
2018-12-21,168.33,172.3,159.83,160.1,892500
2018-12-28,158.4,174.78,155.15,168.03,639800
2019-01-04,169.78,171.73,162.87,170.28,593800
2019-01-11,170.86,184.38,169.58,183.43,796500
2019-01-18,181.24,188.58,171.87,187.42,733900
2019-01-25,185.62,189.2,178.67,186.08,563300
2019-02-01,183.72,187.68,168.99,180.37,1381200
2019-02-08,180.31,188.62,172.81,178.84,796400
2019-02-15,179.25,187.17,177.14,187.17,509000
2019-02-22,186.32,191.72,184.33,191.4,479800
2019-03-01,192.87,197.02,190.33,192.37,621500
2019-03-08,193.13,195.61,186.97,188.67,821500
2019-03-15,189.17,193.6,187.58,191.14,670000
2019-03-22,191.59,193.62,182.41,182.72,836500
2019-03-29,182.7,186.62,179.52,182.48,911100
2019-04-05,183.97,195.76,182.19,194.43,961800
2019-04-12,193.47,197.2,191.57,196.87,647800
2019-04-19,197.08,203.15,195.08,199.32,504100
2019-04-26,198.01,206.0,196.7,199.24,577700
2019-05-03,199.99,201.42,187.32,196.23,1244700
2019-05-10,193.25,193.25,172.91,175.89,818500
2019-05-17,171.65,175.55,167.38,169.76,663200
2019-05-24,167.97,172.85,165.58,167.59,675100
2019-05-31,168.19,169.11,162.7,163.21,544700
2019-06-07,163.56,173.12,162.59,172.55,637600
2019-06-14,174.06,177.7,167.1,167.46,728800
2019-06-21,166.97,180.44,166.18,176.83,722300
2019-06-28,177.4,179.78,173.05,176.91,1093000
2019-07-05,180.96,182.0,175.01,177.47,384400
2019-07-12,175.97,176.99,166.69,170.69,762400
2019-07-19,170.98,176.13,166.37,175.0,1079300
2019-07-26,175.27,190.76,175.27,186.47,1283100
2019-08-02,186.13,188.85,158.17,159.13,1816700
2019-08-09,155.42,159.2,152.49,154.41,1321200
2019-08-16,153.54,160.58,149.8,156.73,811100
2019-08-23,158.34,162.36,153.34,153.95,869200
2019-08-30,156.64,157.54,152.17,156.07,647200
2019-09-06,155.61,167.48,152.54,166.44,469600
2019-09-13,168.16,184.71,166.52,183.1,801000
2019-09-20,181.77,185.0,172.64,173.12,948900
2019-09-27,172.97,180.85,172.97,177.47,555200
2019-10-04,177.98,180.34,167.38,179.15,594400
2019-10-11,177.89,182.38,173.58,181.02,391700
2019-10-18,180.6,188.41,179.47,187.36,511400
2019-10-25,188.87,191.87,182.97,188.29,727900
2019-11-01,189.71,191.0,171.11,181.07,1228100
2019-11-08,182.83,188.95,181.56,183.81,650000
2019-11-15,181.73,183.36,174.81,178.39,655600
2019-11-22,177.76,181.85,175.06,179.65,766500
2019-11-29,179.75,184.55,178.91,181.41,261600
2019-12-06,181.03,186.51,172.88,184.55,560400
2019-12-13,184.57,190.84,182.04,188.41,360100
2019-12-20,189.54,193.05,188.9,190.54,801200
2019-12-27,191.33,193.3,188.69,192.02,233500
2020-01-03,191.82,193.61,188.86,191.01,303400
2020-01-10,189.5,193.44,187.06,191.11,537100
2020-01-17,191.16,196.0,189.08,190.82,596500
2020-01-24,189.68,193.71,189.06,189.81,607500
2020-01-31,186.15,187.84,174.0,176.91,890200
2020-02-07,178.22,191.87,176.72,184.09,669700
2020-02-14,182.76,189.06,182.05,184.73,415300
2020-02-21,182.84,188.73,182.35,182.61,332300
2020-02-28,175.61,177.35,155.02,159.68,636900
2020-03-06,161.28,167.97,149.82,156.49,773500
2020-03-13,148.56,155.54,118.82,129.44,1212700
2020-03-20,117.26,131.37,103.63,113.09,1204200
2020-03-27,113.09,143.04,104.14,125.35,931300
2020-04-03,124.79,134.87,119.79,129.4,676200
2020-04-10,134.85,145.06,129.96,138.05,565000
2020-04-17,136.98,140.75,127.01,135.09,654400
2020-04-24,130.77,137.18,125.03,135.49,848800
2020-05-01,135.17,160.39,133.95,145.69,937500
2020-05-08,143.51,146.72,138.66,146.64,608400
2020-05-15,144.59,150.75,131.81,139.57,727600
2020-05-22,151.32,160.43,148.0,155.99,616800
2020-05-29,161.32,170.6,157.95,162.49,480900
2020-06-05,162.82,184.98,161.7,181.92,767600
2020-06-12,183.2,185.58,160.12,164.62,608700
2020-06-19,159.5,175.54,159.11,165.34,511100
2020-06-26,164.71,170.06,161.61,166.26,613200
2020-07-03,166.68,171.68,162.08,164.7,525900
2020-07-10,168.67,170.83,164.1,166.63,462100
2020-07-17,168.51,174.67,162.01,173.25,418000
2020-07-24,173.05,176.85,171.37,172.62,375900
2020-07-31,172.29,192.5,170.02,177.65,564800
2020-08-07,177.65,187.36,177.21,185.16,394800
2020-08-14,185.12,193.53,185.01,187.89,466000
2020-08-21,188.33,190.55,178.49,181.15,268000
2020-08-28,182.93,187.49,180.9,183.74,342900
2020-09-04,184.41,186.29,175.18,180.06,334100
2020-09-11,177.52,178.88,173.68,175.33,254200
2020-09-18,176.78,182.37,175.46,176.69,431000
2020-09-25,173.41,173.41,165.45,169.55,321400
2020-10-02,172.08,185.24,171.24,181.14,426300
2020-10-09,183.92,190.0,183.51,187.5,390300
2020-10-16,188.8,193.87,186.32,192.78,314500
2020-10-23,192.78,204.15,190.64,202.57,479000
2020-10-30,200.18,201.93,190.88,197.94,563100
2020-11-06,199.57,214.48,198.31,213.29,513500
2020-11-13,220.0,226.74,213.0,224.93,706300
2020-11-20,228.6,235.28,225.04,232.47,645200
