Date,Open,High,Low,Close,Volume
2015-04-03,77.08,79.52,76.67,78.7,8115400
2015-04-10,79.02,81.43,78.35,81.0,5309900
2015-04-17,81.13,81.89,78.17,78.55,4434200
2015-04-24,79.3,82.79,79.14,81.1,6206800
2015-05-01,81.14,81.84,78.75,80.45,4720700
2015-05-08,80.67,81.42,77.58,78.87,4793400
2015-05-15,79.04,79.3,77.17,78.67,4084700
2015-05-22,78.69,80.74,78.46,80.26,4064900
2015-05-29,79.94,80.89,78.47,79.22,9803200
2015-06-05,79.92,79.99,77.42,78.49,4786400
2015-06-12,78.56,79.36,77.83,78.25,3879200
2015-06-19,77.82,79.49,77.47,79.17,3428800
2015-06-26,80.0,80.67,77.75,78.27,3812100
2015-07-03,77.6,78.16,76.35,77.74,3954900
2015-07-10,76.97,79.44,75.66,79.35,5395500
2015-07-17,79.78,82.53,79.7,82.17,4418500
2015-07-24,82.11,82.43,80.6,81.04,3113400
2015-07-31,80.79,83.33,79.37,82.94,3437000
2015-08-07,82.75,83.82,78.61,81.57,4915100
2015-08-14,82.75,84.78,81.67,82.87,4870300
2015-08-21,82.27,83.22,78.26,78.42,3736500
2015-08-28,74.03,77.76,72.49,77.54,5924400
2015-09-04,77.11,77.45,73.68,73.96,4734200
2015-09-11,75.78,77.64,73.5,74.09,4832500
2015-09-18,74.03,75.55,70.25,73.17,4330900
2015-09-25,73.44,74.24,71.2,72.22,4934700
2015-10-02,71.66,74.03,70.1,73.96,5121100
2015-10-09,74.54,75.8,73.72,75.73,3718800
2015-10-16,76.49,77.89,75.27,76.58,4476800
2015-10-23,76.14,77.04,74.88,76.49,3447400
2015-10-30,76.61,80.1,74.37,79.13,4668500
2015-11-06,79.3,82.23,77.0,79.58,5601700
2015-11-13,78.8,79.95,77.75,78.23,4364300
2015-11-20,78.2,83.95,77.94,82.78,4688900
2015-11-27,82.93,83.67,82.02,83.1,2180600
2015-12-04,83.38,84.91,82.45,84.27,4545000
2015-12-11,83.97,84.55,81.64,82.39,5095400
2015-12-18,82.57,84.6,81.65,82.71,5448200
2015-12-25,83.29,89.78,83.07,89.48,3981600
2016-01-01,88.95,89.0,86.51,86.9,2844600
2016-01-08,86.4,89.25,85.52,85.84,8639200
2016-01-15,86.6,89.35,82.25,84.25,7859700
2016-01-22,84.99,85.46,81.57,84.06,5617900
2016-01-29,83.9,87.11,83.41,86.97,6011900
2016-02-05,86.08,87.14,74.92,75.68,14123200
2016-02-12,74.8,75.27,70.97,72.06,6652000
2016-02-19,73.05,76.1,72.53,75.18,3734600
2016-02-26,75.81,76.97,74.48,76.54,4319900
2016-03-04,77.46,81.89,77.43,81.15,5913500
2016-03-11,80.55,81.13,77.18,80.42,5567200
2016-03-18,80.0,80.54,76.73,78.9,5483600
2016-03-25,78.53,80.32,77.8,78.16,3830300
2016-04-01,78.41,79.1,75.57,77.8,5525300
