Date,Open,High,Low,Close,Volume
2015-03-27,79.6,80.14,75.85,78.03,11541100
2015-04-03,77.66,81.12,76.64,79.78,8161500
2015-04-10,79.91,80.91,77.87,78.86,8717400
2015-04-17,78.92,79.42,76.3,76.8,8246100
2015-04-24,76.58,79.98,76.34,77.29,10009900
2015-05-01,77.48,78.01,74.06,77.84,12193100
2015-05-08,77.19,78.25,74.02,78.0,7642000
2015-05-15,78.0,78.0,74.5,75.86,9150000
2015-05-22,74.59,77.47,74.59,75.18,10605900
2015-05-29,74.75,76.98,74.34,75.83,9445700
2015-06-05,75.75,76.13,68.97,71.61,20178500
2015-06-12,71.4,72.75,69.82,71.4,11149000
2015-06-19,70.5,71.82,69.65,70.11,9904500
2015-06-26,70.64,74.48,69.25,70.24,19517000
2015-07-03,69.78,70.23,67.38,68.77,11533700
2015-07-10,67.89,68.74,63.21,65.64,17834400
2015-07-17,65.75,69.0,65.13,66.01,12163600
2015-07-24,65.75,68.4,62.6,64.05,17915900
2015-07-31,62.53,70.39,61.31,68.97,22624400
2015-08-07,69.5,70.98,62.86,68.45,25571000
2015-08-14,69.31,71.11,66.76,68.44,14396800
2015-08-21,68.03,68.94,60.0,61.93,17618100
2015-08-28,57.11,64.45,54.5,63.48,21452000
2015-09-04,63.14,63.8,55.93,56.1,14837600
2015-09-11,56.98,57.46,50.6,52.77,34247600
2015-09-18,52.65,56.4,51.76,53.71,16937400
2015-09-25,53.62,53.93,46.23,48.5,29285600
2015-10-02,48.18,50.87,46.29,50.5,23172400
2015-10-09,50.5,54.95,50.2,53.04,15056400
2015-10-16,52.75,53.0,47.46,47.89,14167000
2015-10-23,47.23,48.71,44.6,46.43,11931500
2015-10-30,46.13,50.33,44.25,49.52,17881100
2015-11-06,49.28,49.52,43.96,46.4,17623400
2015-11-13,46.69,47.19,44.12,46.12,12650100
2015-11-20,46.31,51.96,46.16,50.24,15348000
2015-11-27,50.46,50.77,47.0,47.6,8218200
2015-12-04,47.67,48.33,43.64,44.52,17668000
2015-12-11,43.12,44.21,38.71,41.29,25357800
2015-12-18,42.23,42.93,35.55,36.04,30286600
2015-12-25,36.0,39.99,35.09,38.85,12136700
2016-01-01,38.11,38.64,36.21,37.25,7826900
2016-01-08,37.01,39.0,34.16,35.01,12641500
2016-01-15,35.38,36.0,30.62,32.0,22731000
2016-01-22,32.0,32.93,26.77,31.62,18320200
2016-01-29,30.72,31.42,28.0,30.05,16444200
2016-02-05,29.33,29.94,23.98,25.03,27649200
2016-02-12,24.04,26.3,22.8,26.05,26558000
2016-02-19,26.97,30.47,25.91,29.37,18152700
2016-02-26,30.15,37.57,29.58,35.67,28728200
2016-03-04,36.3,38.73,33.87,38.04,26469100
2016-03-11,38.0,38.84,34.51,36.98,20245100
2016-03-18,36.3,38.12,35.1,35.65,14680800
2016-03-25,35.43,36.51,33.52,34.12,9909600
2016-04-01,34.05,34.84,31.76,33.77,10354600
2016-04-08,33.72,35.44,32.77,34.87,8944700
2016-04-15,35.09,39.31,34.91,37.13,14760400
2016-04-22,35.66,38.28,35.1,37.4,14495300
2016-04-29,37.57,39.75,36.32,38.88,11307100
2016-05-06,39.26,39.4,33.23,33.82,11531500
2016-05-13,33.51,35.58,31.71,33.99,14553300
2016-05-20,34.4,35.95,32.03,33.85,12228100
2016-05-27,33.35,34.49,32.3,32.77,6686900
2016-06-03,33.13,34.5,31.02,33.36,8335800
2016-06-10,33.67,38.15,33.13,34.22,12411400
2016-06-17,33.73,34.61,31.85,34.51,11525300
2016-06-24,34.86,37.73,34.37,34.8,19902300
2016-07-01,34.01,39.0,33.38,38.65,14756700
