Date,Open,High,Low,Close,Volume
2015-04-03,73.85,75.37,73.7,74.84,17759500
2015-04-10,74.23,75.64,73.29,74.9,18891500
2015-04-17,75.0,75.24,72.47,72.55,19610200
2015-04-24,72.89,73.9,72.55,73.16,17381600
2015-05-01,73.57,73.57,67.6,70.7,35219500
2015-05-08,70.89,73.93,69.94,73.26,22957000
2015-05-15,73.03,73.93,72.02,73.09,21630600
2015-05-22,73.22,73.75,68.11,69.54,43351700
2015-05-29,69.52,71.17,69.19,69.98,19027000
2015-06-05,69.96,71.08,69.7,69.79,21252200
2015-06-12,69.7,70.15,67.77,69.03,22386700
2015-06-19,68.86,70.7,68.48,69.99,28205400
2015-06-26,70.49,70.99,68.48,68.61,23926900
2015-07-03,68.3,69.09,66.41,66.7,27309900
2015-07-10,66.33,68.27,65.83,67.85,31585200
2015-07-17,68.4,68.67,67.05,67.53,24928800
2015-07-24,66.5,68.16,66.0,67.18,23426400
2015-07-31,67.04,69.8,66.66,69.36,20909700
2015-08-07,69.17,70.21,68.32,69.53,20775400
2015-08-14,69.98,72.28,68.07,72.11,30663200
2015-08-21,71.87,74.78,71.01,71.11,43002500
2015-08-28,67.61,70.19,64.22,68.45,37812900
2015-09-04,68.5,69.94,67.28,67.8,24997200
2015-09-11,68.51,69.9,67.58,68.63,16153100
2015-09-18,68.6,71.59,67.98,68.19,25377800
2015-09-25,68.39,70.03,67.48,68.69,19402000
2015-10-02,68.44,70.26,66.22,70.23,24473900
2015-10-09,70.85,73.45,70.65,73.33,21797700
2015-10-16,73.19,73.98,71.56,72.78,17815400
2015-10-23,72.37,73.93,72.16,73.55,17535100
2015-10-30,73.62,74.57,72.8,73.83,18633100
2015-11-06,73.9,74.29,72.65,73.14,20088000
2015-11-13,72.99,73.75,69.93,70.09,25227200
2015-11-20,69.86,76.02,69.75,75.77,39250500
2015-11-27,75.78,78.13,75.78,77.34,18232900
2015-12-04,77.39,77.47,74.88,76.76,26944200
2015-12-11,76.46,77.63,74.77,75.01,16966100
2015-12-18,75.26,76.76,73.87,73.89,25508000
2015-12-25,74.5,76.64,74.04,76.28,11863900
2016-01-01,75.99,77.67,75.86,76.04,10118800
2016-01-08,74.69,76.47,70.68,70.88,28787000
