Date,Open,High,Low,Close,Volume
2015-04-03,44.89,45.31,42.66,43.97,5519500
2015-04-10,43.79,44.34,39.59,40.73,13760700
2015-04-17,40.79,43.45,39.41,40.34,14500900
2015-04-24,40.67,41.21,40.28,40.47,3811600
2015-05-01,40.91,41.44,39.89,40.35,8829800
2015-05-08,40.37,41.09,40.12,40.85,4884600
2015-05-15,40.71,41.88,40.23,41.42,4756200
2015-05-22,41.43,43.13,41.31,42.67,4940800
2015-05-29,42.64,43.06,42.3,42.64,4317300
2015-06-05,42.65,45.91,42.28,45.62,9179800
2015-06-12,45.61,48.0,45.03,46.86,6896200
2015-06-19,46.51,47.78,46.04,47.3,6486000
2015-06-26,47.5,47.88,46.44,47.76,5053700
2015-07-03,47.22,47.29,45.77,46.72,3015600
2015-07-10,46.28,46.69,44.12,45.4,3170900
2015-07-17,45.9,47.52,45.32,47.45,3306600
2015-07-24,47.49,47.67,46.12,46.59,2643300
2015-07-31,46.42,47.37,45.43,47.15,4080900
2015-08-07,47.08,48.18,42.65,43.23,8053800
2015-08-14,43.37,43.91,41.74,42.83,2843900
2015-08-21,42.55,43.68,40.86,40.94,3708400
2015-08-28,38.73,40.68,37.72,40.34,6308100
2015-09-04,40.27,40.47,38.89,39.21,5095100
2015-09-11,39.85,40.6,39.23,39.75,1931000
2015-09-18,39.75,41.28,38.84,38.99,4023000
2015-09-25,39.29,43.45,38.97,41.12,9784100
2015-10-02,40.52,40.59,36.41,38.56,7465000
2015-10-09,38.95,39.29,37.0,38.11,6094200
2015-10-16,37.95,38.79,37.41,38.63,2870000
2015-10-23,38.35,41.02,38.18,40.91,3683900
2015-10-30,40.82,44.32,40.15,42.6,6072200
2015-11-06,42.67,46.01,42.67,44.72,4584300
2015-11-13,44.72,45.27,43.36,43.6,2008900
2015-11-20,43.4,45.05,42.06,44.58,2430800
2015-11-27,44.61,46.01,44.35,45.6,1805000
2015-12-04,45.82,48.0,44.47,46.47,4628700
2015-12-11,46.25,46.93,41.41,42.49,4348300
