Date,Open,High,Low,Close,Volume
2015-03-27,6.85,6.93,6.24,6.59,6506300
2015-04-03,6.62,6.62,6.19,6.29,3757900
2015-04-10,6.23,6.5,6.2,6.5,9599700
2015-04-17,6.53,6.58,6.29,6.35,3931900
2015-04-24,6.38,6.48,6.03,6.06,3063200
2015-05-01,6.04,6.32,5.9,6.12,3845100
2015-05-08,6.11,6.45,5.97,6.27,9626200
2015-05-15,6.24,6.29,6.03,6.11,4254500
2015-05-22,6.1,6.32,5.96,6.06,5012400
2015-05-29,6.02,6.32,5.95,6.26,4503400
2015-06-05,6.26,6.84,6.15,6.42,10685400
2015-06-12,6.43,6.99,6.19,6.39,7807200
2015-06-19,6.34,6.45,6.24,6.38,3591700
2015-06-26,6.41,6.46,6.06,6.09,7228500
2015-07-03,6.09,6.14,5.76,6.09,5008600
2015-07-10,6.03,6.1,5.82,5.89,4237700
2015-07-17,5.91,6.05,5.86,5.89,2739900
2015-07-24,5.88,5.9,4.98,5.0,5174500
2015-07-31,4.95,5.1,4.51,4.92,10128100
2015-08-07,4.89,4.89,4.01,4.13,10925100
2015-08-14,4.16,4.31,3.98,4.05,4203500
2015-08-21,4.07,4.1,3.65,3.87,5696100
2015-08-28,3.25,4.36,3.25,4.25,9004300
2015-09-04,4.2,4.33,4.01,4.09,6129500
2015-09-11,4.15,4.42,4.1,4.14,2977600
2015-09-18,4.14,4.22,4.01,4.11,4874900
2015-09-25,4.16,4.48,3.91,4.0,6736000
2015-10-02,3.96,4.04,3.57,3.73,13015400
2015-10-09,3.74,3.98,3.68,3.91,8738000
2015-10-16,3.99,4.78,3.97,4.51,23553400
2015-10-23,4.55,4.88,4.3,4.63,15014700
2015-10-30,4.75,4.87,4.37,4.58,11837300
2015-11-06,4.55,4.99,4.5,4.98,9398500
2015-11-13,5.07,5.2,4.86,4.88,10483300
2015-11-20,4.85,5.95,4.75,5.77,21111300
2015-11-27,5.77,6.1,5.51,5.98,11970100
2015-12-04,6.02,6.45,5.97,6.09,15953400
2015-12-11,6.07,6.33,5.62,5.98,15659600
2015-12-18,6.03,6.19,5.78,6.03,10273500
2015-12-25,6.1,6.27,5.91,6.12,4891100
2016-01-01,6.08,7.07,6.01,6.47,15278800
2016-01-08,6.4,6.4,5.26,5.45,17109300
2016-01-15,5.46,5.53,4.33,4.36,18589600
2016-01-22,4.43,5.2,4.02,5.08,12818400
2016-01-29,5.07,5.13,4.33,4.86,9885100
2016-02-05,4.69,4.91,4.3,4.59,6799900
2016-02-12,4.52,4.76,4.18,4.42,7970000
2016-02-19,4.51,5.89,4.5,5.62,18776700
2016-02-26,5.95,6.67,5.49,6.1,27331700
2016-03-04,6.47,6.49,5.27,5.79,26322000
2016-03-11,5.67,5.97,5.52,5.94,11552600
2016-03-18,5.91,6.26,5.82,6.25,7138600
2016-03-25,6.22,6.34,5.82,5.93,6726300
2016-04-01,5.97,6.04,5.5,5.59,8703900
2016-04-08,5.59,5.62,5.16,5.37,7505100
2016-04-15,5.41,6.47,5.14,5.65,16964600
2016-04-22,5.65,5.85,5.54,5.74,5285400
2016-04-29,5.73,5.8,5.45,5.57,10455200
2016-05-06,5.57,5.68,5.28,5.31,6966300
2016-05-13,5.42,5.86,4.98,5.28,9793000
2016-05-20,5.25,5.48,5.06,5.33,6875200
2016-05-27,5.35,5.76,5.33,5.73,4868400
2016-06-03,5.75,5.96,5.72,5.92,5432600
2016-06-10,5.93,6.02,5.64,5.68,5315000
2016-06-17,5.63,5.82,5.44,5.81,5668900
2016-06-24,5.87,5.9,5.33,5.41,6339200
2016-07-01,5.41,5.49,4.89,5.41,5120900
2016-07-08,5.39,5.66,5.21,5.64,2998000
2016-07-15,5.66,5.99,5.65,5.92,4308200
2016-07-22,5.95,6.28,5.81,6.08,6323800
2016-07-29,6.09,6.3,5.95,6.01,6049800
2016-08-05,6.03,6.19,5.86,6.11,5379000
2016-08-12,6.14,6.29,5.63,5.77,9140900
2016-08-19,5.78,6.18,5.75,6.1,5142700
2016-08-26,6.12,6.28,6.07,6.16,5455200
2016-09-02,6.19,6.28,6.05,6.19,5865400
2016-09-09,6.19,6.35,5.89,5.98,4456500
2016-09-16,5.86,6.69,5.8,6.43,10081300
2016-09-23,6.5,6.59,6.09,6.45,7930400
2016-09-30,6.42,6.62,6.29,6.49,9380400
2016-10-07,6.45,6.55,6.05,6.5,8165200
2016-10-14,6.52,6.6,5.91,6.01,6188500
2016-10-21,6.0,6.56,6.0,6.43,6598000
2016-10-28,6.52,6.65,6.06,6.06,4366000
2016-11-04,6.1,7.77,6.02,7.75,43814700
2016-11-11,7.81,7.99,7.6,7.72,20403100
2016-11-18,7.74,7.85,7.46,7.54,14813800
2016-11-25,7.7,7.7,7.2,7.25,10579600
2016-12-02,7.2,7.27,6.8,6.94,12706800
2016-12-09,6.91,7.1,6.72,7.02,8359900
2016-12-16,6.98,7.18,6.92,7.11,5493400
2016-12-23,7.13,7.32,7.03,7.24,2621700
2016-12-30,7.25,7.36,7.19,7.36,2637600
2017-01-06,7.39,7.42,7.18,7.2,2946000
2017-01-13,7.17,7.33,7.11,7.24,3386700
2017-01-20,7.21,7.26,7.1,7.12,3258700
2017-01-27,7.1,7.32,6.93,7.28,7114600
2017-02-03,7.25,7.35,7.11,7.35,2882900
2017-02-10,7.2,7.21,6.81,6.85,9499900
2017-02-17,6.9,7.04,6.76,6.89,3700200
2017-02-24,6.86,7.04,6.86,6.99,2284500
2017-03-03,6.99,7.18,6.96,7.07,4721200
2017-03-10,7.07,7.09,6.78,6.95,4185400
2017-03-17,6.95,7.08,6.92,7.05,4832400
2017-03-24,7.05,7.55,6.95,7.04,3610000
2017-03-31,7.03,7.05,6.85,6.92,3518300
2017-04-07,6.94,7.01,6.85,6.9,3401300
2017-04-14,6.91,6.96,6.76,6.78,2138900
2017-04-21,6.81,6.87,6.66,6.85,2816600
2017-04-28,6.92,6.96,6.78,6.86,2275700
2017-05-05,6.82,6.89,6.66,6.69,1778200
2017-05-12,6.69,7.09,6.6,6.9,4526800
2017-05-19,6.9,7.08,6.85,6.99,4535600
2017-05-26,6.98,7.08,6.92,7.0,2438500
2017-06-02,6.94,7.03,6.93,7.03,1998500
2017-06-09,7.04,7.1,6.71,6.86,3617300
2017-06-16,6.81,6.98,6.66,6.67,2963600
2017-06-23,6.7,6.79,6.51,6.65,1742100
2017-06-30,6.66,6.77,6.57,6.66,1526300
2017-07-07,6.7,6.77,6.55,6.57,1938700
2017-07-14,6.56,6.75,6.51,6.74,2680100
2017-07-21,6.73,6.81,6.68,6.72,2064800
2017-07-28,6.72,6.97,6.71,6.84,3467600
2017-08-04,6.85,7.03,6.62,6.63,2831900
2017-08-11,6.64,6.79,5.89,6.03,3128700
2017-08-18,6.06,6.06,5.68,5.82,4226200
2017-08-25,5.85,5.85,5.59,5.69,1690400
2017-09-01,5.7,5.94,5.51,5.67,2305600
2017-09-08,5.66,5.8,5.59,5.63,1282300
2017-09-15,5.63,5.89,5.4,5.46,6558100
2017-09-22,5.48,5.53,5.16,5.25,7041100
2017-09-29,5.24,5.37,5.05,5.21,4324700
2017-10-06,5.25,5.61,5.14,5.42,6651600
