Date,Open,High,Low,Close,Volume
2015-03-27,54.98,55.38,47.18,51.3,2900800
2015-04-03,51.36,52.23,49.26,51.58,1276800
2015-04-10,51.23,53.26,51.06,52.43,1087000
2015-04-17,52.66,53.89,50.9,51.51,1360200
2015-04-24,52.52,59.98,52.04,54.9,4114400
2015-05-01,55.21,56.64,52.07,53.18,2816300
2015-05-08,53.29,54.44,51.26,52.95,1825000
2015-05-15,52.96,54.59,51.65,53.51,1671300
2015-05-22,53.5,56.19,53.04,55.06,2283200
2015-05-29,54.9,56.0,53.5,54.85,1635200
2015-06-05,55.34,57.44,53.82,57.1,2141600
2015-06-12,57.05,58.11,56.07,57.74,13369000
2015-06-19,57.43,61.25,56.66,60.36,3272400
2015-06-26,60.9,61.63,59.83,60.35,3148800
2015-07-03,59.42,61.14,59.01,59.84,1988800
2015-07-10,59.27,61.38,57.58,60.92,2561800
2015-07-17,61.43,62.57,61.11,61.79,2373200
2015-07-24,62.2,69.81,61.21,65.99,3867600
2015-07-31,65.28,66.06,63.54,64.82,2545500
2015-08-07,64.88,67.15,63.15,64.36,2173600
2015-08-14,64.74,66.11,62.1,65.39,2216500
2015-08-21,65.34,67.94,59.71,59.91,2770400
2015-08-28,56.12,60.68,50.42,59.51,3652900
2015-09-04,59.03,60.08,56.51,58.25,2280800
2015-09-11,59.2,61.5,58.75,61.48,1283300
2015-09-18,61.75,63.78,61.1,62.08,1889000
2015-09-25,62.72,65.53,60.9,64.04,2633800
2015-10-02,63.97,64.53,60.13,63.0,3311400
2015-10-09,63.54,65.09,61.99,64.14,1858500
2015-10-16,64.42,67.79,63.92,67.56,2153200
2015-10-23,67.49,74.6,64.9,74.49,5400100
2015-10-30,74.49,74.85,71.82,72.85,2520300
2015-11-06,73.42,76.49,72.7,76.4,2545600
2015-11-13,76.21,76.49,71.16,71.39,2384000
2015-11-20,71.04,74.28,70.4,73.72,2030600
2015-11-27,73.55,76.24,72.21,76.02,1556800
2015-12-04,76.46,77.56,74.31,76.96,2267600
2015-12-11,76.98,77.75,69.85,70.34,2520100
2015-12-18,70.37,73.96,70.08,70.21,2528300
2015-12-25,70.6,71.55,67.87,69.29,1551400
2016-01-01,69.21,70.06,66.14,66.17,2040300
2016-01-08,64.73,65.46,56.25,56.37,4757600
2016-01-15,56.57,57.62,53.65,55.05,4191600
2016-01-22,55.52,58.89,52.8,58.07,3633100
2016-01-29,57.58,57.74,54.99,57.65,3413200
2016-02-05,57.38,59.49,47.74,48.53,6293400
2016-02-12,46.66,49.8,44.14,49.53,5698700
2016-02-19,50.12,54.9,50.12,54.24,3998800
2016-02-26,54.64,56.25,52.88,55.7,3203800
2016-03-04,55.5,59.89,55.21,58.42,3393500
2016-03-11,58.13,58.65,55.18,57.97,2812100
2016-03-18,57.66,58.17,56.1,57.38,2530800
2016-03-25,57.16,57.19,53.7,54.89,2232400
2016-04-01,54.73,57.8,52.05,56.95,4025100
2016-04-08,57.19,57.66,54.9,55.96,2953600
2016-04-15,56.31,57.62,54.16,57.31,2203700
2016-04-22,57.25,68.57,57.0,66.12,6195900
2016-04-29,66.37,66.94,59.88,60.54,3613000
2016-05-06,60.95,61.78,57.74,58.59,2677400
2016-05-13,58.39,61.47,58.09,60.98,2958300
2016-05-20,61.35,63.07,60.08,63.06,2896300
2016-05-27,63.39,66.07,62.82,65.76,3113600
2016-06-03,65.79,67.23,65.51,66.87,1777300
2016-06-10,66.86,68.53,65.79,66.11,2324400
2016-06-17,65.78,66.99,63.93,64.44,2986100
2016-06-24,65.08,66.18,61.08,62.13,9996500
2016-07-01,61.8,64.82,59.79,64.34,4116100
2016-07-08,63.84,67.88,63.12,67.29,2639800
2016-07-15,67.55,67.77,61.86,63.29,5838200
2016-07-22,63.29,68.0,58.6,59.95,8298700
2016-07-29,60.03,60.17,57.4,58.05,3544700
2016-08-05,58.51,59.66,56.88,58.99,3146100
2016-08-12,59.12,59.47,57.41,59.28,2214100
2016-08-19,59.28,61.06,58.67,60.94,2725200
2016-08-26,60.71,61.05,59.34,59.73,1586900
2016-09-02,59.93,62.14,59.53,61.73,1739800
2016-09-09,62.08,62.13,58.78,58.79,1513600
2016-09-16,58.42,59.49,56.79,58.67,2322700
2016-09-23,59.04,59.76,57.2,57.72,3020700
2016-09-30,57.31,59.47,56.9,57.62,2802500
2016-10-07,57.25,57.87,55.71,57.37,3256900
