Date,Open,High,Low,Close,Volume
2015-03-27,86.8,95.9,78.4,80.5,192603
2015-04-03,80.85,82.95,64.75,69.3,506374
2015-04-10,69.65,87.15,69.3,83.65,332004
2015-04-17,85.75,110.95,84.7,102.55,407815
2015-04-24,103.95,107.8,92.4,94.15,267570
2015-05-01,95.55,96.95,77.7,83.65,289359
2015-05-08,83.3,91.35,77.0,79.45,176134
2015-05-15,79.8,82.6,77.7,81.55,106352
2015-05-22,81.9,82.6,77.0,79.45,115475
2015-05-29,79.8,80.85,73.85,74.9,147737
2015-06-05,76.3,86.1,72.8,84.0,157971
2015-06-12,82.95,92.05,81.9,85.4,311374
2015-06-19,83.65,86.45,79.45,86.1,114220
2015-06-26,86.1,92.75,79.1,80.5,182529
2015-07-03,78.75,80.15,74.55,76.3,142086
2015-07-10,75.95,82.95,74.2,75.6,183132
2015-07-17,75.6,79.45,74.9,77.35,235468
2015-07-24,77.0,77.7,72.1,72.8,150114
2015-07-31,72.45,77.35,70.0,74.2,131189
2015-08-07,73.15,76.3,67.55,69.65,140736
2015-08-14,69.3,78.05,69.3,73.15,159288
2015-08-21,73.5,75.25,66.5,67.9,126643
2015-08-28,63.0,72.1,61.25,72.1,149122
2015-09-04,70.7,74.9,68.25,71.05,91857
2015-09-11,72.1,74.9,70.0,71.05,54503
2015-09-18,71.05,75.6,68.95,74.2,104802
2015-09-25,74.9,76.3,64.4,64.4,168299
2015-10-02,64.75,66.85,54.95,61.6,154669
2015-10-09,63.0,71.05,60.9,68.95,89560
2015-10-16,67.9,72.8,64.4,69.3,74803
2015-10-23,68.95,72.8,19.25,23.45,1172217
2015-10-30,23.8,24.5,21.0,23.45,216579
2015-11-06,23.1,24.5,21.7,22.75,167109
2015-11-13,22.75,22.75,14.35,15.05,376532
2015-11-20,15.05,18.9,14.0,15.4,277565
2015-11-27,15.4,17.85,14.7,15.75,271471
2015-12-04,14.7,16.8,14.0,14.35,283234
2015-12-11,14.35,14.35,12.25,12.6,237588
2015-12-18,12.25,12.95,10.15,10.85,358877
2015-12-25,11.55,12.6,10.5,12.6,149646
2016-01-01,12.25,14.0,11.55,12.25,385323
2016-01-08,11.55,12.6,9.45,9.45,172926
2016-01-15,9.8,10.5,7.35,8.05,177523
2016-01-22,8.05,8.75,7.0,8.4,150062
2016-01-29,9.1,9.1,7.7,8.4,139308
2016-02-05,8.05,8.75,7.0,7.0,115566
2016-02-12,7.0,7.35,5.25,6.65,139769
2016-02-19,7.0,9.1,6.65,8.05,150594
2016-02-26,8.4,8.4,7.0,8.05,87652
2016-03-04,8.05,9.8,7.35,8.75,243597
2016-03-11,9.45,9.45,8.05,8.75,92114
2016-03-18,8.75,11.2,7.7,8.05,424951
2016-03-25,8.05,10.15,8.05,8.4,135235
2016-04-01,8.4,9.45,8.05,8.75,55452
2016-04-08,9.1,9.1,8.05,8.4,57625
2016-04-15,8.4,15.75,8.05,13.3,588068
2016-04-22,13.65,13.65,10.85,12.95,167018
2016-04-29,13.3,15.75,12.6,14.0,173765
2016-05-06,15.05,15.05,13.3,14.0,79787
2016-05-13,14.0,15.75,12.6,14.35,93832
2016-05-20,14.7,15.05,12.25,12.95,46627
2016-05-27,12.95,13.65,12.25,12.6,34569
2016-06-03,12.95,13.3,12.25,12.95,60246
2016-06-10,12.6,13.3,12.25,12.25,51861
2016-06-17,12.25,12.95,10.5,11.9,83903
2016-06-24,11.9,12.25,10.5,10.85,308395
2016-07-01,10.85,12.25,8.75,10.15,97261
2016-07-08,9.8,10.5,9.1,9.8,28501
2016-07-15,9.8,10.5,9.1,9.45,40572
2016-07-22,9.45,14.0,8.75,11.9,308154
2016-07-29,8.35,11.79,7.17,7.5,395600
2016-08-05,7.35,8.11,6.6,7.59,178200
2016-08-12,7.41,7.99,7.27,7.53,70700
2016-08-19,7.51,9.44,7.46,9.27,152300
2016-08-26,8.74,9.62,8.74,9.41,106600
2016-09-02,9.71,11.95,9.63,11.87,91700
2016-09-09,11.86,11.86,10.68,11.07,68800
2016-09-16,11.03,11.03,9.85,9.85,73000
2016-09-23,10.49,11.75,9.87,11.65,56300
2016-09-30,11.4,12.93,11.25,12.68,72400
2016-10-07,12.6,16.92,12.6,16.92,207200
2016-10-14,16.67,17.89,15.59,16.32,122300
2016-10-21,16.21,17.0,14.5,17.0,118200
2016-10-28,17.75,18.24,16.55,16.84,479900
2016-11-04,16.84,16.84,14.85,15.49,36800
2016-11-11,15.6,16.5,14.72,16.14,66400
2016-11-18,16.5,17.22,16.2,16.52,50500
