Date,Open,High,Low,Close,Volume
2015-03-27,3.75,3.8,3.65,3.69,1245700
2015-04-03,3.63,3.64,3.53,3.62,1324600
2015-04-10,3.59,3.64,3.54,3.57,1793900
2015-04-17,3.56,3.74,3.53,3.72,1795000
2015-04-24,3.77,3.9,3.74,3.89,991000
2015-05-01,3.88,3.9,3.77,3.81,876600
2015-05-08,3.8,3.99,3.74,3.93,2455300
2015-05-15,3.9,4.03,3.86,4.03,2279400
2015-05-22,4.08,4.15,4.08,4.12,1327600
2015-05-29,4.1,4.41,4.05,4.39,1310200
2015-06-05,4.51,4.51,4.22,4.26,938900
2015-06-12,4.24,4.3,4.17,4.26,2254100
2015-06-19,4.24,4.3,4.12,4.14,2320800
2015-06-26,4.23,4.47,4.21,4.45,6459600
2015-07-03,4.32,4.36,4.28,4.3,4771500
2015-07-10,4.29,4.34,4.08,4.27,2152800
2015-07-17,4.29,4.35,4.28,4.32,1593500
2015-07-24,4.32,4.35,4.21,4.22,1389500
2015-07-31,4.24,4.5,4.19,4.47,5298700
2015-08-07,4.22,4.28,4.2,4.26,921900
2015-08-14,4.29,4.3,4.1,4.12,3173700
2015-08-21,4.11,4.2,3.89,3.9,1681700
2015-08-28,3.64,4.15,3.41,4.1,4250300
2015-09-04,4.07,4.09,3.83,3.84,2654300
2015-09-11,3.88,4.03,3.84,3.95,2628600
2015-09-18,3.89,4.01,3.81,3.83,2564400
2015-09-25,3.83,3.94,3.7,3.88,2814900
2015-10-02,3.84,3.84,3.66,3.83,4393700
2015-10-09,3.85,3.99,3.85,3.93,2212400
2015-10-16,3.94,4.0,3.81,3.97,1900400
2015-10-23,3.92,4.14,3.91,4.12,2126800
2015-10-30,4.11,4.14,4.05,4.09,890200
2015-11-06,4.05,4.1,4.03,4.08,832500
2015-11-13,4.11,4.22,4.08,4.19,24183200
2015-11-20,4.2,4.27,4.19,4.25,2365400
2015-11-27,4.26,4.26,4.06,4.08,2961500
2015-12-04,4.05,4.13,4.01,4.06,1417100
2015-12-11,4.04,4.05,3.92,3.94,2435100
2015-12-18,3.98,4.15,3.93,4.01,1891500
2015-12-25,4.0,4.1,3.98,4.08,881200
2016-01-01,4.02,4.11,4.0,4.04,543500
2016-01-08,3.97,4.05,3.85,3.85,1338100
2016-01-15,3.87,3.89,3.68,3.71,2101000
2016-01-22,3.65,3.66,3.43,3.58,1672200
2016-01-29,3.52,3.61,3.24,3.29,2247500
2016-02-05,3.29,3.29,3.0,3.03,5426700
2016-02-12,3.0,3.01,2.72,2.82,4931000
2016-02-19,2.87,3.02,2.87,2.94,7720100
2016-02-26,2.94,3.03,2.8,2.96,4459000
2016-03-04,2.95,3.23,2.9,3.22,3609000
2016-03-11,3.13,3.24,3.06,3.21,2204800
2016-03-18,3.23,3.24,3.07,3.18,2889200
2016-03-25,3.19,3.21,2.96,2.98,2888300
2016-04-01,3.01,3.04,2.83,2.88,1784600
2016-04-08,2.86,2.87,2.69,2.84,20901400
