Date,Open,High,Low,Close,Volume
2015-03-20,51.88,53.72,51.84,53.1,6641200
2015-03-27,53.04,54.06,51.61,52.07,6350800
2015-04-03,52.14,54.95,52.02,53.64,6109200
2015-04-10,53.67,54.77,53.33,54.31,4366200
2015-04-17,54.37,55.21,53.24,53.63,4763200
2015-04-24,53.82,54.4,52.24,52.36,5374200
2015-05-01,52.62,52.95,50.33,51.23,5083700
2015-05-08,51.48,56.91,50.86,56.77,10630400
2015-05-15,56.66,57.02,55.28,55.65,6617700
2015-05-22,55.84,57.96,54.83,57.81,7991600
2015-05-29,56.99,58.24,56.74,57.51,7033800
2015-06-05,57.64,59.29,57.29,58.01,9841400
2015-06-12,57.9,59.42,57.33,58.36,7283400
2015-06-19,57.82,58.33,56.7,57.24,6946200
2015-06-26,57.65,58.34,57.29,57.99,6256400
2015-07-03,57.37,57.49,55.55,57.12,6792400
2015-07-10,56.09,57.48,54.73,55.32,10472600
2015-07-17,55.79,57.62,52.75,54.09,15569500
2015-07-24,54.36,54.58,53.46,53.81,7592300
2015-07-31,53.71,54.91,52.77,54.36,6384900
2015-08-07,54.7,56.0,53.66,54.36,8625900
2015-08-14,55.03,55.52,51.43,52.45,7377900
2015-08-21,52.36,53.82,48.57,48.6,6806300
2015-08-28,42.77,50.26,42.77,49.23,9445900
2015-09-04,48.94,49.63,46.95,47.24,7154800
2015-09-11,48.16,49.78,47.82,49.78,5185600
2015-09-18,49.68,51.6,48.63,49.88,5938300
2015-09-25,49.7,49.93,43.39,47.15,15740500
2015-10-02,46.54,48.8,45.09,48.61,8403900
2015-10-09,49.11,50.83,48.3,50.62,8028700
2015-10-16,50.75,51.15,49.48,50.23,4544400
2015-10-23,49.88,53.6,49.7,53.25,6289500
2015-10-30,53.46,53.89,52.35,52.73,5533400
2015-11-06,52.71,53.56,45.15,48.25,16483900
2015-11-13,48.34,48.34,43.32,43.4,12577100
2015-11-20,43.31,45.44,42.81,44.94,10039200
2015-11-27,44.75,45.19,43.45,44.82,7173100
2015-12-04,44.87,46.42,44.14,44.83,11241300
2015-12-11,44.51,44.55,41.51,41.53,9864600
