Date,Open,High,Low,Close,Volume
2015-04-03,21.42,21.67,20.59,21.34,43918000
2015-04-10,21.14,22.65,20.73,22.55,58799800
2015-04-17,22.3,22.41,21.22,21.43,39153900
2015-04-24,22.01,22.41,21.43,22.0,39232100
2015-05-01,22.19,22.43,20.88,21.4,56802900
2015-05-08,20.91,21.62,19.36,19.93,93780000
2015-05-15,19.94,19.99,19.03,19.47,50989600
2015-05-22,19.41,20.59,19.32,20.51,43999400
2015-05-29,20.31,20.36,19.74,20.05,31971400
2015-06-05,19.96,20.58,19.5,20.28,40563400
2015-06-12,19.67,19.83,19.15,19.43,37279600
2015-06-19,19.25,19.65,19.03,19.5,45737600
2015-06-26,19.61,19.68,18.16,18.38,44869700
2015-07-03,18.06,18.96,17.5,18.55,40658500
2015-07-10,18.3,19.24,17.49,18.15,67873100
2015-07-17,18.74,19.24,18.33,18.45,41895700
2015-07-24,18.5,19.07,18.09,18.11,40433600
2015-07-31,17.82,19.79,16.84,19.62,50558100
2015-08-07,19.59,22.76,19.5,22.2,89020100
2015-08-14,22.49,22.77,21.3,22.48,49829500
2015-08-21,22.47,22.75,20.42,20.59,33119000
2015-08-28,18.12,20.84,17.08,20.84,41264100
2015-09-04,20.57,20.99,19.71,20.48,28233400
2015-09-11,21.08,22.05,20.37,20.96,27577100
2015-09-18,20.88,21.4,20.5,20.66,31493300
2015-09-25,20.66,20.87,19.05,19.76,30374800
2015-10-02,19.56,19.91,17.62,19.79,44975600
2015-10-09,19.82,21.32,19.38,21.23,36543800
2015-10-16,21.14,21.95,20.81,21.55,29000100
2015-10-23,21.31,21.38,20.22,21.29,28985900
2015-10-30,21.31,23.41,20.8,23.19,59664400
2015-11-06,23.51,24.41,23.29,23.84,33002300
2015-11-13,23.54,23.57,22.39,22.51,21041700
2015-11-20,22.43,22.85,22.03,22.46,23902400
2015-11-27,22.38,23.11,22.38,22.77,12310600
2015-12-04,22.86,23.78,22.19,22.63,24362100
2015-12-11,22.63,22.69,20.99,21.05,31678000
2015-12-18,20.97,22.24,20.18,21.17,29646000
2015-12-25,21.18,22.62,21.05,22.51,10287800
2016-01-01,22.33,23.05,22.16,22.72,10588200
2016-01-08,22.72,22.97,20.35,20.49,43674900
2016-01-15,20.78,21.71,19.47,19.86,40409600
2016-01-22,20.3,20.3,17.55,19.34,34674200
2016-01-29,19.4,20.34,18.57,20.08,39950300
2016-02-05,20.03,20.25,17.62,17.88,41805300
2016-02-12,17.7,18.23,16.18,18.11,51754600
2016-02-19,18.6,20.14,17.34,18.06,66282800
2016-02-26,18.89,19.08,17.48,18.87,37573700
2016-03-04,18.87,20.46,18.74,19.81,40038000
2016-03-11,19.51,20.83,19.28,20.81,35421900
2016-03-18,20.73,21.75,20.47,21.42,37284100
2016-03-25,21.4,21.45,20.2,20.52,21930600
2016-04-01,20.52,22.0,20.14,21.92,32097800
2016-04-08,21.82,22.52,20.59,22.39,41863000
2016-04-15,22.6,23.29,22.01,22.79,29385200
2016-04-22,22.57,23.34,21.9,22.17,35837200
2016-04-29,22.17,22.18,21.17,21.3,21216200
2016-05-06,21.57,22.4,21.12,22.01,37620500
2016-05-13,21.82,22.66,21.6,21.63,25482200
2016-05-20,21.79,22.34,21.33,21.76,23180000
2016-05-27,21.8,23.0,21.76,22.93,19344500
2016-06-03,23.0,24.15,22.51,24.06,25968500
2016-06-10,24.0,25.29,23.85,24.55,35608400
2016-06-17,24.3,24.93,23.78,24.61,54141200
2016-06-24,25.08,25.12,22.8,22.91,38429700
2016-07-01,22.58,23.19,21.31,22.78,38287000
2016-07-08,22.51,23.32,22.33,22.96,22978000
2016-07-15,23.22,23.61,22.95,23.34,28884700
2016-07-22,23.44,23.62,22.87,23.19,23193600
2016-07-29,23.2,24.28,23.11,23.98,30580100
2016-08-05,23.98,24.59,23.47,24.45,35277700
2016-08-12,24.59,25.0,24.48,24.5,22159200
2016-08-19,24.65,24.96,23.95,24.16,17187900
2016-08-26,24.12,24.56,23.38,23.76,22962100
2016-09-02,23.72,24.85,23.52,24.58,22549600
2016-09-09,24.58,25.49,24.43,24.76,18062000
2016-09-16,24.53,25.72,24.26,25.44,29640800
2016-09-23,25.56,25.86,24.78,25.65,27863500
2016-09-30,25.45,26.49,25.18,26.03,28471500
2016-10-07,26.33,27.04,26.0,26.42,24233900
2016-10-14,26.54,27.04,25.62,25.75,19221800
2016-10-21,25.32,26.38,25.25,26.1,16797400
2016-10-28,26.31,26.47,25.84,26.07,21607200
2016-11-04,26.18,26.98,25.73,26.41,37025900
2016-11-11,28.08,28.8,26.84,27.5,60371000
2016-11-18,27.44,28.73,26.77,28.43,39417000
2016-11-25,29.12,29.35,28.4,28.67,23124500
2016-12-02,28.78,29.27,27.95,29.01,41210700
2016-12-09,29.31,30.62,27.86,29.27,64952100
2016-12-16,29.53,30.26,28.74,28.86,45717300
2016-12-23,28.83,29.52,28.4,29.36,21815000
2016-12-30,29.34,29.5,28.33,28.83,15378800
2017-01-06,29.01,29.97,28.76,29.52,31346700
2017-01-13,29.71,29.92,28.35,28.62,42466700
2017-01-20,28.45,29.25,28.33,28.74,20998100
2017-01-27,28.73,29.89,28.4,29.79,29100000
2017-02-03,29.62,29.62,28.38,28.86,28082800
2017-02-10,28.93,29.14,28.31,28.53,25054800
2017-02-17,28.73,29.71,26.04,26.6,103767100
2017-02-24,26.62,27.06,26.03,26.39,44020900
2017-03-03,26.45,27.2,26.08,26.46,40587400
2017-03-10,26.42,26.61,25.15,25.5,56683700
2017-03-17,25.61,27.6,25.56,27.58,50939900
2017-03-24,27.43,27.45,25.47,25.71,62482900
2017-03-31,25.25,27.54,25.21,27.4,43436800
2017-04-07,27.74,28.53,27.51,28.11,41351800
2017-04-14,28.08,28.09,27.16,27.19,22331500
2017-04-21,27.35,28.61,27.01,28.41,40340300
2017-04-28,28.63,31.32,28.57,30.71,71197900
2017-05-05,30.79,31.15,30.41,30.85,27399500
2017-05-12,30.51,31.29,30.19,31.15,32404200
2017-05-19,31.17,32.28,30.5,31.25,38769300
2017-05-26,31.5,31.96,31.06,31.82,32973300
2017-06-02,31.8,32.75,31.36,32.52,23897400
2017-06-09,32.49,32.93,31.63,31.98,29466000
2017-06-16,31.8,32.77,30.82,32.61,32470800
2017-06-23,32.84,34.17,32.69,34.16,26432200
2017-06-30,34.19,34.34,31.16,31.29,49296600
2017-07-07,31.02,31.32,30.2,30.84,25866500
2017-07-14,30.83,31.96,30.69,31.91,27526100
2017-07-21,31.88,34.21,31.67,34.03,64744900
2017-07-28,34.11,34.53,32.31,33.14,160734700
2017-08-04,33.11,33.52,31.5,31.79,46826900
2017-08-11,31.93,32.15,30.38,30.59,31488900
2017-08-18,30.94,31.72,30.04,30.71,32483700
2017-08-25,30.8,31.96,30.43,31.83,26599300
2017-09-01,31.82,33.46,31.25,33.21,30772400
2017-09-08,33.15,34.65,32.84,33.25,38930400
2017-09-15,32.98,33.34,31.71,31.92,52327700
2017-09-22,32.05,33.44,31.63,32.38,36767800
2017-09-29,32.22,32.74,31.81,32.59,24670600
2017-10-06,31.35,32.0,30.36,30.81,89961500
2017-10-13,30.71,31.09,29.56,29.74,49826800
2017-10-20,29.66,31.12,29.53,31.03,36183700
2017-10-27,31.0,31.48,30.62,31.25,32605100
2017-11-03,31.08,31.98,30.46,31.26,29556300
2017-11-10,31.28,33.59,31.21,32.88,44836900
2017-11-17,32.68,33.41,32.34,33.0,27153600
2017-11-24,33.2,33.9,33.05,33.89,19083100
2017-12-01,33.77,34.31,33.1,34.02,34602000
2017-12-08,34.37,34.51,32.52,33.18,41197900
2017-12-15,33.39,33.87,32.51,32.88,44347700
2017-12-22,33.1,33.8,32.75,33.34,32109800
2017-12-29,33.33,33.78,33.17,33.39,16747800
2018-01-05,32.99,34.22,32.83,33.89,21655200
2018-01-12,33.85,35.18,33.03,35.03,35424100
2018-01-19,35.67,36.68,35.67,36.35,33504300
2018-01-26,36.7,37.76,36.5,37.05,36500400
2018-02-02,37.0,38.41,35.17,35.58,57741100
2018-02-09,35.1,35.77,32.14,33.43,54124900
2018-02-16,33.75,35.06,32.75,34.47,48696500
2018-02-23,33.0,35.44,32.99,35.38,32043800
2018-03-02,35.45,35.57,32.84,33.73,38477700
2018-03-09,33.55,36.82,33.36,36.79,35838600
2018-03-16,36.83,37.13,35.46,35.99,25252300
2018-03-23,36.03,36.81,33.06,33.26,47163400
2018-03-30,33.78,35.87,33.68,35.02,36046400
2018-04-06,35.23,35.99,33.23,34.13,37662900
2018-04-13,34.31,35.67,33.55,34.4,52431700
2018-04-20,34.7,36.8,34.45,35.44,36043300
2018-04-27,35.69,36.73,30.72,31.28,81887200
2018-05-04,31.13,32.15,30.67,31.86,50270800
2018-05-11,32.05,33.68,31.32,31.8,56864800
2018-05-18,32.03,32.91,31.58,32.34,54742900
2018-05-25,32.65,32.88,30.91,31.45,30841700
2018-06-01,31.32,32.18,31.03,31.79,29613800
2018-06-08,32.0,32.0,30.65,30.78,52488300
2018-06-15,30.9,32.13,30.78,31.23,48465100
2018-06-22,30.98,31.45,29.81,30.07,53740100
2018-06-29,29.82,30.02,27.9,29.03,49672700
2018-07-06,28.19,29.05,27.88,28.97,33790900
2018-07-13,29.45,31.0,29.04,30.95,39391600
2018-07-20,31.0,31.44,30.49,31.2,47245500
2018-07-27,31.17,31.59,30.5,30.72,33175300
2018-08-03,30.72,31.66,26.85,28.53,113394900
2018-08-10,28.33,30.09,28.03,28.86,51564000
2018-08-17,28.75,29.27,28.03,28.55,34846400
2018-08-24,28.69,29.19,28.3,28.5,29736900
2018-08-31,28.75,30.01,28.64,28.99,33173300
2018-09-07,28.7,28.78,26.47,26.75,38516200
2018-09-14,26.87,28.16,26.31,27.68,49151200
2018-09-21,27.84,28.84,27.09,28.49,32728800
2018-09-28,28.19,28.28,27.26,27.91,31355000
2018-10-05,27.93,27.98,25.91,26.24,40212600
2018-10-12,25.92,27.49,25.7,26.45,54747200
2018-10-19,26.33,28.45,26.22,26.65,39202500
2018-10-26,26.89,26.98,24.17,24.94,47185600
2018-11-02,25.18,28.56,23.81,28.17,53608500
