Date,Open,High,Low,Close,Volume
2025-12-12,14.9,16.0,14.45,15.87,38504900
2025-12-19,16.45,16.89,15.66,15.88,21011600
2025-12-26,15.86,15.9,15.52,15.72,5223400
2026-01-02,15.71,15.97,15.49,15.5,3787600
2026-01-09,15.23,15.41,14.87,15.28,8147000
2026-01-16,15.15,16.73,15.1,16.7,6472200
2026-01-23,16.8,16.98,16.26,16.84,3871400
2026-01-30,17.82,18.39,17.56,17.75,5371300
2026-02-06,17.6,19.48,17.45,19.22,6280900
2026-02-13,19.3,19.93,15.98,16.83,9237400
2026-02-20,16.18,16.75,15.6,16.65,9067300
2026-02-27,16.0,16.43,15.72,15.87,7073800
2026-03-06,15.57,15.62,14.89,15.28,6378800
2026-03-13,15.01,15.74,14.95,15.5,6851100
2026-03-20,15.48,15.92,14.83,14.85,7692700
2026-03-27,14.84,15.35,14.44,14.63,8319800
2026-04-03,14.8,15.01,14.15,14.3,6602200
2026-04-10,14.27,14.81,14.26,14.46,6962000
2026-04-17,14.0,14.59,13.96,14.58,6879800
2026-04-24,14.29,14.37,13.06,13.23,6188100
2026-05-01,13.16,15.19,12.94,14.85,14317200
2026-05-08,15.37,15.5,14.57,14.79,5465000
2026-05-15,14.83,17.03,14.73,16.66,10528800
2026-05-22,15.81,16.34,15.48,16.05,7084300
2026-05-29,16.0,16.52,15.63,16.2,3780800
2026-06-05,15.85,17.32,15.82,17.07,6882600
2026-06-12,17.17,18.16,16.94,17.92,6437000
2026-06-19,17.96,18.04,16.59,16.77,6417600
2026-06-26,16.38,17.57,16.05,17.5,8428100
2026-07-03,17.46,18.74,17.32,18.72,4701100
2026-07-10,18.59,19.14,18.08,18.53,6710100
2026-07-17,18.63,18.96,18.3,18.7,6457500
2026-07-24,18.77,18.82,17.39,17.84,5529600
2026-07-31,18.1,18.75,18.04,18.61,4553600
2026-08-07,18.7,19.29,18.27,19.27,3669600
2026-08-14,19.24,20.1,19.09,19.58,3188300
2026-08-21,19.25,19.97,18.88,19.96,4186200
2026-08-28,20.33,20.49,20.0,20.18,3335200
2026-09-04,20.31,20.68,19.08,19.32,4283500
2026-09-11,19.17,19.88,19.07,19.65,3894900
2026-09-18,19.93,20.04,18.78,18.98,3884100
2026-09-25,19.18,19.58,19.08,19.32,1112675
