Date,Open,High,Low,Close,Volume
2015-03-27,138.5,143.3,138.5,141.73,3088600
2015-04-03,142.74,142.91,136.5,137.36,2665900
2015-04-10,137.13,139.48,134.1,138.54,3164200
2015-04-17,138.34,143.3,136.76,140.24,2907200
2015-04-24,140.56,140.99,135.93,138.53,2800300
2015-05-01,138.5,149.27,134.97,147.83,5661100
2015-05-08,148.1,155.8,145.38,154.89,4960700
2015-05-15,154.32,155.62,150.36,155.32,5299900
2015-05-22,154.99,155.98,151.37,152.3,3324400
2015-05-29,151.46,153.2,148.64,149.01,4429800
2015-06-05,148.9,150.61,145.59,148.1,7039500
2015-06-12,148.1,153.39,147.01,147.89,3887200
2015-06-19,146.52,149.44,143.25,148.25,3103200
2015-06-26,149.15,149.88,144.18,144.88,3331600
2015-07-03,143.87,146.09,141.48,144.0,2441500
2015-07-10,142.26,153.35,141.54,152.9,4135800
2015-07-17,154.43,157.73,149.6,156.53,3498400
2015-07-24,156.96,162.75,155.61,157.83,4028200
2015-07-31,156.82,159.47,153.0,156.82,3059000
2015-08-07,156.63,172.84,152.0,167.58,6054400
2015-08-14,169.19,175.24,168.92,175.03,3577400
2015-08-21,175.53,177.59,159.85,161.64,3079500
2015-08-28,152.98,167.03,143.16,165.5,4548900
2015-09-04,164.98,172.0,162.71,166.46,3339400
2015-09-11,168.42,172.94,167.38,171.48,3517200
2015-09-18,171.52,178.67,169.87,169.89,5024000
2015-09-25,171.17,173.48,155.25,159.39,4667300
2015-10-02,157.99,163.17,146.67,163.08,6737700
2015-10-09,164.57,166.23,157.48,165.07,4672000
2015-10-16,165.0,165.9,147.63,151.44,6409000
2015-10-23,150.27,154.3,144.61,152.88,4570300
2015-10-30,152.33,155.77,143.29,155.15,4412600
2015-11-06,155.44,157.74,138.3,154.98,11143400
2015-11-13,154.99,157.25,150.2,153.43,3953200
2015-11-20,153.34,162.84,152.53,160.87,3492800
2015-11-27,161.03,163.01,158.23,161.0,1916200
2015-12-04,161.26,162.52,151.76,155.27,3705600
2015-12-11,154.12,154.73,141.25,142.09,4352000
2015-12-18,142.47,148.33,139.56,139.91,3374700
2015-12-25,140.36,143.92,139.07,142.33,2359200
2016-01-01,141.86,142.51,136.2,136.58,2082300
2016-01-08,134.59,136.63,125.62,126.13,5215500
2016-01-15,126.75,129.53,119.58,124.69,5202900
2016-01-22,125.97,126.48,113.49,123.6,5588000
2016-01-29,122.78,126.59,116.36,125.58,4240400
2016-02-05,124.39,126.56,117.58,123.05,5342300
2016-02-12,121.74,138.0,108.31,132.86,9013100
2016-02-19,134.31,142.57,131.25,135.98,3259500
2016-02-26,137.32,145.37,135.93,142.2,3478500
2016-03-04,142.72,150.1,142.07,147.85,4110000
2016-03-11,149.0,157.4,148.25,156.58,4103000
2016-03-18,155.76,157.56,151.28,156.83,3265000
2016-03-25,156.52,157.5,150.75,153.67,1923200
2016-04-01,153.67,163.42,152.04,162.05,3704800
2016-04-08,161.5,168.15,157.83,166.18,3596000
2016-04-15,167.59,168.23,161.97,165.63,2475600
2016-04-22,165.38,171.73,164.7,170.6,2337900
