Date,Open,High,Low,Close,Volume
2015-04-03,65.85,67.46,61.15,62.51,11871200
2015-04-10,62.09,62.59,61.28,62.53,8133200
2015-04-17,62.53,62.99,60.47,60.68,7850500
2015-04-24,61.02,61.81,60.18,60.57,6895700
2015-05-01,60.85,61.16,59.32,60.28,7232700
2015-05-08,60.37,61.0,58.2,60.59,8556700
2015-05-15,60.47,60.62,59.1,59.3,5017400
2015-05-22,59.22,60.35,59.22,59.66,4654100
2015-05-29,59.4,59.87,58.7,59.0,5290400
2015-06-05,59.09,59.99,58.39,58.61,4381500
2015-06-12,58.54,58.74,57.37,57.65,4599100
2015-06-19,57.16,58.59,56.83,58.05,6710200
2015-06-26,58.24,59.73,57.94,58.38,8306900
2015-07-03,57.71,58.09,57.04,57.51,4181500
2015-07-10,56.89,57.66,56.4,57.48,5901400
2015-07-17,57.9,59.48,57.79,58.85,4217500
2015-07-24,59.5,59.8,58.7,59.5,5625100
2015-07-31,59.33,60.36,58.34,60.16,3678600
2015-08-07,60.08,65.0,59.17,64.19,11300600
2015-08-14,64.47,65.1,62.8,64.98,6322900
2015-08-21,64.68,67.17,62.44,62.45,8048600
2015-08-28,60.27,65.19,59.52,64.55,13701200
2015-09-04,64.39,66.36,63.5,66.31,30722700
2015-09-11,66.72,70.26,66.41,67.08,16974400
2015-09-18,67.1,67.76,66.18,67.09,13121200
2015-09-25,67.27,69.39,66.0,69.2,8575200
2015-10-02,68.67,68.99,66.73,68.4,13006800
2015-10-09,68.52,69.91,68.5,68.78,7375500
2015-10-16,68.75,69.69,68.1,69.26,5142800
2015-10-23,68.98,70.98,68.76,70.48,6623700
2015-10-30,70.48,70.83,69.47,69.97,6036700
2015-11-06,70.05,71.57,63.95,68.01,14191900
2015-11-13,67.92,70.49,67.18,69.03,7403900
2015-11-20,68.92,72.97,68.65,72.19,5930400
2015-11-27,72.24,72.52,70.98,72.02,3252800
2015-12-04,72.22,72.44,70.86,72.11,5968100
2015-12-11,71.73,71.98,67.85,68.61,6241200
2015-12-18,68.51,70.49,67.55,67.58,6061400
2015-12-25,67.76,69.42,67.62,69.06,2129800
2016-01-01,68.86,69.89,68.45,68.45,1505300
2016-01-08,67.67,67.67,63.54,64.25,5595000
2016-01-15,64.66,65.15,61.21,61.59,5383000
2016-01-22,62.3,62.36,59.13,62.04,4272500
2016-01-29,61.93,66.79,61.59,66.77,5637300
2016-02-05,66.58,67.2,62.52,62.82,6004000
2016-02-12,62.22,63.4,59.78,61.78,4810600
2016-02-19,62.47,66.06,62.36,66.0,4169200
2016-02-26,66.46,75.81,66.22,74.86,14551300
2016-03-04,75.0,75.27,69.31,70.95,21155600
2016-03-11,70.67,72.63,70.47,71.2,10809200
2016-03-18,71.0,73.77,70.59,72.59,10410700
2016-03-25,72.41,74.04,71.96,72.59,7344200
2016-04-01,72.75,76.59,72.75,76.11,7233600
2016-04-08,75.4,76.83,74.86,75.24,6934000
2016-04-15,75.37,75.77,74.6,75.64,5182800
2016-04-22,75.36,76.0,74.63,75.56,3775200
2016-04-29,75.23,76.48,74.22,75.19,4328600
2016-05-06,75.47,76.03,66.51,70.54,10102300
2016-05-13,70.42,71.69,69.66,70.62,10109500
2016-05-20,70.4,71.27,68.29,68.75,7831800
2016-05-27,68.58,69.97,68.49,69.5,6332900
2016-06-03,69.6,69.72,67.69,68.47,11678100
2016-06-10,68.52,69.32,67.23,67.44,12429500
2016-06-17,66.9,67.92,66.5,67.33,14730500
2016-06-24,67.93,68.59,64.6,64.73,12034500
2016-07-01,64.17,66.46,62.76,66.01,8753300
2016-07-08,65.47,66.54,64.05,66.38,5006600
2016-07-15,66.57,68.16,66.21,67.4,5003500
2016-07-22,67.4,68.36,67.1,68.25,3972200
2016-07-29,68.03,69.73,67.86,69.38,4625800
2016-08-05,69.4,73.64,68.36,73.5,7255900
2016-08-12,73.66,75.95,73.5,74.54,8721500
2016-08-19,74.55,76.48,74.31,76.34,6654400
2016-08-26,76.07,77.86,75.84,77.2,4757800
2016-09-02,77.2,77.99,76.05,77.95,6031800
2016-09-09,77.92,78.99,76.56,76.65,5685000
2016-09-16,76.77,77.99,75.25,75.63,8970000
2016-09-23,75.65,76.47,75.04,76.11,4652100
2016-09-30,75.72,77.5,75.61,76.28,6492300
2016-10-07,75.98,76.39,73.74,74.48,4427900
2016-10-14,74.89,74.99,72.3,73.58,4951300
2016-10-21,73.66,74.2,72.98,73.62,3037400
2016-10-28,74.11,74.91,72.75,72.83,4242500
2016-11-04,72.71,76.02,71.24,75.9,6710000
2016-11-11,76.78,80.5,76.64,80.38,6528900
