Date,Open,High,Low,Close,Volume
2015-04-03,323.89,331.02,319.7,321.47,536300
2015-04-10,320.29,332.13,320.29,331.15,586400
2015-04-17,331.34,333.47,319.04,320.54,434200
2015-04-24,321.84,326.65,320.27,322.06,346800
2015-05-01,322.56,324.85,315.19,320.5,618800
2015-05-08,320.97,338.49,318.95,326.29,870700
2015-05-15,325.04,327.61,320.59,325.62,838300
2015-05-22,324.25,333.2,324.02,330.59,617400
2015-05-29,328.3,331.21,324.0,324.68,573700
2015-06-05,325.16,336.58,321.8,329.66,718000
2015-06-12,329.46,340.25,327.55,337.54,565400
2015-06-19,336.48,346.67,331.34,338.0,737700
2015-06-26,340.71,346.14,337.29,343.12,888300
2015-07-03,340.75,348.27,337.86,346.46,646400
2015-07-10,343.93,348.87,327.74,334.64,1070800
2015-07-17,337.2,346.61,335.96,345.01,823900
2015-07-24,346.01,350.11,334.58,335.73,1088100
2015-07-31,334.0,344.26,327.43,337.6,1231700
2015-08-07,338.41,339.54,324.09,329.33,861700
2015-08-14,329.21,336.0,316.0,322.03,1043200
2015-08-21,320.61,329.93,302.42,304.76,859100
2015-08-28,288.28,306.61,280.55,300.2,1435400
2015-09-04,299.8,301.04,285.97,288.99,1115000
2015-09-11,297.25,304.63,287.78,299.77,1242600
2015-09-18,299.34,306.4,292.92,293.45,1094700
2015-09-25,294.19,298.28,276.36,281.09,1319500
2015-10-02,278.71,290.26,275.3,290.21,1121700
2015-10-09,292.97,295.9,279.31,293.71,1233400
2015-10-16,293.7,297.79,282.05,291.33,846100
2015-10-23,290.94,306.22,290.03,304.27,989600
2015-10-30,302.75,312.52,297.02,310.99,993600
2015-11-06,311.37,334.44,310.25,327.66,1533600
2015-11-13,326.97,336.62,323.31,328.19,1026700
2015-11-20,326.72,347.06,326.72,343.57,909800
2015-11-27,343.57,345.16,334.93,344.77,647500
2015-12-04,344.11,346.44,330.02,338.72,1001900
2015-12-11,337.19,339.95,325.4,330.38,916800
2015-12-18,329.67,343.79,329.28,331.06,990800
2015-12-25,332.57,342.62,330.13,341.86,464200
2016-01-01,340.4,348.39,338.72,339.13,334500
2016-01-08,333.07,336.8,313.35,313.93,976200
2016-01-15,315.39,326.64,301.34,313.62,1211100
2016-01-22,316.45,323.15,298.02,316.25,989500
2016-01-29,316.09,319.35,306.39,312.85,1454300
2016-02-05,310.29,322.24,303.08,311.68,1759200
2016-02-12,308.43,315.14,291.33,307.07,1174300
2016-02-19,310.26,322.14,308.58,322.14,677200
2016-02-26,325.69,329.83,309.92,316.75,649700
2016-03-04,317.06,337.75,314.69,334.48,897500
2016-03-11,333.2,337.56,325.7,335.7,731000
2016-03-18,335.49,338.58,328.1,334.92,808700
2016-03-25,334.43,339.75,332.04,337.89,393900
2016-04-01,339.06,350.92,338.36,349.9,722500
2016-04-08,350.61,359.62,344.01,350.28,799900
2016-04-15,351.63,363.43,346.92,360.29,604900
2016-04-22,359.7,368.41,352.71,365.71,650200
2016-04-29,364.27,367.09,353.98,357.95,701900
2016-05-06,358.23,364.05,348.0,357.26,932800
2016-05-13,356.7,372.0,353.53,367.93,1179000
2016-05-20,368.21,375.73,360.8,364.05,1122200
2016-05-27,365.24,374.64,362.36,371.61,1038400
2016-06-03,373.8,377.78,368.64,374.1,755500
2016-06-10,375.7,386.68,372.91,377.69,925000
2016-06-17,374.16,380.2,367.48,369.82,616700
2016-06-24,374.12,383.56,360.55,361.6,857200
2016-07-01,358.79,371.74,343.61,368.96,1221700
2016-07-08,365.12,377.19,357.57,373.03,546800
2016-07-15,375.86,387.77,372.47,385.09,549200
2016-07-22,385.86,391.18,381.35,387.08,488300
