Date,Open,High,Low,Close,Volume
2015-04-03,40.75,43.0,38.3,39.52,4509700
2015-04-10,39.44,43.29,38.94,42.71,3098400
2015-04-17,42.96,45.09,41.07,42.49,3266500
2015-04-24,42.94,44.34,41.82,43.37,2415000
2015-05-01,43.63,44.08,33.16,35.51,8035600
2015-05-08,35.59,39.6,32.67,39.55,5068400
2015-05-15,39.43,42.86,38.55,41.63,4302900
2015-05-22,41.34,43.67,41.3,42.55,3985600
2015-05-29,42.21,44.49,41.31,43.86,2880200
2015-06-05,44.19,44.32,40.54,43.51,4095200
2015-06-12,43.57,45.98,41.62,42.93,6207100
2015-06-19,42.83,48.12,41.85,47.31,7084600
2015-06-26,47.74,49.49,46.22,46.72,4315300
2015-07-03,46.0,48.89,45.01,47.31,2812200
2015-07-10,46.9,49.49,46.82,48.16,3348300
2015-07-17,48.64,53.84,47.93,53.51,4799400
2015-07-24,54.62,56.18,50.3,51.5,3640000
2015-07-31,51.19,52.32,48.28,50.12,3886700
2015-08-07,50.0,51.96,44.65,46.47,3273400
2015-08-14,46.5,48.07,44.02,45.87,3032300
2015-08-21,45.5,48.28,42.72,43.75,3232300
2015-08-28,38.57,47.74,37.62,46.67,4758200
2015-09-04,46.71,50.65,45.06,48.55,4174000
2015-09-11,49.5,54.19,48.74,54.09,4198100
2015-09-18,54.69,56.97,52.45,54.9,5337200
2015-09-25,55.94,55.94,40.3,40.76,5925700
2015-10-02,39.27,44.42,33.61,44.07,8515500
2015-10-09,44.62,47.25,37.76,46.1,14079300
2015-10-16,46.42,50.29,44.01,47.93,7316900
2015-10-23,47.98,51.7,45.6,48.0,5543900
2015-10-30,47.56,52.09,46.3,49.09,5338500
2015-11-06,49.66,54.6,48.67,53.49,4160400
2015-11-13,53.55,54.27,50.36,52.13,3249600
2015-11-20,52.25,57.0,49.79,54.1,3272200
2015-11-27,54.32,58.46,53.84,57.63,1952700
2015-12-04,57.12,57.39,50.12,53.48,4384100
2015-12-11,53.09,53.8,50.36,51.6,2664500
2015-12-18,51.48,57.82,50.24,51.87,4971000
2015-12-25,52.44,53.42,50.02,53.25,2110300
2016-01-01,52.99,57.76,52.49,56.57,3310200
2016-01-08,55.3,55.94,46.24,46.41,4079400
2016-01-15,47.05,49.41,41.39,47.6,13882900
2016-01-22,48.41,53.68,43.67,50.37,5325300
2016-01-29,49.97,51.93,41.18,42.55,5475200
2016-02-05,42.33,43.8,34.9,35.99,9078900
2016-02-12,35.13,36.56,31.25,36.04,9710800
2016-02-19,36.56,38.99,36.08,37.58,3904000
2016-02-26,37.91,39.13,35.12,38.02,3936400
2016-03-04,37.88,39.03,35.0,35.35,7147600
2016-03-11,34.99,36.39,32.18,35.44,5726100
2016-03-18,35.22,36.15,32.35,35.06,5838600
2016-03-25,34.84,39.14,34.17,35.33,4569200
2016-04-01,35.47,41.68,33.56,41.54,6505900
2016-04-08,42.0,47.99,42.0,45.57,6482200
2016-04-15,45.69,47.45,42.45,46.54,4863300
2016-04-22,46.18,49.69,45.8,48.66,4579900
2016-04-29,48.59,49.35,45.09,45.58,3937900
