Date,Open,High,Low,Close,Volume
2015-04-03,16.61,17.0,16.59,16.7,10371000
2015-04-10,16.54,16.96,16.4,16.86,9998400
2015-04-17,16.82,16.89,16.15,16.23,16061100
2015-04-24,16.23,16.69,16.08,16.19,26453400
2015-05-01,16.21,16.58,16.04,16.35,14167800
2015-05-08,16.41,16.93,16.25,16.85,13629300
2015-05-15,16.88,17.26,16.76,17.06,10932900
2015-05-22,17.08,17.65,17.07,17.54,11470800
2015-05-29,17.5,17.52,17.22,17.25,9917400
2015-06-05,17.35,17.45,16.81,16.84,14452800
2015-06-12,16.86,17.09,16.5,16.91,13897800
2015-06-19,16.81,17.2,16.64,16.8,12706500
2015-06-26,16.88,17.0,16.55,16.57,9870000
2015-07-03,16.44,16.5,16.1,16.38,11688900
2015-07-10,16.36,16.88,15.94,16.83,20201400
2015-07-17,16.99,17.3,16.84,17.28,9421200
2015-07-24,17.26,17.47,16.95,17.3,10551000
2015-07-31,17.25,17.3,16.26,17.01,15773400
2015-08-07,16.9,17.83,16.9,17.64,21141300
2015-08-14,17.78,18.12,17.34,18.09,12629400
2015-08-21,18.02,18.23,17.12,17.18,25754700
2015-08-28,16.36,17.18,15.98,17.16,43908000
2015-09-04,17.04,17.25,16.61,16.77,16499700
2015-09-11,17.02,17.49,16.85,17.25,9297000
2015-09-18,17.25,17.39,16.63,16.82,18085200
2015-09-25,16.95,18.0,16.81,17.83,17031600
2015-10-02,17.77,17.86,16.99,17.54,17253600
2015-10-09,17.7,18.0,17.58,17.7,10897200
2015-10-16,17.73,18.4,17.61,18.32,13059900
2015-10-23,18.26,19.97,18.25,19.57,17603400
2015-10-30,19.64,19.8,19.23,19.3,17495400
2015-11-06,19.42,19.99,19.31,19.41,17152200
2015-11-13,19.37,19.71,18.76,18.86,16866900
2015-11-20,18.8,20.02,18.73,19.99,24094500
2015-11-27,19.93,20.0,19.34,19.62,9492900
2015-12-04,19.65,19.73,18.76,19.65,15121500
2015-12-11,19.57,19.65,18.21,18.29,18438900
2015-12-18,18.27,19.13,18.27,18.64,21650400
2015-12-25,18.83,19.49,18.66,19.33,10989900
2016-01-01,19.34,20.04,19.27,19.39,11520900
2016-01-08,18.97,19.29,18.57,18.6,22559400
2016-01-15,18.84,19.33,18.49,18.83,21665700
2016-01-22,19.07,19.38,18.42,19.24,14048100
2016-01-29,19.18,20.79,18.75,20.67,25103400
2016-02-05,20.65,20.92,19.51,19.8,32600400
2016-02-12,19.55,20.86,19.28,20.44,18864600
2016-02-19,20.85,21.18,20.31,20.98,11312100
2016-02-26,21.39,21.7,20.75,21.28,16457400
2016-03-04,21.32,21.83,20.93,21.65,19102200
2016-03-11,21.59,22.13,21.04,21.99,17780100
2016-03-18,21.9,22.54,21.3,21.5,28752000
2016-03-25,21.42,22.12,21.23,21.34,23249700
2016-04-01,21.45,22.23,21.36,22.03,19664100
2016-04-08,22.13,22.13,21.16,21.22,15954900
2016-04-15,21.39,21.57,20.59,21.48,18768600
2016-04-22,21.34,21.52,21.18,21.33,10849200
2016-04-29,21.25,21.75,20.42,20.57,15144000
2016-05-06,20.58,21.42,20.52,21.34,11773500
2016-05-13,21.34,21.55,21.15,21.23,12204300
2016-05-20,21.17,21.33,20.53,21.21,10929600
2016-05-27,21.17,21.97,21.02,21.89,10394400
2016-06-03,21.92,22.01,21.4,21.69,8930700
2016-06-10,21.67,21.98,21.52,21.86,10441200
2016-06-17,21.76,21.99,21.27,21.29,12935400
2016-06-24,21.54,21.63,20.59,21.0,16170900
2016-07-01,20.79,21.73,20.4,21.59,14689800
2016-07-08,21.24,22.03,21.06,21.96,9242700
2016-07-15,22.08,22.62,22.0,22.5,10344600
2016-07-22,22.89,22.89,22.34,22.6,7435200
2016-07-29,22.6,23.82,22.48,23.59,14990400
2016-08-05,23.67,23.96,23.55,23.73,12783000
2016-08-12,23.79,23.79,23.21,23.38,15446100
2016-08-19,23.34,23.59,23.08,23.48,9372900
2016-08-26,23.38,23.66,23.33,23.5,8398200
2016-09-02,23.53,23.97,23.46,23.89,7926900
2016-09-09,23.94,23.96,22.99,22.99,7231500
2016-09-16,22.9,23.24,22.74,23.16,11812800
2016-09-23,23.23,23.67,22.98,23.15,10557300
2016-09-30,23.06,23.33,22.33,22.51,11734500
2016-10-07,22.43,22.56,22.16,22.34,10781100
2016-10-14,22.38,22.48,21.85,22.41,13752000
2016-10-21,22.49,22.59,21.74,22.06,8075400
2016-10-28,22.09,22.27,21.11,21.36,13290600
2016-11-04,21.38,21.81,21.1,21.56,13434900
2016-11-11,21.78,22.76,21.4,22.15,13456800
2016-11-18,22.21,22.22,21.2,21.95,16049400
2016-11-25,22.04,22.09,21.6,21.9,6426000
2016-12-02,21.85,21.85,21.12,21.29,16425900
2016-12-09,21.56,22.89,21.44,22.87,17791200
2016-12-16,22.74,23.24,22.61,22.69,14767200
2016-12-23,22.64,22.85,22.31,22.39,6773700
2016-12-30,22.47,22.54,22.3,22.37,6441300
2017-01-06,22.49,22.94,22.09,22.82,7405800
2017-01-13,22.79,22.82,22.03,22.57,8764500
2017-01-20,22.45,22.56,22.16,22.45,8847600
2017-01-27,22.35,22.98,22.22,22.79,9725100
2017-02-03,22.68,23.96,22.42,23.45,16170000
2017-02-10,23.35,23.44,22.87,23.26,14016600
