Date,Open,High,Low,Close,Volume
2015-04-03,77.92,78.7,76.37,77.24,767400
2015-04-10,76.94,79.52,76.9,78.8,970200
2015-04-17,78.56,79.99,77.87,79.0,1127600
2015-04-24,79.34,81.05,78.84,79.68,855100
2015-05-01,79.98,80.98,79.11,80.68,1288800
2015-05-08,80.68,82.13,80.4,81.69,1066700
2015-05-15,81.45,83.5,81.0,83.12,1633800
2015-05-22,83.14,84.45,79.26,82.99,2109800
2015-05-29,82.89,83.31,80.84,80.91,806700
2015-06-05,80.96,82.82,80.35,82.11,792400
2015-06-12,82.06,82.62,80.8,81.39,693200
2015-06-19,80.75,81.08,79.53,80.26,1344800
2015-06-26,80.75,81.26,79.33,80.09,1020700
2015-07-03,79.26,79.52,77.54,77.72,667500
2015-07-10,77.46,77.98,75.51,75.9,1012800
2015-07-17,76.44,77.93,74.08,75.14,1148200
2015-07-24,75.31,75.69,72.48,72.62,910600
2015-07-31,72.34,74.91,71.75,74.11,945100
2015-08-07,74.2,74.99,73.15,74.13,731600
2015-08-14,74.54,75.95,72.97,74.11,952800
2015-08-21,73.93,75.75,62.35,62.44,2861400
2015-08-28,58.96,66.9,58.52,66.74,2767400
2015-09-04,66.32,67.1,63.03,64.44,1922900
2015-09-11,65.61,66.75,65.07,66.64,1479200
2015-09-18,66.62,67.54,64.75,65.01,1235300
2015-09-25,65.21,66.03,61.13,62.31,1263100
2015-10-02,61.99,64.38,61.39,64.18,1609200
2015-10-09,64.37,69.97,64.37,69.1,1638100
2015-10-16,69.21,69.21,65.87,66.98,1219200
2015-10-23,66.48,70.16,65.78,69.85,1288300
2015-10-30,69.8,71.43,68.41,71.24,1862300
2015-11-06,71.11,73.72,70.3,73.22,1473700
2015-11-13,73.19,74.24,69.1,69.7,1178200
2015-11-20,69.47,71.34,68.61,70.89,2578500
2015-11-27,70.66,73.24,70.49,72.56,1095500
2015-12-04,72.82,73.6,70.81,72.08,1609500
2015-12-11,71.64,72.24,62.72,63.54,2779400
2015-12-18,63.04,65.17,62.68,63.64,2928600
2015-12-25,63.82,66.03,63.08,65.42,859900
2016-01-01,65.14,65.29,63.81,64.15,1422200
2016-01-08,63.49,64.57,57.72,57.86,2547300
2016-01-15,57.93,59.32,54.71,55.52,1998400
2016-01-22,55.85,58.1,51.89,57.12,3061700
2016-01-29,56.43,60.58,55.53,60.43,1983900
2016-02-05,59.85,61.13,56.63,58.89,1115900
2016-02-12,58.07,61.59,57.4,61.41,1673500
2016-02-19,62.1,64.65,61.34,63.84,981400
2016-02-26,64.65,71.91,64.28,71.8,2656800
2016-03-04,71.63,75.3,70.76,74.93,1444100
2016-03-11,74.63,75.53,72.5,74.01,1413900
2016-03-18,73.62,77.98,72.71,77.61,1478300
2016-03-25,77.39,77.83,75.06,76.77,815100
2016-04-01,76.66,77.89,74.72,76.41,1821300
2016-04-08,76.32,76.69,73.8,75.05,1054200
2016-04-15,75.43,78.23,74.76,78.05,978400
2016-04-22,77.65,79.16,77.46,78.99,1053800
2016-04-29,78.58,80.5,76.25,76.73,1737600
2016-05-06,76.81,77.89,75.28,76.18,1053300
2016-05-13,75.78,78.58,75.31,77.21,982900
2016-05-20,77.26,78.41,74.49,75.74,1457800
2016-05-27,75.93,89.2,75.66,88.47,3968300
2016-06-03,86.8,88.25,85.61,87.88,1420100
2016-06-10,88.23,88.88,84.75,84.88,2467100
2016-06-17,84.75,88.0,83.38,84.66,1306800
2016-06-24,85.96,87.84,81.03,81.08,1293600
2016-07-01,79.72,84.93,78.16,84.73,1478000
2016-07-08,83.96,85.9,81.48,85.88,796500
2016-07-15,86.25,88.08,86.15,86.69,855700
2016-07-22,86.74,88.14,85.72,88.12,750800
2016-07-29,88.0,89.42,86.96,88.29,881200
2016-08-05,88.15,90.64,87.63,90.39,909900
2016-08-12,90.61,91.54,89.82,90.59,790400
2016-08-19,90.93,92.31,89.87,92.2,940900
2016-08-26,91.99,102.2,90.14,99.56,3442300
2016-09-02,99.88,100.84,98.01,100.57,1340200
2016-09-09,100.57,101.98,95.87,95.93,972800
2016-09-16,96.22,98.62,94.56,96.28,1349900
2016-09-23,97.03,101.19,97.0,98.43,1018700
2016-09-30,97.73,100.45,97.13,99.63,879100
2016-10-07,99.87,101.97,97.97,99.04,1080000
2016-10-14,99.59,100.65,95.46,96.1,831500
2016-10-21,96.03,101.11,95.35,100.46,1558800
2016-10-28,100.9,102.57,98.77,98.91,1129600
2016-11-04,99.24,100.55,96.05,96.43,1119500
2016-11-11,98.16,106.0,96.35,105.66,1509800
2016-11-18,106.81,108.69,105.46,106.7,974300
2016-11-25,107.48,110.65,106.88,110.56,671400
