Date,Open,High,Low,Close,Volume
2015-03-27,6.09,6.31,5.86,5.93,780969000
2015-04-03,5.97,6.06,5.87,5.92,520254000
2015-04-10,5.88,6.5,5.85,6.49,788578000
2015-04-17,6.72,8.21,6.71,8.16,2784145000
2015-04-24,8.18,8.23,7.9,7.98,825146000
2015-05-01,8.03,8.18,7.89,7.96,530789000
2015-05-08,7.96,8.24,7.89,8.21,706377000
2015-05-15,8.23,8.83,8.22,8.76,928970000
2015-05-22,8.75,8.98,8.7,8.88,669039000
2015-05-29,8.89,9.02,8.78,8.92,406861000
2015-06-05,8.88,9.05,8.79,9.05,453915000
2015-06-12,9.07,9.9,8.9,9.44,1271970000
2015-06-19,9.29,9.64,9.17,9.39,737800000
2015-06-26,9.5,10.09,9.31,9.31,1814358000
2015-07-03,9.15,9.52,9.11,9.4,672084000
2015-07-10,9.35,9.85,9.23,9.72,847399000
2015-07-17,9.81,11.79,9.7,11.48,1724382000
2015-07-24,11.47,11.47,10.89,10.93,636947000
2015-07-31,10.78,11.5,10.39,11.43,597324000
2015-08-07,11.46,12.93,11.18,12.35,1088220000
2015-08-14,12.61,12.65,11.87,12.34,627960000
2015-08-21,12.31,12.68,10.27,10.4,900047000
2015-08-28,8.88,11.94,8.55,11.76,1910335000
2015-09-04,11.52,11.7,9.73,9.88,1465847000
2015-09-11,10.21,10.28,9.35,9.75,1174099000
2015-09-18,9.68,10.75,9.36,10.26,1137280000
2015-09-25,10.33,10.55,9.68,10.22,852241000
2015-10-02,10.16,10.69,9.69,10.61,904137000
2015-10-09,10.75,11.58,10.26,11.33,1194043000
2015-10-16,11.44,11.54,9.84,9.9,1331929000
2015-10-23,9.81,10.36,9.63,10.0,918455000
2015-10-30,10.01,11.01,9.94,10.84,628081000
2015-11-06,10.92,11.57,10.63,11.41,665252000
2015-11-13,11.34,11.52,10.33,10.36,747478000
2015-11-20,10.3,12.41,10.19,12.38,1134663000
2015-11-27,12.43,12.64,12.0,12.54,516885000
2015-12-04,12.6,13.22,12.24,13.09,974482000
2015-12-11,13.12,13.33,11.86,11.89,893109000
2015-12-18,11.98,12.64,11.47,11.8,788533000
2015-12-25,11.95,11.96,11.49,11.73,342146000
2016-01-01,11.73,11.96,11.39,11.44,340062000
2016-01-08,10.9,12.22,10.5,11.14,1232089000
2016-01-15,11.21,11.78,10.12,10.4,1054154000
2016-01-22,10.66,11.01,9.7,10.07,1465815000
2016-01-29,9.98,10.27,9.01,9.18,1129874000
2016-02-05,9.18,9.72,8.19,8.28,1140949000
2016-02-12,8.06,9.22,7.99,8.74,1149630000
2016-02-19,8.9,9.49,8.75,8.92,666349000
2016-02-26,9.07,9.75,8.67,9.48,799130000
2016-03-04,9.48,10.22,9.33,10.16,885502000
2016-03-11,10.1,10.18,9.45,9.77,830673000
2016-03-18,9.72,10.24,9.64,10.11,628527000
2016-03-25,10.11,10.21,9.71,9.84,376330000
2016-04-01,9.83,10.58,9.78,10.57,670760000
2016-04-08,10.59,10.64,10.28,10.38,492396000
2016-04-15,10.4,11.19,10.22,11.15,578898000
2016-04-22,10.99,11.07,9.31,9.59,1508844000
2016-04-29,9.57,9.57,8.82,9.0,679781000
2016-05-06,9.04,9.32,8.81,9.08,513380000
2016-05-13,9.07,9.32,8.57,8.79,643920000
2016-05-20,8.76,9.33,8.61,9.25,632442000
2016-05-27,9.3,10.4,9.28,10.33,772980000
2016-06-03,10.3,10.35,9.85,9.96,343355000
2016-06-10,10.03,10.16,9.33,9.38,445584000
2016-06-17,9.5,9.72,9.32,9.44,462377000
2016-06-24,9.52,9.59,8.72,8.84,557484000
2016-07-01,8.79,9.7,8.48,9.67,622294000
2016-07-08,9.52,10.13,9.32,9.71,604295000
2016-07-15,9.62,9.87,9.41,9.84,525894000
2016-07-22,9.84,9.98,8.45,8.59,1353239000
2016-07-29,8.57,9.31,8.5,9.12,556280000
2016-08-05,9.12,9.77,9.05,9.7,519422000
2016-08-12,9.59,9.68,9.3,9.66,409625000
2016-08-19,9.68,9.72,9.44,9.59,361270000
2016-08-26,9.57,9.82,9.49,9.76,347868000
2016-09-02,9.7,9.89,9.66,9.74,271883000
2016-09-09,9.78,10.03,9.65,9.65,280791000
2016-09-16,9.59,9.95,9.53,9.95,427261000
2016-09-23,9.99,10.03,9.33,9.59,507897000
2016-09-30,9.54,9.95,9.4,9.85,396799000
2016-10-07,9.8,10.7,9.8,10.48,556777000
2016-10-14,10.32,10.45,9.76,10.15,410095000
2016-10-21,10.05,12.78,9.84,12.75,1240646000
2016-10-28,12.74,12.93,12.57,12.66,468285000
2016-11-04,12.69,12.69,12.16,12.2,284316000
2016-11-11,12.43,12.58,11.31,11.48,490226000
2016-11-18,11.48,11.68,11.07,11.52,362907000
2016-11-25,11.62,11.95,11.62,11.74,202093000
2016-12-02,11.7,12.1,11.4,12.08,376668000
2016-12-09,12.07,12.64,11.84,12.29,410327000
2016-12-16,12.28,12.74,12.23,12.42,308366000
2016-12-23,12.43,12.77,12.29,12.56,214910000
2016-12-30,12.62,12.91,12.36,12.38,175779000
2017-01-06,12.5,13.39,12.43,13.11,381249000
2017-01-13,13.15,13.39,12.85,13.37,332766000
2017-01-20,13.5,14.35,13.11,13.86,610896000
2017-01-27,13.86,14.25,13.7,14.24,367889000
2017-02-03,14.18,14.24,13.88,14.02,255425000
2017-02-10,14.0,14.53,13.92,14.48,297397000
2017-02-17,14.52,14.6,14.01,14.22,259029000
2017-02-24,14.3,14.45,14.15,14.32,150242000
2017-03-03,14.31,14.39,13.83,13.91,234599000
2017-03-10,14.1,14.28,13.97,14.09,214138000
2017-03-17,14.09,14.65,14.03,14.51,271377000
2017-03-24,14.55,14.77,14.08,14.2,248369000
2017-03-31,14.08,14.83,14.0,14.78,216140000
2017-04-07,14.67,14.8,14.27,14.31,199387000
2017-04-14,14.3,14.57,14.12,14.29,185017000
2017-04-21,14.44,14.74,13.87,14.29,625038000
2017-04-28,14.36,15.35,14.34,15.22,488348000
2017-05-05,15.19,15.86,15.16,15.66,292716000
2017-05-12,15.65,16.11,15.53,16.08,263700000
2017-05-19,16.02,16.18,15.3,15.7,275156000
2017-05-26,15.79,16.41,15.64,16.24,234811000
2017-06-02,16.36,16.54,16.07,16.52,183129000
2017-06-09,16.55,16.69,15.45,15.8,256215000
2017-06-16,15.53,15.57,14.73,15.24,432904000
2017-06-23,15.43,15.82,15.14,15.8,272464000
2017-06-30,15.88,16.0,14.8,14.94,313860000
2017-07-07,14.98,15.07,14.43,15.02,195838000
2017-07-14,15.03,16.14,14.97,16.11,309903000
2017-07-21,16.29,19.15,16.0,18.85,936130000
2017-07-28,18.87,19.02,17.94,18.4,360740000
2017-08-04,18.43,18.5,17.78,18.03,248864000
2017-08-11,18.1,18.23,16.76,17.14,350997000
2017-08-18,16.98,17.25,16.57,16.65,327530000
2017-08-25,16.69,17.12,16.42,16.59,254250000
2017-09-01,16.64,17.65,16.47,17.47,270669000
2017-09-08,17.34,18.04,17.24,17.64,239590000
2017-09-15,17.81,18.53,17.8,18.24,270917000
2017-09-22,18.36,19.0,18.27,18.74,275791000
2017-09-29,18.65,18.66,17.66,18.14,289851000
2017-10-06,18.21,19.89,17.66,19.8,552959000
2017-10-13,19.91,20.08,19.21,19.95,394903000
2017-10-20,20.19,20.44,19.12,19.42,702346000
2017-10-27,19.42,20.07,19.1,19.95,326788000
2017-11-03,19.96,20.11,19.52,20.0,232607000
2017-11-10,20.0,20.25,18.95,19.2,291541000
2017-11-17,19.11,19.77,19.1,19.32,218453000
2017-11-24,19.33,19.75,19.19,19.58,166707000
2017-12-01,19.56,19.97,18.43,18.68,372435000
2017-12-08,18.94,18.97,17.84,18.85,299904000
2017-12-15,18.78,19.26,18.48,19.01,293529000
2017-12-22,19.12,19.17,18.53,18.99,271981000
2017-12-29,18.98,19.45,18.52,19.2,223428000
2018-01-05,19.61,21.0,19.54,21.0,326211000
2018-01-12,21.0,22.25,20.69,22.12,335165000
2018-01-19,22.42,22.61,21.63,22.05,414131000
2018-01-26,22.2,27.46,22.12,27.46,891192000
2018-02-02,27.42,28.68,26.27,26.74,605003000
2018-02-09,26.2,27.25,23.61,24.95,596870000
2018-02-16,25.21,28.2,24.9,27.85,454342000
2018-02-23,27.77,28.66,27.44,28.59,333334000
2018-03-02,28.88,30.12,28.32,30.1,526160000
2018-03-09,30.28,33.14,29.76,33.14,804844000
2018-03-16,33.36,33.4,31.33,31.84,567381000
2018-03-23,31.58,31.95,30.04,30.09,387742000
2018-03-30,30.94,32.29,27.59,29.53,621753000
2018-04-06,29.19,29.92,27.12,28.89,611147000
2018-04-13,29.18,31.75,28.91,31.17,576875000
2018-04-20,31.6,33.88,30.4,32.78,829930000
2018-04-27,32.92,33.12,29.26,31.18,541220000
2018-05-04,31.11,32.1,30.57,32.01,321678000
2018-05-11,32.2,33.21,31.93,32.65,273789000
2018-05-18,32.72,33.05,32.24,32.42,210210000
2018-05-25,32.71,35.44,32.54,35.13,452468000
2018-06-01,35.15,36.0,34.67,35.99,294374000
2018-06-08,36.27,36.98,35.55,36.06,372560000
2018-06-15,36.19,39.89,36.09,39.2,551326000
2018-06-22,38.77,42.32,38.65,41.11,688350000
2018-06-29,40.47,41.16,37.88,39.14,756959000
2018-07-06,38.54,40.87,38.0,40.83,305013000
2018-07-13,41.6,41.98,39.51,39.58,586866000
2018-07-20,39.9,40.34,34.4,36.1,1350921000
2018-07-27,35.92,36.74,35.17,35.52,487677000
2018-08-03,35.19,35.2,32.8,34.31,561163000
2018-08-10,34.29,35.73,34.17,34.59,307124000
2018-08-17,33.99,34.72,31.3,31.68,415762000
2018-08-24,31.46,35.92,31.09,35.88,633705000
2018-08-31,36.72,37.68,36.0,36.77,536930000
2018-09-07,36.65,36.89,33.58,34.87,428540000
2018-09-14,35.23,37.41,34.31,36.46,355536000
2018-09-21,36.42,37.76,34.96,36.12,480614000
2018-09-28,35.9,38.32,35.43,37.41,443631000
2018-10-05,37.58,38.68,34.3,35.13,454113000
2018-10-12,34.52,35.87,31.58,33.96,692665000
2018-10-19,33.76,38.0,32.69,33.27,991605000
2018-10-26,33.31,33.66,29.23,29.98,840067000
2018-11-02,30.53,32.19,27.12,30.91,942709000
2018-11-09,31.11,33.21,29.8,30.35,578264000
2018-11-16,30.0,30.35,27.83,28.62,590772000
2018-11-23,28.38,28.51,25.0,25.88,459557000
2018-11-30,26.06,29.08,25.38,28.61,657410000
2018-12-07,29.32,29.87,26.34,26.51,524590000
2018-12-14,26.42,28.18,26.06,26.68,492001000
2018-12-21,26.65,28.09,24.13,24.64,719637000
2018-12-28,24.2,26.19,23.12,25.61,471783000
2019-01-04,26.02,29.78,25.66,29.76,594881000
2019-01-11,30.21,34.11,30.17,33.76,802954000
2019-01-18,33.42,35.88,32.91,33.91,925585000
2019-01-25,33.49,34.0,31.86,33.81,537060000
2019-02-01,33.47,34.68,32.81,33.99,439051000
2019-02-08,34.26,36.0,33.8,34.76,402416000
2019-02-15,35.0,36.44,34.48,35.69,449687000
2019-02-22,35.58,36.67,35.39,36.3,288234000
2019-03-01,36.7,37.15,35.47,35.73,298571000
2019-03-08,35.97,36.29,34.25,34.96,326868000
2019-03-15,35.2,36.4,35.0,36.15,307119000
2019-03-22,36.25,37.9,35.68,36.1,428586000
2019-03-29,35.9,36.84,34.92,35.66,330593000
2019-04-05,35.9,37.34,35.85,36.55,260965000
2019-04-12,36.51,37.01,34.94,35.11,368117000
2019-04-19,35.07,36.88,34.23,36.03,539898000
2019-04-26,35.97,38.48,35.9,37.49,404896000
2019-05-03,37.37,38.6,36.83,38.5,274776000
2019-05-10,37.77,38.13,35.28,36.1,308797000
2019-05-17,35.23,36.4,34.14,35.44,308867000
2019-05-24,35.12,37.05,34.54,35.44,243387000
2019-05-31,35.44,36.12,34.29,34.33,194074000
2019-06-07,34.36,36.51,33.26,36.09,292486000
2019-06-14,36.37,36.71,33.62,33.97,290200000
2019-06-21,34.27,37.15,34.21,36.92,298018000
2019-06-28,37.03,37.5,35.83,36.73,229816000
2019-07-05,37.35,38.2,37.03,38.06,161488000
2019-07-12,37.82,38.48,36.27,37.33,268982000
2019-07-19,37.29,37.37,31.42,31.51,750370000
2019-07-26,31.2,33.6,30.58,33.58,604969000
2019-08-02,33.6,33.64,31.18,31.88,309151000
2019-08-09,31.1,31.66,29.68,30.89,354490000
2019-08-16,30.55,31.64,28.8,30.28,357119000
2019-08-23,30.62,31.17,29.03,29.14,292766000
2019-08-30,29.52,29.99,28.72,29.38,237957000
2019-09-06,29.08,29.4,28.28,29.02,224687000
2019-09-13,29.48,30.16,28.27,29.42,395528000
2019-09-20,29.42,29.92,26.6,27.08,501897000
2019-09-27,26.83,27.34,25.23,26.31,564729000
2019-10-04,26.4,27.55,25.7,27.28,418780000
2019-10-11,27.2,28.79,26.46,28.29,391916000
2019-10-18,28.39,30.88,27.34,27.53,910635000
2019-10-25,27.29,27.99,26.58,27.68,411103000
2019-11-01,27.81,29.35,27.74,28.68,306345000
2019-11-08,28.8,29.82,28.58,29.16,235044000
2019-11-15,28.92,29.64,28.11,29.5,317388000
2019-11-22,29.6,31.27,29.33,31.05,331049000
2019-11-29,30.88,31.68,30.52,31.47,197035000
2019-12-06,31.44,31.44,29.88,30.74,237970000
2019-12-13,30.74,31.15,29.2,29.85,304606000
2019-12-20,30.08,33.8,29.86,33.69,460306000
2019-12-27,33.78,33.79,32.6,32.91,164106000
2020-01-03,32.91,33.0,32.11,32.59,163175000
2020-01-10,32.31,34.34,32.12,32.9,268984000
2020-01-17,33.18,34.54,33.15,33.97,297299000
2020-01-24,34.0,35.99,32.36,35.32,722203000
2020-01-31,34.6,35.24,33.85,34.51,327327000
2020-02-07,34.72,37.53,34.63,36.68,285747000
2020-02-14,36.5,38.54,36.25,38.04,229135000
2020-02-21,37.93,39.29,37.67,38.01,180798000
2020-02-28,36.48,39.16,35.68,36.9,444880000
2020-03-06,37.31,39.35,35.69,36.9,377440000
2020-03-13,34.39,36.45,30.73,33.63,425757000
2020-03-20,30.66,35.05,29.02,33.28,546372000
2020-03-27,34.79,37.29,33.92,35.71,490337000
2020-04-03,36.3,38.3,35.75,36.18,341143000
2020-04-10,36.52,38.13,36.17,37.07,298505000
2020-04-17,37.13,44.95,36.77,42.3,655801000
2020-04-24,43.52,44.7,41.3,42.5,795294000
2020-05-01,42.5,42.9,39.36,41.53,423257000
2020-05-08,41.78,44.2,41.49,43.56,314373000
2020-05-15,43.63,45.5,42.73,45.42,333503000
2020-05-22,45.12,45.9,42.72,42.93,327309000
2020-05-29,42.78,42.85,39.79,41.97,292374000
2020-06-05,41.88,42.87,40.42,41.96,220646000
2020-06-12,41.6,44.56,40.65,41.81,314694000
2020-06-19,42.14,45.4,41.54,45.37,267175000
2020-06-26,45.5,47.4,44.22,44.34,279859000
2020-07-03,44.52,49.23,43.21,47.69,250999000
2020-07-10,48.08,55.59,47.98,54.87,466467000
2020-07-17,56.8,57.54,48.41,49.3,930394000
2020-07-24,48.91,50.62,46.75,48.04,434763000
2020-07-31,48.45,49.78,47.75,48.89,329865000
2020-08-07,49.09,51.08,48.67,49.47,254255000
2020-08-14,49.33,49.75,46.65,48.27,234120000
2020-08-21,48.42,49.89,47.91,49.23,181390000
2020-08-28,49.54,54.9,48.32,52.39,443440000
2020-09-04,52.12,55.74,48.6,51.6,377422000
2020-09-11,49.84,52.2,47.68,48.2,236962000
2020-09-18,48.06,50.47,45.86,47.0,291880000
2020-09-25,46.77,49.18,46.63,48.29,201628000
2020-10-02,48.91,52.96,47.79,50.31,271740000
2020-10-09,50.68,54.43,50.17,53.94,264436000
2020-10-16,54.88,57.25,53.0,53.08,319531000
2020-10-23,53.71,54.18,48.13,48.83,469462000
2020-10-30,48.7,51.39,47.22,47.57,347346000
2020-11-06,47.89,51.87,47.5,51.47,228448000
2020-11-13,48.55,49.65,46.34,48.28,322527000
2020-11-20,48.0,49.48,47.73,48.82,177890000
2020-11-27,49.05,49.33,47.58,49.14,153715000
2020-12-04,49.01,50.95,48.13,49.83,181043000
2020-12-11,50.0,52.15,49.13,50.32,189262000
2020-12-18,50.54,53.64,50.12,53.44,205438000
2020-12-25,53.01,53.26,51.22,51.4,93378000
2021-01-01,51.64,54.55,50.71,54.07,141829000
2021-01-08,53.9,54.08,49.95,51.04,195848000
2021-01-15,50.78,51.45,48.57,49.8,249019000
2021-01-22,50.1,59.33,49.35,56.52,643062000
2021-01-29,56.7,56.97,51.57,53.24,311957000
2021-02-05,53.68,55.95,53.17,55.08,180281000
2021-02-12,55.5,56.67,54.3,55.65,154142000
2021-02-19,55.73,56.36,53.82,54.02,99914000
2021-02-26,53.5,55.69,51.83,53.88,184686000
2021-03-05,54.56,55.7,49.88,51.64,215508000
2021-03-12,51.45,53.02,49.28,51.8,199195000
2021-03-19,51.63,53.34,50.16,51.22,180215000
2021-03-26,50.91,54.31,49.67,50.81,214409000
2021-04-02,50.57,54.05,50.44,53.94,131898000
2021-04-09,54.0,55.69,52.92,55.53,161852000
2021-04-16,55.1,55.97,53.85,54.65,157529000
2021-04-23,54.69,56.36,50.06,50.56,548125000
2021-04-30,50.68,51.46,49.9,51.35,208841000
2021-05-07,51.26,51.9,49.14,50.38,184873000
2021-05-14,50.2,50.31,47.86,49.34,192491000
2021-05-21,48.56,50.54,47.85,49.79,154497000
2021-05-28,50.1,51.18,49.85,50.28,137415000
2021-06-04,50.4,50.54,48.72,49.47,117995000
2021-06-11,49.29,49.88,48.21,48.88,157278000
2021-06-18,48.97,50.45,48.63,50.08,194334000
2021-06-25,50.16,53.31,49.23,52.71,236917000
2021-07-02,52.81,53.85,52.46,53.4,126891000
2021-07-09,53.3,54.46,52.86,53.6,115438000
2021-07-16,54.03,55.75,52.71,53.03,183478000
2021-07-23,52.6,53.66,50.47,51.54,308716000
2021-07-30,51.44,52.45,50.9,51.76,116771000
2021-08-06,51.9,52.68,50.54,52.06,111919000
2021-08-13,52.12,52.27,50.72,51.59,88656000
2021-08-20,51.52,55.14,51.23,54.69,181983000
2021-08-27,54.6,56.42,54.37,55.89,116252000
2021-09-03,55.72,59.88,55.65,59.05,193540000
2021-09-10,59.47,61.56,59.37,59.87,181509000
2021-09-17,59.86,59.86,57.54,58.94,152526000
2021-09-24,58.68,59.93,56.81,59.24,146573000
2021-10-01,58.79,61.9,57.69,61.31,238602000
2021-10-08,61.34,64.68,59.47,63.27,259396000
2021-10-15,63.32,63.94,62.2,62.83,152987000
2021-10-22,63.21,66.55,61.72,66.48,375473000
2021-10-29,66.37,69.1,65.71,69.03,156999000
2021-11-05,68.91,69.0,64.5,64.57,194829000
2021-11-12,65.03,68.33,64.21,68.26,147756000
2021-11-19,68.12,70.1,67.15,67.88,123090000
2021-11-26,67.6,67.95,64.61,66.56,98244000
2021-12-03,66.32,67.54,59.4,60.21,201815000
2021-12-10,60.6,63.25,60.1,61.17,135463000
2021-12-17,61.2,61.26,58.17,58.67,158987000
2021-12-24,58.64,61.69,58.43,61.41,96346000
2021-12-31,61.5,62.06,60.21,60.24,88525000
2022-01-07,60.56,61.0,53.82,54.11,207040000
2022-01-14,53.85,54.43,51.19,52.57,236875000
2022-01-21,52.01,52.66,38.0,39.75,807559000
2022-01-28,38.39,39.48,35.15,38.44,964671000
2022-02-04,40.2,45.85,39.66,41.02,746566000
2022-02-11,41.02,41.3,38.76,39.13,388014000
2022-02-18,38.76,40.94,38.57,39.13,293431000
2022-02-25,38.9,39.24,35.47,39.08,232221000
2022-03-04,38.73,39.78,35.72,36.17,250845000
2022-03-11,36.04,36.7,34.0,34.03,282850000
2022-03-18,33.87,38.18,32.98,38.06,324940000
2022-03-25,37.8,38.67,36.64,37.38,203013000
2022-04-01,37.52,39.65,36.67,37.35,230063000
2022-04-08,37.35,39.6,35.37,35.59,245653000
2022-04-15,35.0,35.94,33.99,34.11,151762000
2022-04-22,34.0,35.17,21.0,21.55,2504161000
2022-04-29,21.38,21.67,18.56,19.04,1085236000
2022-05-06,19.17,20.44,17.58,18.1,698066000
2022-05-13,17.77,18.78,16.27,18.76,713791000
2022-05-20,19.33,19.59,17.57,18.64,565652000
2022-05-27,18.61,19.52,17.72,19.52,424664000
2022-06-03,19.62,20.55,19.08,19.9,366296000
2022-06-10,20.21,20.74,18.08,18.29,374702000
2022-06-17,17.71,18.39,16.43,17.55,545084000
2022-06-24,17.76,19.12,16.98,19.08,461322000
2022-07-01,19.18,19.22,17.03,18.0,344124000
2022-07-08,17.63,19.02,17.27,18.7,252579000
2022-07-15,18.47,18.92,16.97,18.91,509771000
2022-07-22,19.25,22.93,18.84,22.04,1396574000
2022-07-29,22.13,23.08,21.16,22.49,489897000
2022-08-05,22.31,23.21,22.09,22.68,309694000
2022-08-12,22.75,25.16,22.47,24.93,412967000
2022-08-19,24.81,25.2,23.57,24.12,300765000
2022-08-26,23.25,23.69,22.32,22.33,284500000
2022-09-02,22.19,23.39,21.87,22.61,369235000
2022-09-09,22.56,23.48,21.47,23.36,290553000
2022-09-16,23.36,24.23,21.58,24.01,606461000
2022-09-23,24.5,25.05,22.14,22.64,643418000
2022-09-30,22.56,24.7,22.07,23.54,644197000
2022-10-07,23.78,24.58,22.43,22.48,524039000
2022-10-14,22.56,23.88,21.17,23.0,710245000
2022-10-21,23.44,29.08,23.44,28.96,1356160000
2022-10-28,29.02,30.56,28.04,29.57,687143000
2022-11-04,29.51,29.97,25.53,26.08,429712000
2022-11-11,26.11,29.07,25.21,29.01,421179000
2022-11-18,29.0,31.27,28.7,28.8,588820000
2022-11-25,29.1,29.25,27.73,28.55,226566000
2022-12-02,28.4,32.2,27.59,32.04,539159000
2022-12-09,31.65,32.9,30.21,32.0,450093000
2022-12-16,32.0,33.27,28.66,29.07,602529000
2022-12-23,28.97,30.07,28.08,29.5,315653000
2022-12-30,29.32,29.55,27.34,29.49,288979000
2023-01-06,29.81,31.68,28.87,31.56,333973000
2023-01-13,31.68,33.67,31.11,33.28,485616000
2023-01-20,33.11,34.4,31.34,34.25,634996000
2023-01-27,34.17,36.9,34.06,36.08,501706000
2023-02-03,35.84,37.94,34.87,36.59,360525000
2023-02-10,36.36,37.38,34.71,34.74,317297000
2023-02-17,34.95,36.38,34.24,34.8,262356000
2023-02-24,34.28,34.41,31.43,31.72,303259000
2023-03-03,32.39,33.0,31.04,31.52,255943000
2023-03-10,31.7,32.33,28.9,29.28,268960000
2023-03-17,28.73,31.66,28.53,30.35,362869000
