Date,Open,High,Low,Close,Volume
2015-04-03,50.62,50.92,49.17,49.83,22190400
2015-04-10,49.38,50.85,49.28,49.99,26762600
2015-04-17,49.99,50.37,49.07,49.28,27954400
2015-04-24,49.54,50.8,49.51,50.47,24241800
2015-05-01,50.63,51.0,49.23,50.39,29765600
2015-05-08,50.5,51.65,49.84,51.22,26119800
2015-05-15,51.21,52.51,50.8,52.49,27823000
2015-05-22,52.56,52.75,52.02,52.22,27525600
2015-05-29,52.22,52.38,50.52,50.83,25932000
2015-06-05,50.88,51.65,50.56,51.01,22944200
2015-06-12,50.8,52.56,50.39,51.89,24372200
2015-06-19,51.55,53.42,51.37,53.26,26984600
2015-06-26,53.43,55.17,52.33,54.85,46276000
2015-07-03,54.63,55.37,53.83,54.94,28360200
2015-07-10,54.54,55.67,54.5,55.26,30259600
2015-07-17,55.62,56.53,55.4,56.4,24505400
2015-07-24,56.63,57.35,56.24,56.49,29240200
2015-07-31,56.2,57.97,55.47,57.61,31108600
2015-08-07,57.76,58.86,56.55,57.26,29193200
2015-08-14,57.69,58.08,55.33,57.18,27440600
2015-08-21,57.06,58.03,53.42,53.44,36252800
2015-08-28,50.13,56.5,47.25,56.25,69798400
2015-09-04,56.19,56.24,54.01,54.85,38186400
2015-09-11,55.73,56.49,54.47,55.91,24813800
2015-09-18,55.76,58.4,55.4,57.53,49314600
2015-09-25,57.83,62.97,56.75,62.5,76678600
2015-10-02,62.25,62.6,59.53,62.6,58411600
2015-10-09,62.92,63.24,60.5,62.47,42090400
2015-10-16,62.6,65.29,62.51,65.24,38399800
2015-10-23,65.86,66.76,64.46,65.26,47008600
2015-10-30,65.14,66.11,64.83,65.51,32314000
2015-11-06,65.86,66.47,64.73,65.89,26711200
2015-11-13,65.62,65.71,60.58,60.93,45805600
2015-11-20,60.9,66.4,60.21,66.32,57948200
2015-11-27,66.41,67.65,65.63,67.17,23964000
2015-12-04,66.96,67.1,64.5,66.17,41621600
2015-12-11,66.38,66.45,62.83,63.15,33197200
2015-12-18,63.31,65.93,63.06,64.26,43608600
2015-12-25,64.84,68.19,62.15,63.18,97399500
2016-01-01,63.21,64.48,62.5,62.5,27768000
2016-01-08,61.11,62.59,58.66,58.87,49471600
2016-01-15,58.97,60.82,56.59,57.56,53258800
2016-01-22,58.19,61.47,56.75,60.88,50710200
2016-01-29,61.09,62.16,59.2,62.01,47664500
2016-02-05,61.75,63.5,56.98,57.17,49791400
2016-02-12,56.1,58.18,53.64,56.42,68827400
2016-02-19,57.57,59.31,56.82,59.31,38129400
2016-02-26,59.31,63.49,59.2,62.6,46839200
2016-03-04,62.46,63.1,60.38,61.26,38828500
2016-03-11,61.07,61.14,57.95,60.08,53141400
2016-03-18,60.19,63.98,60.1,62.99,43417300
2016-03-25,63.55,65.44,61.12,61.65,71066600
2016-04-01,61.58,62.64,61.15,61.59,39409200
2016-04-08,61.73,61.85,59.19,59.42,50133500
2016-04-15,59.73,60.34,56.89,59.5,51132400
2016-04-22,59.38,60.53,58.97,59.43,35298800
2016-04-29,59.34,59.97,58.1,58.94,34001800
2016-05-06,59.09,59.96,57.38,58.43,39925900
2016-05-13,58.59,59.99,56.85,57.31,41504400
2016-05-20,57.27,57.53,55.41,56.48,50321200
2016-05-27,56.6,56.97,55.6,56.19,46389900
2016-06-03,56.41,56.47,52.92,53.45,73810400
2016-06-10,53.77,55.36,53.55,55.11,63004200
2016-06-17,55.0,55.64,52.94,53.71,51129800
2016-06-24,54.23,55.18,52.18,52.59,53428200
2016-07-01,52.0,55.81,51.48,55.61,98823900
2016-07-08,55.34,56.82,54.82,56.72,33713400
2016-07-15,56.83,58.87,56.71,57.87,45127000
2016-07-22,58.0,58.16,56.43,56.73,36670700
2016-07-29,56.87,57.87,54.98,55.5,42025900
2016-08-05,55.73,56.06,54.28,55.85,39291900
2016-08-12,56.13,56.89,55.07,56.45,36165700
2016-08-19,56.65,59.14,56.42,58.9,39109300
2016-08-26,58.82,60.33,58.3,59.0,46576000
2016-09-02,59.2,59.25,57.19,58.02,35057300
2016-09-09,58.25,58.38,55.27,55.33,41360200
2016-09-16,55.0,56.12,54.81,55.18,40450800
2016-09-23,55.38,55.98,54.61,55.15,41250100
2016-09-30,54.8,55.54,52.12,52.65,92721900
2016-10-07,52.54,53.06,51.68,51.79,43412800
2016-10-14,52.13,52.71,51.5,51.62,39533700
2016-10-21,51.65,52.36,50.96,51.77,37459700
2016-10-28,52.16,52.5,50.71,52.02,51990500
2016-11-04,50.88,51.15,49.01,49.96,60411500
2016-11-11,50.48,51.49,49.8,50.77,44145400
2016-11-18,51.18,51.89,49.75,51.1,39257200
2016-11-25,51.0,51.85,50.95,51.52,17463700
2016-12-02,51.44,51.44,50.06,50.46,37409600
2016-12-09,50.8,52.47,50.26,51.72,50070800
2016-12-16,51.5,53.22,50.67,50.92,54467000
2016-12-23,50.91,53.35,50.48,51.91,69831900
2016-12-30,51.8,52.25,50.7,50.83,26558100
2017-01-06,51.99,54.09,51.77,53.91,48269700
2017-01-13,53.96,53.99,52.16,52.92,39148600
2017-01-20,53.4,53.95,52.86,53.2,32813200
2017-01-27,53.02,54.12,52.72,53.19,33586000
2017-02-03,52.78,53.26,51.63,52.36,47649200
2017-02-10,52.09,56.47,52.05,56.22,52402000
2017-02-17,56.17,56.92,55.75,56.75,44235400
2017-02-24,56.38,58.42,56.2,57.86,43869900
2017-03-03,57.65,58.25,56.51,56.7,36505900
2017-03-10,56.7,56.99,56.02,56.43,36674100
2017-03-17,56.43,58.01,56.11,57.8,47276800
2017-03-24,58.0,59.0,53.76,56.36,104322600
2017-03-31,55.64,57.1,55.54,55.73,37059800
2017-04-07,55.74,55.94,54.5,55.11,36424700
2017-04-14,55.0,55.62,54.5,55.34,23607500
2017-04-21,55.32,56.69,55.25,55.85,32210200
2017-04-28,56.14,56.21,54.91,55.41,45680400
2017-05-05,55.43,55.45,53.56,53.95,41930200
2017-05-12,54.18,55.08,53.4,54.2,33098200
2017-05-19,54.12,54.2,50.81,51.77,83730200
2017-05-26,51.77,52.76,51.4,52.59,47691200
2017-06-02,52.76,53.3,52.21,52.98,48841700
2017-06-09,53.0,54.14,52.43,53.46,38243200
2017-06-16,53.51,54.67,50.79,51.1,66450600
2017-06-23,51.42,52.92,51.1,52.85,54146600
2017-06-30,52.95,59.71,52.64,59.0,84721400
2017-07-07,58.37,59.01,57.0,57.98,43258100
2017-07-14,57.89,58.93,57.64,58.0,37862400
2017-07-21,58.0,60.0,57.39,59.95,39222400
2017-07-28,59.69,59.77,57.97,58.67,31558200
2017-08-04,58.71,60.53,58.33,59.76,29528900
2017-08-11,59.82,60.12,58.59,58.97,25529100
2017-08-18,59.15,60.0,54.17,54.95,52356400
2017-08-25,54.44,54.44,53.11,53.9,40790000
2017-09-01,54.07,54.43,52.07,53.36,38482500
