Date,Open,High,Low,Close,Volume
2015-04-03,24.35,25.26,23.53,23.99,25593200
2015-04-10,23.93,25.31,23.59,24.57,19776500
2015-04-17,24.62,25.35,24.15,24.96,18967700
2015-04-24,25.1,26.93,24.6,25.53,24032400
2015-05-01,25.46,25.73,24.88,25.24,23714800
2015-05-08,25.29,26.78,24.39,26.4,27135200
2015-05-15,26.41,26.62,25.53,26.1,17758200
2015-05-22,25.99,26.16,25.55,25.97,9801900
2015-05-29,25.88,25.88,24.85,25.2,15597500
2015-06-05,25.17,25.3,23.91,24.38,17300400
2015-06-12,24.35,25.23,23.85,24.18,19506800
2015-06-19,24.1,25.18,23.74,24.92,18086100
2015-06-26,25.01,25.39,24.06,24.2,18796500
2015-07-03,24.08,24.17,22.23,22.6,20418500
2015-07-10,22.78,23.22,21.65,21.76,21818700
2015-07-17,21.88,22.83,21.64,22.24,14246500
2015-07-24,22.29,22.3,20.95,21.4,25401800
2015-07-31,21.4,23.07,21.28,22.45,20495700
2015-08-07,22.39,22.6,19.19,19.6,43248700
2015-08-14,19.41,20.83,18.95,20.79,25428700
2015-08-21,20.73,21.28,19.49,19.58,22968700
2015-08-28,19.03,20.45,18.55,20.22,33605700
2015-09-04,20.03,20.31,17.92,17.93,26989700
2015-09-11,18.29,18.76,17.69,18.45,19913200
2015-09-18,18.47,19.53,17.75,17.98,40229200
2015-09-25,18.25,18.37,14.94,15.07,66259600
2015-10-02,15.07,15.17,14.43,14.87,55433300
2015-10-09,15.0,16.11,15.0,15.46,43900400
2015-10-16,15.51,15.58,14.55,15.02,25102800
2015-10-23,14.88,15.38,13.96,14.02,27064000
2015-10-30,14.03,14.05,12.62,12.89,42099400
2015-11-06,12.86,14.54,12.75,13.51,40148400
2015-11-13,13.48,13.8,12.33,12.61,33694800
2015-11-20,12.54,12.83,11.63,12.0,32832100
2015-11-27,12.09,12.68,11.55,11.62,23191900
2015-12-04,11.67,12.65,8.81,9.0,76251400
2015-12-11,8.91,10.85,8.8,10.14,59837200
2015-12-18,10.12,10.41,9.12,10.37,58332700
2015-12-25,10.22,11.76,10.05,11.5,29367700
2016-01-01,11.5,11.94,11.02,11.77,18658200
2016-01-08,11.57,12.04,10.73,11.34,34525700
2016-01-15,11.33,11.37,9.52,10.11,43278600
2016-01-22,10.22,10.48,8.92,9.93,33447300
2016-01-29,9.63,10.79,8.93,10.64,34218400
2016-02-05,10.63,12.14,10.11,11.57,42824900
2016-02-12,11.42,11.92,9.03,9.58,32055800
2016-02-19,9.57,10.75,9.5,10.01,23955000
