Date,Open,High,Low,Close,Volume
2015-03-27,36.52,36.84,34.98,35.1,24829800
2015-04-03,35.22,35.93,34.94,35.63,13553700
2015-04-10,35.36,36.16,35.19,35.47,16652500
2015-04-17,35.47,36.75,35.23,35.97,18524500
2015-04-24,36.24,36.43,35.74,36.12,11908800
2015-05-01,36.12,37.07,35.96,36.69,11127100
2015-05-08,36.7,36.98,35.23,35.65,10979800
2015-05-15,35.28,36.1,34.62,35.4,21211300
2015-05-22,35.37,35.68,30.85,33.14,53331800
2015-05-29,32.97,33.42,32.33,33.4,21354600
2015-06-05,33.27,34.0,32.87,33.94,23648800
2015-06-12,33.95,33.98,32.92,33.48,19673200
2015-06-19,33.35,34.07,32.97,33.93,19153700
2015-06-26,34.0,34.72,32.24,32.36,23559000
2015-07-03,32.04,32.37,31.38,31.5,13746900
2015-07-10,31.22,31.63,30.26,30.6,18111900
2015-07-17,30.69,31.4,30.5,31.14,17166900
2015-07-24,31.19,32.18,30.25,31.1,18678000
2015-07-31,30.87,31.64,30.62,31.15,16563700
2015-08-07,31.17,31.45,30.44,30.52,11935700
2015-08-14,30.75,31.68,30.28,30.75,12154000
2015-08-21,30.25,32.29,29.54,30.21,34520900
2015-08-28,28.96,31.84,28.88,31.62,28834600
2015-09-04,31.52,32.04,30.52,30.57,18781000
2015-09-11,30.9,31.95,30.78,31.58,10343700
2015-09-18,31.62,32.73,31.05,31.36,18568500
2015-09-25,31.43,31.72,29.11,29.57,19157300
2015-10-02,29.36,29.93,28.75,29.93,16814200
2015-10-09,30.18,33.2,30.12,33.16,17159300
2015-10-16,33.57,33.95,32.68,33.82,16413000
2015-10-23,33.74,34.81,33.32,34.67,12257100
2015-10-30,33.92,34.09,32.86,34.0,13613200
2015-11-06,33.93,34.73,33.77,34.4,12659500
2015-11-13,34.31,34.38,30.83,31.31,16684000
2015-11-20,31.28,31.94,30.12,31.05,22912800
2015-11-27,31.11,31.59,30.59,30.69,7228300
2015-12-04,30.73,31.31,30.22,31.28,15172800
2015-12-11,31.3,31.64,28.94,29.06,18652400
2015-12-18,29.37,29.37,27.41,27.6,26906800
2015-12-25,27.84,27.84,25.21,26.52,21655600
2016-01-01,26.49,27.01,26.17,26.53,13108900
2016-01-08,26.16,26.24,22.93,23.0,23209500
2016-01-15,23.2,23.43,21.46,22.25,27069900
2016-01-22,22.56,22.58,20.66,21.51,15690800
2016-01-29,21.56,22.38,21.18,21.93,21557400
2016-02-05,21.69,23.15,21.32,22.64,19325100
2016-02-12,22.33,22.87,20.89,21.89,22587700
2016-02-19,22.08,24.8,21.88,24.64,28469900
2016-02-26,24.87,25.56,23.88,25.12,21625700
2016-03-04,25.04,26.37,24.8,26.0,17373900
