Date,Open,High,Low,Close,Volume
2018-01-05,52.6,56.18,51.81,55.73,7071800
2018-01-12,55.39,55.49,51.51,53.43,9121300
2018-01-19,53.83,53.92,52.69,53.0,6646100
2018-01-26,53.24,54.35,52.75,54.0,8880600
2018-02-02,53.57,54.07,49.84,49.98,7780900
2018-02-09,49.43,49.96,40.41,44.51,16061600
2018-02-16,44.83,45.83,44.14,44.42,8776300
2018-02-23,44.28,50.67,44.22,50.32,11381400
2018-03-02,50.5,51.07,48.66,49.48,10990200
2018-03-09,49.35,53.75,49.25,52.15,13688500
2018-03-16,52.05,52.24,49.54,49.57,7839200
2018-03-23,49.26,49.42,46.96,46.99,7558300
2018-03-30,47.22,48.0,45.77,47.26,7730200
2018-04-06,47.27,47.27,44.04,44.95,8241700
2018-04-13,45.13,47.5,44.81,46.68,4586600
2018-04-20,46.66,48.43,46.37,46.74,4214700
2018-04-27,46.72,46.95,45.26,46.26,5091100
2018-05-04,46.43,46.83,44.94,46.53,5301800
2018-05-11,46.5,49.58,45.9,48.87,9710500
2018-05-18,49.19,52.02,48.99,51.44,8552600
2018-05-25,51.98,52.73,50.4,50.7,6805000
2018-06-01,49.91,51.22,49.54,50.76,5199200
2018-06-08,50.81,53.11,50.2,52.67,9406100
2018-06-15,52.46,54.0,52.32,53.55,11355600
2018-06-22,53.29,54.17,51.38,53.69,10146300
2018-06-29,54.01,55.18,53.26,54.38,11016800
2018-07-06,54.01,54.72,53.15,54.01,4185400
2018-07-13,54.2,54.52,52.21,53.07,6753400
2018-07-20,53.0,53.58,51.5,52.45,6937900
2018-07-27,52.57,54.44,51.78,53.78,8122000
2018-08-03,53.9,58.03,53.15,57.75,10315800
2018-08-10,57.85,58.7,56.38,57.06,7272600
2018-08-17,57.02,57.13,54.3,55.96,5787600
2018-08-24,56.32,56.34,54.38,55.24,5276500
2018-08-31,55.82,58.09,55.72,56.63,10284100
2018-09-07,55.52,55.96,53.81,54.82,5242300
2018-09-14,55.0,56.75,54.86,55.97,9922400
2018-09-21,56.93,58.81,56.8,57.28,11933100
2018-09-28,57.29,58.34,56.51,57.7,6716500
2018-10-05,58.2,58.79,57.5,58.02,6806800
2018-10-12,57.9,58.99,53.73,54.07,8858000
2018-10-19,53.63,56.67,53.56,55.84,9848400
2018-10-26,55.79,56.07,50.49,51.7,9831600
2018-11-02,52.08,55.88,50.54,55.17,8014500
2018-11-09,55.09,57.97,53.6,56.15,10858100
2018-11-16,56.16,56.16,52.04,53.75,6379900
2018-11-23,53.6,53.75,50.11,50.63,4494800
2018-11-30,51.18,51.96,49.85,51.56,7067900
2018-12-07,52.61,52.92,49.1,49.86,8391800
2018-12-14,49.44,50.19,46.52,46.98,9798000
2018-12-21,47.0,47.37,44.42,44.75,12602200
2018-12-28,44.27,47.36,43.96,46.2,6170500
2019-01-04,46.52,47.19,44.88,47.13,5385000
2019-01-11,47.31,50.14,46.84,49.87,7350800
2019-01-18,49.43,51.72,48.88,51.29,5744300
2019-01-25,51.3,51.9,50.24,51.66,5865300
2019-02-01,51.1,52.52,50.47,52.21,7338000
2019-02-08,52.17,52.67,50.21,52.66,10069500
2019-02-15,52.75,54.37,51.88,53.44,6993700
2019-02-22,53.13,54.94,52.51,54.19,5956100
2019-03-01,54.48,56.0,54.15,54.68,7331800
2019-03-08,54.8,55.21,52.14,52.84,9383000
2019-03-15,52.98,54.54,52.84,53.5,10610000
2019-03-22,53.48,54.2,50.43,50.47,11299200
2019-03-29,50.35,52.96,50.11,52.76,8579700
2019-04-05,53.19,54.78,52.69,54.07,6041000
2019-04-12,54.17,54.38,51.58,52.13,8083200
2019-04-19,52.19,54.08,52.1,54.02,5375500
2019-04-26,53.88,54.24,52.78,53.79,6024200
2019-05-03,53.78,54.48,52.43,53.99,7387100
2019-05-10,52.88,53.8,49.72,52.13,12978300
2019-05-17,51.33,51.33,49.33,49.4,9084400
2019-05-24,49.0,49.2,46.87,48.17,9878300
2019-05-31,48.3,49.38,47.4,48.74,9804300
2019-06-07,48.98,52.09,48.89,51.65,10163000
2019-06-14,51.8,53.82,51.37,53.27,9159000
2019-06-21,53.43,55.1,53.17,54.76,9359200
2019-06-28,54.91,55.34,53.14,53.46,6721900
2019-07-05,54.03,54.23,52.64,53.51,5226700
2019-07-12,53.34,53.34,49.65,49.94,14200300
2019-07-19,50.02,51.8,49.69,51.49,7424900
2019-07-26,51.55,52.27,50.08,50.83,6378600
2019-08-02,50.89,55.25,49.6,53.52,12079400
2019-08-09,52.83,53.29,50.77,52.62,6211400
2019-08-16,52.56,52.62,48.53,49.78,7327200
2019-08-23,50.1,50.29,47.84,48.03,3804200
2019-08-30,48.27,50.49,48.26,50.36,4423600
2019-09-06,49.95,51.75,49.14,51.66,4068600
2019-09-13,51.72,52.33,50.92,51.72,5035000
2019-09-20,51.8,52.41,51.0,51.57,4183800
2019-09-27,51.39,51.4,48.69,49.45,5803700
2019-10-04,49.49,50.87,48.27,48.47,5344700
2019-10-11,48.42,51.07,48.06,50.89,4232100
2019-10-18,50.55,50.85,48.79,48.99,3727900
2019-10-25,49.34,49.55,48.0,49.35,8417300
2019-11-01,49.53,49.84,47.75,48.28,5936100
2019-11-08,48.56,50.78,48.01,49.11,6441200
2019-11-15,48.77,49.77,48.37,49.37,4821400
2019-11-22,49.11,49.3,46.17,46.57,4932500
2019-11-29,46.94,47.78,46.75,47.42,4903200
2019-12-06,47.56,47.56,45.82,46.77,5251300
2019-12-13,46.68,47.69,46.1,47.62,8272400
2019-12-20,48.0,49.23,47.91,48.74,5742500
2019-12-27,48.7,49.17,48.05,48.1,3815700
2020-01-03,47.74,48.4,46.81,46.85,4001400
2020-01-10,46.67,47.99,46.39,47.21,6741500
