Date,Open,High,Low,Close,Volume
2015-03-27,0.57,0.58,0.51,0.53,1929252000
2015-04-03,0.54,0.54,0.52,0.53,1133500000
2015-04-10,0.52,0.57,0.52,0.57,1934420000
2015-04-17,0.57,0.57,0.55,0.56,1149480000
2015-04-24,0.56,0.56,0.54,0.55,1169840000
2015-05-01,0.55,0.57,0.55,0.57,1153908000
2015-05-08,0.57,0.57,0.51,0.52,2491248000
2015-05-15,0.51,0.54,0.51,0.53,1750344000
2015-05-22,0.53,0.54,0.52,0.52,1227888000
2015-05-29,0.52,0.56,0.51,0.55,1354888000
2015-06-05,0.56,0.56,0.54,0.56,1484784000
2015-06-12,0.55,0.56,0.53,0.53,1735940000
2015-06-19,0.52,0.55,0.52,0.55,1452044000
2015-06-26,0.55,0.55,0.52,0.52,1953424000
2015-07-03,0.51,0.52,0.5,0.51,1156296000
2015-07-10,0.51,0.51,0.48,0.49,1715816000
2015-07-17,0.5,0.5,0.49,0.5,1230640000
2015-07-24,0.5,0.5,0.48,0.49,1053364000
2015-07-31,0.48,0.51,0.48,0.5,1031928000
2015-08-07,0.5,0.58,0.5,0.57,2952784000
2015-08-14,0.57,0.6,0.57,0.59,1972896000
2015-08-21,0.59,0.59,0.54,0.54,1619808000
2015-08-28,0.51,0.57,0.5,0.57,2704652000
2015-09-04,0.57,0.57,0.54,0.54,1467332000
2015-09-11,0.56,0.57,0.55,0.57,1186500000
2015-09-18,0.57,0.59,0.56,0.58,1289068000
2015-09-25,0.58,0.6,0.56,0.59,1423960000
2015-10-02,0.59,0.62,0.58,0.62,2208140000
2015-10-09,0.62,0.66,0.62,0.65,2128708000
2015-10-16,0.65,0.7,0.65,0.7,2112624000
2015-10-23,0.7,0.72,0.68,0.71,1634476000
2015-10-30,0.72,0.72,0.69,0.71,1301068000
2015-11-06,0.71,0.8,0.69,0.79,2660192000
2015-11-13,0.78,0.79,0.74,0.75,2248744000
2015-11-20,0.75,0.79,0.75,0.78,1445360000
2015-11-27,0.79,0.79,0.77,0.78,663276000
2015-12-04,0.79,0.85,0.78,0.84,1736392000
2015-12-11,0.84,0.84,0.81,0.81,1484668000
2015-12-18,0.81,0.84,0.8,0.8,1469600000
2015-12-25,0.81,0.83,0.81,0.83,589200000
2016-01-01,0.82,0.85,0.81,0.82,674556000
2016-01-08,0.81,0.84,0.74,0.74,2341468000
2016-01-15,0.74,0.77,0.67,0.68,2802088000
2016-01-22,0.69,0.72,0.66,0.71,1677772000
2016-01-29,0.71,0.73,0.69,0.73,1317652000
2016-02-05,0.73,0.74,0.66,0.66,1907132000
2016-02-12,0.65,0.66,0.62,0.64,2050984000
2016-02-19,0.65,0.77,0.65,0.76,2851108000
2016-02-26,0.77,0.8,0.76,0.79,1867480000
2016-03-04,0.79,0.83,0.78,0.81,1383164000
