Date,Open,High,Low,Close,Volume
2018-04-27,23.01,24.0,22.51,22.85,439400
2018-05-04,23.26,26.0,21.0,24.9,62568500
2018-05-11,24.44,26.34,23.66,25.59,20713900
2018-05-18,26.0,26.0,24.65,25.28,7740900
2018-05-25,25.28,26.77,25.14,26.36,6482000
2018-06-01,26.33,27.86,26.12,26.8,7375500
2018-06-08,26.89,28.93,26.8,27.48,5851600
2018-06-15,27.46,27.82,25.96,26.8,8607500
2018-06-22,26.59,27.43,26.3,26.79,7492900
2018-06-29,26.76,26.84,24.36,25.1,4690500
2018-07-06,25.04,25.2,24.33,24.68,2317900
2018-07-13,24.62,25.69,24.14,24.99,4637300
2018-07-20,24.99,25.69,24.16,24.59,4284000
2018-07-27,24.7,28.25,24.6,26.92,9921100
2018-08-03,26.98,28.18,26.68,28.06,11750500
2018-08-10,28.12,29.84,27.84,27.95,5216100
2018-08-17,28.17,28.17,26.21,27.3,2558700
2018-08-24,27.38,28.31,27.29,27.98,2079600
2018-08-31,27.96,28.82,27.57,28.09,2913200
2018-09-07,28.08,28.73,27.55,27.94,2256900
2018-09-14,28.08,29.02,27.67,28.41,3315900
2018-09-21,28.37,29.65,27.86,29.42,4153500
2018-09-28,29.35,29.64,26.75,27.16,11419500
2018-10-05,27.3,27.91,26.24,26.67,3826700
2018-10-12,26.62,27.3,23.74,24.13,4113600
2018-10-19,24.28,25.91,23.9,24.4,6941900
2018-10-26,24.47,24.8,21.23,23.92,10085700
2018-11-02,24.24,25.47,23.37,25.42,6157600
2018-11-09,25.25,27.07,25.17,25.69,3339000
2018-11-16,25.57,25.73,24.17,24.59,5254800
2018-11-23,24.4,25.45,24.09,25.2,1871000
2018-11-30,25.43,25.89,24.17,25.02,3391100
2018-12-07,25.55,25.86,22.96,23.1,2579200
2018-12-14,22.95,23.51,22.25,22.56,2714900
2018-12-21,22.53,22.61,19.71,20.37,6300500
2018-12-28,20.09,22.35,19.87,21.98,2371200
2019-01-04,22.05,22.75,21.51,22.35,2800000
2019-01-11,22.52,23.38,21.89,23.25,4059500
2019-01-18,23.19,24.84,22.91,24.66,2929900
2019-01-25,24.36,24.95,24.01,24.91,2592400
2019-02-01,24.55,25.79,23.68,24.94,7539200
2019-02-08,24.9,25.58,24.76,25.4,7077400
2019-02-15,25.45,26.97,25.31,26.95,4117300
2019-02-22,27.12,27.65,26.57,27.42,2722900
2019-03-01,27.5,28.0,27.15,27.77,5615000
2019-03-08,27.89,28.06,26.58,26.72,4310100
2019-03-15,26.67,27.52,26.67,27.01,5866900
2019-03-22,27.1,27.77,25.73,25.77,5064500
2019-03-29,25.73,27.42,25.64,26.98,5380400
2019-04-05,27.18,28.11,27.18,27.94,3472600
2019-04-12,27.88,28.34,27.0,28.0,6266100
2019-04-19,27.99,28.24,27.78,28.14,5062700
2019-04-26,27.87,28.49,26.59,27.47,8301100
2019-05-03,27.45,28.25,27.03,27.31,10562600
2019-05-10,26.79,27.33,25.78,26.02,6376200
2019-05-17,25.44,26.16,25.0,25.11,6096500
2019-05-24,24.96,25.34,23.68,24.01,7882800
2019-05-31,24.19,24.28,22.8,23.06,4206300
2019-06-07,23.1,24.2,23.03,23.96,5717800
2019-06-14,24.06,24.74,23.57,23.9,5368300
2019-06-21,23.98,24.59,23.86,24.29,4997700
2019-06-28,24.33,25.05,24.13,24.79,5487400
2019-07-05,25.17,25.5,24.89,25.35,3952800
2019-07-12,25.2,25.42,24.08,24.72,3876300
2019-07-19,24.79,25.04,24.14,24.19,3794700
2019-07-26,24.14,25.3,24.1,24.93,6796700
2019-08-02,24.98,25.34,21.48,21.57,10158600
2019-08-09,21.13,21.63,20.42,21.24,6184600
2019-08-16,21.09,22.25,20.55,20.97,6597100
2019-08-23,21.35,21.46,20.1,20.14,4111500
2019-08-30,20.27,20.34,19.28,20.26,4992300
2019-09-06,20.05,21.33,19.57,21.3,5025100
2019-09-13,21.43,22.97,21.28,22.3,7751600
2019-09-20,22.28,22.42,21.61,21.88,9778200
2019-09-27,21.55,22.07,21.17,21.9,7974800
2019-10-04,21.92,22.17,19.33,19.6,9655900
2019-10-11,19.53,20.73,19.04,20.18,6019300
2019-10-18,20.07,21.21,20.04,21.12,6786600
2019-10-25,21.32,22.19,21.21,21.8,5955700
2019-11-01,22.04,23.44,21.74,23.3,11742100
2019-11-08,23.6,24.28,23.53,23.93,6806100
