Date,Open,High,Low,Close,Volume
2015-04-03,16.22,16.45,15.88,16.18,9517600
2015-04-10,16.04,16.39,15.84,15.92,10024200
2015-04-17,15.93,16.19,15.54,15.59,14494500
2015-04-24,15.67,15.74,15.41,15.53,13006800
2015-05-01,15.59,16.08,15.51,16.05,16896400
2015-05-08,16.05,16.27,14.82,15.14,30249600
2015-05-15,15.12,15.92,15.12,15.55,21090500
2015-05-22,15.56,15.74,15.38,15.54,12676400
2015-05-29,15.55,15.64,15.15,15.15,10717700
2015-06-05,15.2,15.47,14.85,15.0,9746200
2015-06-12,14.93,14.98,14.37,14.41,11365100
2015-06-19,14.33,14.99,14.17,14.97,19339100
2015-06-26,15.01,15.2,14.65,15.2,22291900
2015-07-03,15.04,15.11,14.33,14.6,13432800
2015-07-10,14.45,14.53,14.04,14.25,12207800
2015-07-17,14.32,14.84,14.21,14.81,11474900
2015-07-24,14.81,14.92,14.48,14.86,15103900
2015-07-31,15.07,15.08,14.46,14.73,14753000
2015-08-07,14.76,14.77,13.73,14.11,14368600
2015-08-14,14.2,15.92,13.59,15.18,23054500
2015-08-21,15.1,15.3,13.91,13.91,16133000
2015-08-28,13.1,13.89,12.67,13.8,35374200
2015-09-04,13.75,13.8,12.81,12.82,20226200
2015-09-11,13.09,13.66,12.85,13.05,15213300
2015-09-18,12.99,13.48,12.74,12.92,37496600
2015-09-25,12.96,13.23,12.63,12.75,15300200
2015-10-02,12.67,13.05,12.16,13.04,19438300
2015-10-09,13.34,14.12,13.18,13.96,18784900
2015-10-16,13.98,14.61,13.77,14.59,16110100
2015-10-23,14.55,15.02,14.23,15.0,14412700
2015-10-30,15.01,15.44,14.41,15.4,19394900
2015-11-06,15.36,15.68,14.7,14.88,17740600
2015-11-13,14.57,14.76,13.78,13.78,16184400
2015-11-20,13.79,14.42,13.76,14.26,13521700
2015-11-27,14.03,14.49,13.97,14.25,6704800
2015-12-04,14.3,14.66,13.59,14.06,12796900
