Date,Open,High,Low,Close,Volume
2015-03-27,108.17,108.5,93.05,99.92,26156400
2015-04-03,101.02,103.99,98.08,99.27,11519100
2015-04-10,97.66,102.93,97.16,101.34,11448900
2015-04-17,101.23,102.53,97.8,99.73,9964900
2015-04-24,100.58,103.12,93.76,95.33,15835600
2015-05-01,96.71,102.28,93.45,100.99,20012900
2015-05-08,101.22,104.8,96.43,103.98,15042900
2015-05-15,104.1,104.94,101.5,102.72,10906900
2015-05-22,102.85,108.0,101.53,107.18,14054600
2015-05-29,107.88,112.81,105.78,112.25,15711400
2015-06-05,113.23,114.0,105.87,106.98,13899700
2015-06-12,107.02,107.12,101.15,103.81,11365900
2015-06-19,102.67,106.57,101.43,104.62,13353000
2015-06-26,105.79,106.44,100.16,100.52,10745800
2015-07-03,98.28,101.17,95.79,98.12,10460800
2015-07-10,96.71,99.18,89.77,92.73,23947700
2015-07-17,93.9,95.42,89.67,91.28,20168100
2015-07-24,91.83,94.49,85.72,90.28,23352300
2015-07-31,88.95,100.26,86.93,96.99,22053500
2015-08-07,96.47,98.15,93.24,96.34,16782200
2015-08-14,96.82,99.47,90.05,91.62,21036700
2015-08-21,90.84,92.19,78.47,80.33,27311300
2015-08-28,73.59,88.25,72.05,86.73,26330100
2015-09-04,85.75,86.85,81.32,84.43,15468800
2015-09-11,87.13,94.9,85.13,88.41,16610300
2015-09-18,89.94,92.99,88.22,90.08,13960300
2015-09-25,90.15,91.6,80.79,86.71,16747400
2015-10-02,86.75,87.4,80.88,85.88,15367300
2015-10-09,86.11,88.08,81.93,87.32,16622400
2015-10-16,88.51,95.16,86.63,93.22,17542500
2015-10-23,93.52,98.09,91.05,96.09,21680000
2015-10-30,94.6,95.26,72.53,78.35,63953600
2015-11-06,77.64,81.27,75.9,80.89,23966700
2015-11-13,80.79,82.64,77.71,77.82,15835500
2015-11-20,77.7,82.29,77.37,79.77,13781500
2015-11-27,79.07,88.76,78.28,88.36,18032000
2015-12-04,88.5,94.21,88.42,90.45,50953300
2015-12-11,90.99,90.99,83.2,83.28,26547900
2015-12-18,83.17,87.73,81.85,84.1,16983600
2015-12-25,85.25,87.16,83.91,86.42,7563400
2016-01-01,85.84,86.66,84.15,84.25,6838300
2016-01-08,82.0,85.76,74.51,75.18,24878200
2016-01-15,75.69,78.97,66.93,68.65,29060100
2016-01-22,69.89,75.55,67.11,74.72,19283300
2016-01-29,74.11,74.79,69.39,74.78,15289900
