Date,Open,High,Low,Close,Volume
2015-03-27,13.79,13.83,13.15,13.41,1933500
2015-04-03,13.5,13.92,13.37,13.55,2795800
2015-04-10,13.5,13.94,13.31,13.32,3111400
2015-04-17,13.29,13.53,12.97,12.99,2651600
2015-04-24,13.05,13.31,12.86,13.16,2036500
2015-05-01,13.16,13.74,12.78,13.6,4583100
2015-05-08,13.9,14.04,13.33,13.76,5996300
2015-05-15,13.73,14.19,13.63,13.94,3549100
2015-05-22,13.9,14.33,13.9,14.05,2226800
2015-05-29,14.0,14.25,13.86,13.9,2014500
2015-06-05,14.0,14.38,13.79,14.29,3488500
2015-06-12,14.28,14.35,13.82,13.98,3051000
2015-06-19,13.85,14.4,13.67,14.28,3121600
2015-06-26,14.32,14.51,14.09,14.35,3276200
2015-07-03,14.21,14.3,13.52,13.66,2791100
2015-07-10,13.51,13.66,12.8,13.25,3573500
2015-07-17,13.26,13.55,13.15,13.21,2295200
2015-07-24,13.21,13.49,13.14,13.27,2719800
2015-07-31,13.17,13.33,12.99,13.22,2705700
2015-08-07,13.23,13.43,12.37,13.19,3891900
2015-08-14,13.29,13.43,12.67,12.92,2773800
2015-08-21,12.9,13.11,11.82,12.26,3517300
2015-08-28,11.58,12.45,11.56,12.33,5164700
2015-09-04,12.31,12.36,11.7,11.89,4149900
2015-09-11,12.2,12.34,11.8,11.88,2760700
2015-09-18,11.89,12.38,11.75,11.99,3924500
2015-09-25,12.06,12.2,11.48,11.65,3177500
2015-10-02,11.65,12.08,11.49,12.06,4772400
2015-10-09,12.16,12.97,12.16,12.88,6097100
2015-10-16,12.87,13.06,12.48,12.82,9591500
2015-10-23,12.79,13.09,12.64,13.03,3518000
2015-10-30,13.0,14.1,12.66,13.28,4743800
2015-11-06,13.28,13.94,13.28,13.63,4549300
2015-11-13,13.63,13.73,13.12,13.33,2765200
2015-11-20,13.29,14.06,13.2,13.92,3759500
2015-11-27,13.89,14.26,13.83,14.12,1805200
2015-12-04,14.18,14.27,13.55,13.85,3588400
2015-12-11,13.81,13.82,13.17,13.24,2791700
2015-12-18,13.23,13.71,13.09,13.4,3945200
2015-12-25,13.5,13.87,13.27,13.73,2046500
2016-01-01,13.7,13.8,13.38,13.42,1873000
2016-01-08,13.25,13.27,12.65,12.76,4029700
2016-01-15,12.86,12.91,12.24,12.59,3277900
2016-01-22,12.73,12.81,11.84,12.75,2754500
2016-01-29,12.7,13.23,12.5,13.22,3338600
2016-02-05,13.09,13.45,12.3,12.48,3650700
2016-02-12,12.32,12.53,12.0,12.41,3020700
2016-02-19,12.62,13.02,12.5,12.69,2713900
2016-02-26,12.79,13.05,12.0,12.55,3244200
2016-03-04,12.52,13.0,12.35,12.75,3614800
2016-03-11,12.69,12.9,12.39,12.9,2946900
2016-03-18,12.85,13.03,12.47,12.74,3312500
2016-03-25,12.73,12.77,12.32,12.53,1852200
2016-04-01,12.6,12.8,12.31,12.75,3588600
2016-04-08,12.69,12.78,12.14,12.33,3148900
2016-04-15,12.35,12.84,12.3,12.8,2383500
2016-04-22,12.79,12.96,12.7,12.88,2368000
2016-04-29,12.94,13.16,12.7,12.82,2413300
2016-05-06,12.82,12.92,12.15,12.47,4173300
2016-05-13,12.45,12.54,12.06,12.13,2583200
2016-05-20,12.19,12.37,11.78,12.09,3060800
2016-05-27,12.06,12.1,11.79,11.94,4788700
2016-06-03,11.96,12.18,11.95,12.03,3042000
2016-06-10,12.03,12.22,11.81,11.85,2324700
2016-06-17,11.81,11.99,11.58,11.84,3981700
2016-06-24,11.98,12.09,11.47,11.81,5300700
2016-07-01,11.72,12.21,11.45,12.09,4249300
2016-07-08,12.09,12.3,11.77,12.28,2683600
2016-07-15,12.31,12.86,12.3,12.84,2750600
2016-07-22,12.81,12.99,12.75,12.89,2366800
2016-07-29,12.89,13.0,12.47,12.98,3808400
2016-08-05,12.99,13.07,12.65,12.84,4098900
2016-08-12,12.84,12.85,12.62,12.78,2113900
2016-08-19,12.79,13.08,12.79,13.05,3199900
2016-08-26,13.0,13.27,12.92,13.04,2419500
2016-09-02,13.06,13.11,12.83,13.05,2087500
2016-09-09,13.11,13.19,12.45,12.45,2432300
2016-09-16,12.41,12.6,12.13,12.28,4011500
2016-09-23,12.35,12.47,12.14,12.44,2501500
2016-09-30,12.36,12.42,11.83,11.95,4064100
2016-10-07,11.89,12.15,11.75,11.8,2790700
2016-10-14,11.8,11.95,11.45,11.55,1800500
2016-10-21,11.5,11.65,11.3,11.55,2326800
2016-10-28,11.7,11.7,10.8,11.05,2874700
2016-11-04,11.05,11.2,10.6,10.95,4506300
2016-11-11,11.05,12.4,10.98,12.25,5037800
2016-11-18,12.45,12.6,12.05,12.45,3537700
2016-11-25,12.45,12.95,12.2,12.85,1905700
2016-12-02,12.8,13.2,12.65,12.8,2831800
2016-12-09,12.9,14.2,12.83,14.1,3606800
2016-12-16,14.05,14.15,13.35,13.6,4506900
2016-12-23,13.65,13.8,13.35,13.6,1690400
2016-12-30,13.55,13.75,13.25,13.3,1292300
2017-01-06,13.45,13.75,13.3,13.5,1655100
2017-01-13,13.45,13.7,13.25,13.6,1688400
2017-01-20,13.5,13.63,13.3,13.35,1236600
2017-01-27,13.35,13.45,13.0,13.35,3441400
2017-02-03,13.35,14.45,13.05,14.35,4141900
2017-02-10,14.25,15.5,14.1,15.45,5693200
2017-02-17,15.75,16.35,15.38,15.45,6196800
2017-02-24,15.6,15.65,14.55,14.85,4390800
2017-03-03,14.95,15.1,14.28,14.6,5423900
2017-03-10,14.6,14.7,14.3,14.65,3786600
2017-03-17,14.6,14.85,14.45,14.7,3645000
2017-03-24,14.7,14.75,14.1,14.25,3581800
2017-03-31,14.15,14.7,14.1,14.4,2694800
2017-04-07,14.35,14.65,14.08,14.45,3895200
2017-04-14,14.45,14.7,14.15,14.25,2383200
2017-04-21,14.3,14.95,14.2,14.7,3553800
2017-04-28,14.9,15.1,14.2,14.45,3520100
2017-05-05,14.45,17.1,14.23,16.95,11637800
2017-05-12,16.85,17.45,16.77,17.2,6928300
2017-05-19,17.2,17.4,16.68,17.35,7838500
2017-05-26,17.3,17.5,17.15,17.25,4928200
