Date,Open,High,Low,Close,Volume
2015-03-27,14.37,14.45,13.76,14.01,2530800
2015-04-03,14.09,14.36,13.99,14.19,1560900
2015-04-10,14.07,14.21,13.87,14.07,1739300
2015-04-17,14.09,14.42,13.9,13.96,2125300
2015-04-24,14.0,14.33,13.94,14.26,1883200
2015-05-01,14.12,14.32,13.24,13.48,5477400
2015-05-08,13.49,13.79,13.48,13.73,3216500
2015-05-15,13.76,14.01,13.61,13.68,2949700
2015-05-22,13.69,14.12,13.66,13.81,3024400
2015-05-29,13.75,13.86,13.54,13.61,1518700
2015-06-05,13.66,14.18,13.43,14.18,2293100
2015-06-12,14.19,14.53,13.99,14.44,2055800
2015-06-19,14.41,14.68,14.17,14.44,3684500
2015-06-26,14.57,14.89,14.38,14.84,3098400
2015-07-03,14.76,14.79,14.27,14.3,2179700
2015-07-10,14.23,14.53,14.03,14.49,2556100
2015-07-17,14.56,14.94,14.5,14.6,2246400
2015-07-24,14.6,14.82,14.21,14.28,2716300
2015-07-31,14.29,14.56,14.03,14.39,2819500
2015-08-07,14.35,14.93,14.25,14.65,2815300
2015-08-14,14.68,14.86,14.21,14.76,2197700
2015-08-21,14.64,14.87,13.78,14.14,2517400
2015-08-28,13.57,14.02,13.22,13.69,3843900
2015-09-04,13.62,13.84,13.21,13.52,2904200
2015-09-11,13.69,14.1,13.66,13.94,2226900
2015-09-18,13.94,14.38,13.44,13.46,4449100
2015-09-25,13.59,14.01,13.42,13.89,2541000
2015-10-02,13.81,13.97,13.04,13.44,3668800
2015-10-09,13.52,14.02,13.52,13.82,2984700
2015-10-16,13.78,14.09,13.41,13.72,2586500
2015-10-23,13.63,14.39,13.63,14.25,5382600
2015-10-30,14.4,14.65,13.63,14.0,6665600
2015-11-06,14.08,15.0,14.01,14.94,3037300
2015-11-13,15.0,15.0,14.22,14.29,3017100
2015-11-20,14.23,14.92,14.2,14.82,3999400
2015-11-27,14.8,15.0,14.62,14.78,1756100
2015-12-04,14.85,14.94,14.28,14.56,3231700
2015-12-11,14.57,14.62,13.49,13.59,3859500
2015-12-18,13.6,14.01,13.35,13.53,8398200
2015-12-25,13.61,13.94,13.42,13.86,2696300
2016-01-01,13.85,14.02,13.55,13.56,2661500
2016-01-08,13.35,13.5,12.46,12.47,5213200
2016-01-15,12.54,12.73,11.59,11.94,7514100
2016-01-22,12.07,12.16,11.34,11.67,5079000
2016-01-29,11.61,12.35,11.25,12.32,7744700
2016-02-05,12.22,12.26,10.95,11.19,6752800
2016-02-12,11.07,11.5,10.69,11.09,5930200
2016-02-19,11.53,11.67,11.15,11.39,3479100
2016-02-26,11.53,11.57,10.83,11.38,5785300
2016-03-04,11.4,12.02,11.16,12.01,4436800
2016-03-11,11.97,12.48,11.63,12.21,4514600
2016-03-18,12.18,12.22,11.54,12.11,6356100
2016-03-25,12.13,12.21,11.51,11.88,4440300
2016-04-01,11.9,12.4,11.74,12.24,5691200
2016-04-08,12.25,12.3,11.58,11.72,3916100
2016-04-15,11.79,12.73,11.65,12.55,3771200
2016-04-22,12.46,13.09,12.45,13.01,3811800
2016-04-29,12.99,13.4,12.77,13.4,10182100
2016-05-06,13.58,13.58,12.29,12.44,10465600
2016-05-13,12.55,12.75,12.21,12.29,6116800
2016-05-20,12.34,12.81,12.26,12.73,5612700
2016-05-27,12.71,13.27,12.63,13.1,4594000
2016-06-03,13.13,13.3,12.79,13.14,4729900
2016-06-10,13.16,13.39,12.8,12.92,4326700
2016-06-17,12.87,13.05,12.29,12.49,5836800
2016-06-24,12.68,13.03,12.13,12.19,3714100
2016-07-01,12.0,12.53,11.58,12.36,5477700
2016-07-08,12.25,12.59,11.89,12.45,3544500
2016-07-15,12.6,13.28,12.56,13.16,3319800
2016-07-22,13.18,13.22,12.86,13.08,3334600
2016-07-29,13.03,13.28,12.98,13.16,2736800
2016-08-05,13.35,13.71,12.93,13.71,4937300
2016-08-12,13.77,13.84,13.49,13.67,3539700
2016-08-19,13.68,13.88,13.67,13.83,3275200
2016-08-26,13.82,13.98,13.74,13.92,3379800
2016-09-02,13.9,14.25,13.82,14.13,4283100
2016-09-09,14.13,14.16,13.82,14.01,2894400
2016-09-16,13.94,14.03,13.58,13.67,5141800
2016-09-23,13.72,14.05,13.64,13.99,3168800
2016-09-30,13.88,14.11,13.53,14.06,4711700
2016-10-07,13.94,14.2,13.85,14.14,3267600
2016-10-14,14.24,14.32,13.69,13.89,3006600
2016-10-21,13.87,14.19,13.74,14.08,2457700
2016-10-28,14.2,14.46,14.11,14.38,3311800
2016-11-04,14.5,15.0,14.2,14.35,4481600
2016-11-11,14.65,16.6,14.45,16.6,6199100
2016-11-18,16.75,17.35,16.4,17.3,4845000
2016-11-25,17.3,17.6,17.0,17.45,2497700
2016-12-02,17.3,17.45,16.85,16.9,3893200
2016-12-09,17.05,18.2,17.0,18.2,5492200
2016-12-16,18.25,18.4,17.55,17.8,7836000
2016-12-23,17.9,18.3,17.6,18.15,2427800
2016-12-30,18.1,18.45,17.9,18.15,1704000
2017-01-06,18.45,18.55,17.7,17.95,2448900
2017-01-13,17.8,18.1,17.43,17.8,2892400
2017-01-20,17.6,17.65,16.95,17.3,2269300
2017-01-27,17.15,18.15,16.95,17.85,3494900
2017-02-03,17.7,18.05,17.3,17.95,3473900
2017-02-10,17.83,18.15,17.25,18.15,3122000
2017-02-17,18.2,18.8,18.1,18.7,4536200
2017-02-24,18.75,18.95,18.5,18.7,2577200
2017-03-03,18.55,18.95,18.23,18.43,3705700
